"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Ikea Supply Ag","4104 Industrial Parkway Lebec Customs Department Tel:484 803 9015, 202 Little Hearst Parkway Port Wentworth Customs Department Tel:484 803 9015, 100 Ikea Way Perryville Customs Department Tel:484 803 9015","inter.ikea.com, ikea.com","Phone Numbers: 4848039015, 5188039015, 4048039015 --- Emails: Ikea2 Usdo@Inter Ikea Com, Ikea2 Usdo@Ikea Com","United States","839","Los Angeles, Ca, Tacoma, Wa, Savannah, Ga","Yantian, Qingdao, Shanghai","732393, 761510","Ikea Home Furnishing Ikea Home Furnishing Csm Sup, Ikea Home Furnishing Ikea Home Furnishing Csm Sup Mail Ikea Ldca Ikea Mail Ikeaarrivalnotices Geodis, Ikea Home Furnishing Ikea Home Furnishing Ikea Home Furnishing Csm Sup","842","1016113","Geodis Usa Inc, Ikea Purchasing Services Us Inc, 1 Ikea Purchasing Services Us In","5101 South Broad Street Philadelphia Ikea Account Tel:215 238 8600, 5101 South Broad Street Philadelphia Ikea Account Tel:215 238 8600 Fax:215 238 8578 Mail:, Suite G10 3200 Horizon Drive Suit E 120 19406 King Of Prussia Uspa Uscontact= Customs Department To Be Continued"
"Princess House Incorporated","470 Myles Standish Blvd Taunton Ma 02780 Tel:508-884-8585 Fax:508-880-1335 Attn:Michelle Dias, 20 Cabot Blvd Suite 105 Mansfield Ma 02048 Attn:Michelle Dias Mdias@Princesshouse Com, 20 Cabot Blvd Suite 105 Mansfield Ma 02048 Attn:Michelle Dias Mdias@Princesshouse Com Tel:508-884-8585 Fax:508-880-1335","princesshouse.com, hoyashipping.com","Phone Numbers: 5088801335, 5088848585, 5088230711 --- Emails: Dias Mdias@Princesshouse Com, Dias Mdias@Princesshouse Com Tel, Michelle Diasmdias@Princesshouse Com","United States","735","Los Angeles, Ca, Wilmington, Nc, Long Beach, Ca","Yantian, Pusan, Port Bustamante","732393","Ams Seaway Issued Shenzhen Ori Gin Local Charges Payab Shenzhen Pls Help Show All Local Charges Outward Owner Stainless Stee Kitchenwares Low Mailbox Belongs Party Pwestgate Princesshouse Mdias Princesshouse There Regulated Wood Mater Ial Also Tify Consignee, Ams Seaway Issued Shenzhen Ori Gin Local Charges Payab Shenzhen Pls Help Show All Local Charges Outward Owner Stainless Stee Cookware Below Mailbox Belongs Pwestgate Princesshouse Mdias Princesshouse Fre Ight There Regu Lated Wood Also Consignee, Stainless Steel Cookware Below Mailbox Belongs Party Pwestgate Princesshouse Mdias Princesshouse There Regulated Wood Princess House Incorporated Mystandish Blvd Taunton Attn Michelle Dias","3113","22116540","Ups Supply Chain Solutions, Princess House Incorporated, Hoya International Corp","2031 S Centennial Avenue Bldg 1 Aiken Sc 29803 Attn:Ronecca Bryant Upsusprincesshouse@Ups Com, 2031 S Centennial Avenue Bldg 1 Aiken Sc 29803 Attn:Ronecca Bryant Upsusprincesshouse Ups Com, 2031 S Centennial Avenue Bldg 1 Aiken Sc 29803Attn:Ronecca Bryant Upsusprincesshouse@Ups Com &"
"Costco Wholesale Corp","999 Lake Drive Issaquah Wa 98027 95376, 999 Lake Drive Issaquah Wa 98027 98390, 999 Lake Drive Issaquah Wa 98027 08831","","Phone Numbers: 9802795376, 9802798390, 9802708831 --- Emails: ","United States","347","Oakland, Ca, Tacoma, Wa, Los Angeles, Ca","Yantian","732393, 761510","Motion Sensor Trash Bin Costco Motion Sensor Trash Bin Trash Lid Motion Sensor Above Does Any Regulated Wood Applicable Cpsia Url Www Costcocpsia Cpsia Certificate Www Icix Link Costco Cpsiacertification, Motion Sensor Trash Bin Costco Motion Sensor Trash Bin Trash Lid Motion Sensor Above Does Any Regulated Wood Solid Wood Applicable Cpsia Url Www Costcocpsia Cpsia Certificate Www Icix Link Costco Cpsiacertification, Stainless Steel Step Trash Can Costco Stainless Steel Step Trash Can Above Does Any Regulated Wood Solid Wood Applicable Cpsia Url Www Costcocpsia Cpsia Certificate Www Icix Link Costco Cpsiacertification","347","2418833","Ups Scs, Upsicscs397 Sea Chb","1201 C Street Nw Auburn Wa 98001 Attn: Costco Team Ph: 253-872-4249, 1201 C Street Nw Auburn Wa 98001 Attn: Costco Team, 1201 C Street Nw Auburn Wa 98001 Us"
"Conair Corp","50 Millstone Road Building 100 Suite 200 East Windsor Nj 08520 Usa Email: Mike_Lourenco@Conair Com, 7475 North Glen Harbor Road Arizona 85307 U S A Tel 623-872-8750 Fax 623-872-7022, 7475 North Glen Harbor Road Glendale Az 85307 U S A Tel623-872-8750","conair.com, conari.com","Phone Numbers: 6238728750, 6238727022, +16094905025 --- Emails: Mike_Lourenco@Conair Com, Email= Glendale-Imports@Conair Com, Glendale-Imports@Conair Com","United States","160","Los Angeles, Ca, New York/Newark Area, Newark, Nj, Long Beach, Ca","Yantian, Shanghai, Kao Hsiung","732393, 761510","Table Kitchen Etc Articles Pts Stainless Stainless Steel Cookware Contact Person Rudy Rufer Noel Jannello, Kitchenware Sets Kitchenware Christine Rich Mallorygroup Noel Jannello Mallorygroup Denise Rich Mallorygroup, Table Kitchen Etc Articles Pts Stainless Stainless Steel Cookware","465","3683175","Delmar International Inc, Mallory Alexander Intl Logistics N, Conair Corp","777 Sunrise Highway Suite 310 11563 Lynbrook Ny - Us, One Cross Island Plaza Suite 227 Rosedale New York 11422 U S A, One Cross Island Plaza Suite 227 Rosedale Ny 11422 United States"
"Dollarama L P","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006@@, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada 1-514-737 1006 1-514-731-7755, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006","dollarama.com","Phone Numbers: 15147371006, 15147317755 --- Emails: Traffic@Dollarama Com 1-514-737, Traffic@Dollarama Com","United States","151","Tacoma, Wa, Los Angeles, Ca, Seattle, Wa","Ningpo, Kao Hsiung, Qingdao","761510, 732393","Titan Ultra Aluminum Utility Pan Titan Ultra Aluminum Utility Pan Plastic Lid Mail Cpl Dollarama Cpr, Titan Ultra Deep Pan Titan Ultra Deep Pan Plastic Dome Lid Mail Cpl Dollarama Cpr, Colander Colander Mail Cpl Dollarama Cpr","202","1677339","Dollarama L P, Canadian Pacific Logistics","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006@@@@, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada 1-514-737 1006 1-514-731-7755, 5805 Avenue Royalmount Mont-Royal Quebec Montreal Qc H4P 0A1 Canada"
"Conair Llc","50 Millstone Road Building 100 Suite 200 East Windsor Nj 08520 Usa Email: Mike_Lourenco@Conair Com, Glendale Operations 7475 N Glen Harbor Blvd Glendale Az 85307 Email: Glendale-Imports@Conair Com, Glendale Operations 7475 N Glen Harbor Blvd Glendale Az 85307 Email= Glendale-Imports@Conair Com","conair.com, conai.08520, cona.ir.com","Phone Numbers: 62387287508530 --- Emails: Mike_Lourenco@Conair Com, Glendale-Imports@Conair Com, Email= Glendale-Imports@Conair Com","United States","144","Baltimore, Md, New York/Newark Area, Newark, Nj, Los Angeles, Ca","Yantian, Kao Hsiung, Shekou","732393, 761510","Kitchenware Sets Kitchenware Ship Conair Llc Xpo Logistics Allen Road Suite Carlisle Usa Att Sam Shunk Christine Rich Mallorygroup Noel Jannello Mallorygroup Denise Rich Mallorygroup Mike Lourenco Conair, Stainless Steel Cookware Stainless Steel Cookware Christine Rich Mallorygroup Noel Jannello Mallorygroup Denise Rich Mallorygroup, Stainless Steel Cookware Stainless Steel Cookware Stainless Steel Cookware Christine Rich Mallorygroup Noel Jannello Mallorygroup Denise Rich Mallorygroup","410","2986114","Conair Llc, Mallory Alexander International Logistics, Delmar International Inc","50 Millstone Road Building 100 Suite 200 East Windsor Nj 08520 Email: Mike_Lourenco@Conair Com, 777 Sunrise Highway Suite 310 11563 Lynbrook Ny - Us Tel: 516 371 1700 Fax: 516 371 1709, 777 Sunrise Highway Suite 310 11563 Lynbrook Ny - Usa Tel: 516 371 1700 Fax: 516 371 1709"
"Loblaws Inc","1 President S Choice Circle Brampton Ontario L6Y5S5 Canada Email: Joyce Wang01@Loblaw Ca Contact Person: Joyce Wang, 1 President S Choice Circle Brampton Ontario L6Y5S5 Canada Email: Christine Schmidt@Loblaw Ca Contact Person: Christine Schmidt@@, 1 President S Choice Circle Brampton Ontario L6Y5S5 Canada Email:Christine Schmidt@Loblaw Ca Contact Person:Christine Schmidt","loblaw.ca.contact, loblaw.ca, loblaw.ca.tel","Phone Numbers: 4032917773, 9058612602 --- Emails: Joyce Wang01@Loblaw Ca Contact, Christine Schmidt@Loblaw Ca Contact, Christine Schmidt@Loblaw Ca","United States","119","Tacoma, Wa, Seattle, Wa, Los Angeles, Ca","Kao Hsiung, Ningpo, Yantian","732393, 761510","Giant Oval Roaster Handle Giant Oval Roaster Handle Roaster Lid Medium Lclcustoms Loblaw, Stainless Steel Utensils Only Stainless Steel Utensils, Aluminium Cookware Aluminium Cookware Aluminium Cookware Aluminium Cookware Aluminium Cookware Aluminium Cookware Solid Wood Development Zone Wenling City Zhejiang China Lclcustoms Loblaw","175","795666","Loblaw Customs Compliance & Global, Loblaws Inc, Loblaw Customs Compliance &","Trade 1 President S Choice Circle Brampton On L6Y 5S5 Phone: 905-459-2500, Trade 1 President S Choice Circle Brampton On L6Y 5S5 Phone: 905-459-2500 Fax:, Trade 1 President S Choice Circle Brampton On L6Y 5S5 Phone: 905-459-2500 Fax: @@@"
"Heart Flying Trade Inc","888 W Belleview Ave Ste 2142 Denver Co 80123 Usa An@Wflexpress Com Linda@Szfly56 Com, 9888 W Belleview Ave Ste 2142 Denver Co 80123 Usa An@Wflexpress Com, 9888 W Belleview Ave Ste 2142 Denveran@Wflexpress Com 909-342446 Co 8 0123 Us","wflexpress.com, glecustoms.com, szfly56.com","Phone Numbers: 9093424466 --- Emails: Usa An@Wflexpress Com Linda, 2142 Denveran@Wflexpress Com 909-342446, Usa An@Wflexpress Com","United States","106","Los Angeles, Ca, Long Beach, Ca","Yantian, Shanghai, Shekou","732393","Kettle, Kettle Kettle","139","1680212","Heart Flying Trade Inc, Yiwu Jimei Trade Co Ltd, Zhejiang Well Import & Export Co Ltd","888 W Belleview Ave Ste 2142 Denver Co 80123 Usa An@Wflexpress Com Linda@Szfly56 Com, 9888 W Belleview Ave Ste 2142 Denver Co 80123 Usa An@Wflexpress Com, 9888 W Belleview Ave Ste 2142 Denver Co 80123 Usa An@Wflexpress Com 909-342446"
"Groupe Seb Usa","2121 Eden Road Millville New Jersey08332 Usa Contact Person: Fitchik Kathy Tel : 973 736 0300 Millville Nj 08332, 2121 Eden Road Millville New Jersey 08332 Usa Contact Person : Fitchik Kathy Tel : +1 973 434-2222 Ext: 2341, 2121 Eden Road Millville New Jersey 08332 Usa Contact Person : Fitchik Kathy Tel : 973 736 0300","","Phone Numbers: 9737360300, +19734342222, 7182448964 --- Emails: ","United States","96","New York/Newark Area, Newark, Nj, New York/Newark","Yantian, Ningpo, Xiamen","732393, 761510","Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood, Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood, Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood","319","1999996","Seb Asia Ltd, Groupe Seb Usa, Seb Asia Limited","Rm 901 9 F Skyway House, Room 901 & 903 9 F Skyway House, Kowloon Rm901&903 9 F Skyway House"
"Aramco Import Inc","6431 Bandini Blvd Commerce Ca-90040-Usa Mohammad Javaherian Logistics2@Aramcoimports Com Commerce Caus, 6431 Bandini Blvd Commerce Ca-90040-Usa Mohammad Javaherian Inbounds@Aramcoimports Com Commerce Caus","aramcoimports.com","Phone Numbers:  --- Emails: Javaherian Logistics2@Aramcoimports Com Commerce, Javaherian Inbounds@Aramcoimports Com Commerce","United States","67","Long Beach, Ca, Los Angeles, Ca, Houston, Tx","Ningpo, Yantian, Shekou","761510, 732393","Cookware, Kitchenware, Cookwar","67","628626","Carmichael International Service, Aramco Import Inc, La Bodega Meat Inc","1200 Corporate Center Dr Suite#200 Monterey Park Us, 14330 Gillis Road Contact Person:Tash Ali/ Vanessabarrios Email:V Barrios@Labodegameat Com Us, 6431 Bandini Blvd Commerce Ca-90040-Usa Mohammad Javaherian Inbounds@Aramcoimports Com Commerce Us"
