"Supplier Name","Top Addresses","Supplier Websites","Supplier Contact Info","Supplier Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Fucheng Metals Production Co Ltd","Of Jiangmen City Xinghuangind Dev Zone Siqian Xinhuijiangmen, Of Jiangmen City Xinghuangind Dev Zone Siqian Xinhuijiangmen China, Of Jiangmen City Xinghuangind Dev Zone Siqian Xinhuijiangmen Cn44 529159 Cn","","Phone Numbers: 6974586110016, 6092611208 --- Emails: ","China","492","Los Angeles, Ca, Tacoma, Wa, Savannah, Ga","Yantian, Panama Canal ?C Caribbean, Shekou","732393","Ikea Home Furnishing Ikea Home Furnishing Ikea Home Furnishing Csm Sup, Ikea Home Furnishing Ikea Home Furnishing Csm Sup, Ikea Home Furnishing Ikea Home Furnishing Ikea Home Furnishing Csm Sup Szd Csm Sup Szd Mail Ikea Ldca Ikea Mail Ikeaarrivalnotices Geodis","499","491442","Geodis Usa Inc, Ikea Purchasing Services Us Inc, Guidecraft Inc","5101 South Broad Street Philadelphia Ikea Account Tel:215 238 8600, 5101 South Broad Street Philadelphia Ikea Account Tel:215 238 8600 Fax:215 238 8578 Mail:, Suite G10 3200 Horizon Drive Suit E 120 19406 King Of Prussia Uspa Uscontact= Customs Department To Be Continued"
"Linkfair International Inc","Linkfair Industrial Distributor East Guang Xing Road Xinxing County Guangdong China, Linkfair Industrial Distributor East Guang Xing Road Xinxing County Guangdong China Email: Linda@Linkfair Com Cn, Linkfair Industrial Dist East Guang Xing Road Xinxing County Guangdong China","linkfair.com","Phone Numbers: 07662957823 --- Emails: Linda@Linkfair Com Cn","China","454","Los Angeles, Ca, Wilmington, Nc, Long Beach, Ca","Yantian, Pusan, Port Bustamante","732393, 761510","Ams Seaway Issued Shenzhen Ori Gin Local Charges Payab Shenzhen Pls Help Show All Local Charges Outward Owner Stainless Stee Cookware Below Mailbox Belongs Pwestgate Princesshouse Mdias Princesshouse Fre Ight There Regu Lated Wood Also Consignee, Stainless Steel Cookware, Stainless Steel Cookware Below Mailbox Belongs Party Pwestgate Princesshouse Mdias Princesshouse There Regulated Wood Princess House Incorporated Mystandish Blvd Taunton Attn Michelle Dias","1984","13262719","Ups Supply Chain Solutions, Princess House Incorporated, Ups Scs","2031 S Centennial Avenue Bldg 1 Aiken Sc 29803 Attn:Ronecca Bryant Upsusprincesshouse@Ups Com, 2031 S Centennial Avenue Bldg 1 Aiken Sc 29803 Attn:Ronecca Bryant Upsusprincesshouse Ups Com, 2031 S Centennial Avenue Bldg 1 Aiken Sc 29803Attn:Ronecca Bryant Upsusprincesshouse@Ups Com &"
"Eko Development Limited","Flat 1013-1015 R&F Profit Plaza No 76 Huangpu Avenue West Guangzhou 510623 China, Flat 1013-1015 R F Profit Plaza No 76 Huangpu Avenue West Guangzhou 510623 China, Flat 1013 1015 R F Profit Plaza No 76 Huangpu Avenue West Guangzhou 510623 China","","Phone Numbers:  --- Emails: ","China","337","Oakland, Ca, Tacoma, Wa, Los Angeles, Ca","Yantian","732393","Motion Sensor Trash Bin Costco Motion Sensor Trash Bin Trash Lid Motion Sensor Above Does Any Regulated Wood Applicable Cpsia Url Www Costcocpsia Cpsia Certificate Www Icix Link Costco Cpsiacertification, Motion Sensor Trash Bin Costco Motion Sensor Trash Bin Trash Lid Motion Sensor Above Does Any Regulated Wood Solid Wood Applicable Cpsia Url Www Costcocpsia Cpsia Certificate Www Icix Link Costco Cpsiacertification, Stainless Steel Step Trash Can Costco Stainless Steel Step Trash Can Above Does Any Regulated Wood Solid Wood Applicable Cpsia Url Www Costcocpsia Cpsia Certificate Www Icix Link Costco Cpsiacertification","441","2737313","Ups Scs, Newell Brands Distribution Llc, Yusen Logistics Americas Inc","1201 C Street Nw Auburn Wa 98001 Attn: Costco Team Ph: 253-872-4249, 1201 C Street Nw Auburn Wa 98001 Attn: Costco Team, 1-A Gill Street Woburn Ma 01801 Te L= 781-537-1140 Fax= 781-537-1149 Yusbs-Bathbb@Us Yusen-Logistics Com"
"Winnington Metal And Plastic Mfg Co Ltd","Room 502 5/F Kowloon Plaza 485 Castle Peak Road Cheung Sha Wan Kowloon Hong Kong, Room 502 5/F Kowloon Plaza 485 Castle Peak Road Cheung Sha Wan, Room 502 5/F Kowloon Plaza 485 Castle Peak Rd Cheung Shawan Kowloon Hong Kong 852-23706218","winningtonmetal.com","Phone Numbers: 85223706218 --- Emails: Silvia@Winningtonmetal Com","China","277","Los Angeles, Ca, Wilmington, Nc, Long Beach, Ca","Yantian, Pusan, Panama Canal ?C Caribbean","732393","Ams Seaway Issued Shenzhen Ori Gin Local Charges Payab Shenzhen Pls Help Show All Local Charges Outward Owner Stainless Stee Kitchenwares Low Mailbox Belongs Party Pwestgate Princesshouse Mdias Princesshouse There Regulated Wood Mater Ial Also Tify Consignee, Ams Seaway Issued Shenzhen Ori Gin Local Charges Payab Shenzhen Pls Help Show All Local Charges Outward Owner Stainless Stee Kitchenwares Elow Mailbox Belongs Party Pwestgate Princesshous Mdias Princesshouse There Regulated Wood Mate Rial Also Otify Consignee, Ams Seaway Issued Shenzhen Ori Gin Local Charges Payab Shenzhen Pls Help Show All Local Charges Outward Owner Stainless Stee Kitchenwares Stainless Steel Kitchenwares Below Mailbox Belo Ngs Party Pwestgate Princesshouse Mdias Prin Cesshouse There Regulated Wood Ackaging Shi Pment Also Con Signee","1015","8274929","Ups Supply Chain Solutions, Princess House Incorporated, Princess House","2031 S Centennial Avenue Bldg 1 Aiken Sc 29803 Attn:Ronecca Bryant Upsusprincesshouse@Ups Com, 2031 S Centennial Avenue Bldg 1 Aiken Sc 29803 Attn:Ronecca Bryant Upsusprincesshouse Ups Com, 2031 S Centennial Avenue Bldg 1 Aiken Sc 29803Attn:Ronecca Bryant Upsusprincesshouse@Ups Com &"
"Continental Conair Limited","35 F Standard Chartered Tower Millennium City 388 Kwun Tong Road Kwun Tong Kowloon Hong Kong, 35/F Standard Chartered Tower Millennium City 388Kwun Tong Road Kwun Tong Kowloon Hong Kong, 35/F Standard Chartered Tower Millennium City 388 Kwun Tong Road Kwun Tong Kowloon Hong Kong Tel:00852-27518920","","Phone Numbers: 0085227518920, 04379348000 --- Emails: ","China","144","Los Angeles, Ca, Baltimore, Md, Long Beach, Ca","Shanghai, Kao Hsiung, Panama Canal ?C Caribbean","732393, 761510","Stainless Steel Cookware, Table Kitchen Etc Articles Pts Stainless Stainless Steel Cookware Contact Person Rudy Rufer Noel Jannello, Table Kitchen Etc Articles Pts Stainless Stainless Steel Cookware","506","3310819","Conair Llc, Mallory Alexander Intl Logistics N, Mallory Alexander International Logistics","50 Millstone Road Building 100 Suite 200 East Windsor Nj 08520 Email: Mike_Lourenco@Conair Com, 777 Sunrise Highway Suite 310 11563 Lynbrook Ny - Us, 777 Sunrise Highway Suite 310 11563Lynbrook Ny -Us Tel 516 371 1700 11563"
"Dongguan Hb Trade Co Ltd","2Nd Floor Juda Buliding Zhongli Rd Nancheng District Dongguan City Operation02@Link-Trans Com, 2Nd Floor Juda Buliding Zhongli Rd Nancheng District Dongguan City Kokop20@Link-Trans Com, 2Nd Floor Juda Buliding Zhongli Rd Nancheng District Dongguan City Kokop18@Link-Trans Com","link-trans.com, dghb-trading.com","Phone Numbers:  --- Emails: City Operation02@Link-Trans Com, City Kokop20@Link-Trans Com, City Kokop18@Link-Trans Com","China","130","Los Angeles, Ca, New York/Newark Area, Newark, Nj, Oakland, Ca","Yantian, Shekou, Ningpo","732393, 761510","Commodity Shelf Wood, Baking Tools Commodity Shelf Wood, Bbq Accessories Bbq Accessories Plastic Flower Plant Stand Jlcustomservice Jlcustomservice","156","1793106","Jl Cusoms Service Llc, Jaak Transport Inc, Jl Customs Service Llc","Add:9570 Santa Anita Ave #A Rancho Cucamonga Ca 91730 Attn:Jacky Tel:626-290-7687, Add: 661 Brea Canyon Rd Suite 7 Walnut Ca 91789 Phone#562- 477- 0077 Fax#562- 477- 0321, 20418 East Walnut Drive North Units 1B & 1C Diamond Bar Ca 91789 Tel:626-290-7687 Info@Jl-Customservice Com"
"Luoyang Tianjiu Technology Co Ltd","Peony Avenue Luoyang, Sunxin Road And Zhangheng Str Luoyang, Peony Avenue2190321903 Luoyang","","Phone Numbers: 2190321903 --- Emails: ","China","128","Los Angeles, Ca, Baltimore, Md, Tacoma, Wa","Qingdao, Panama Canal ?C Caribbean, Ningpo","761510","Ikea Home Furnishing Ikea Home Furnishing Csm Sup Molqd, Ikea Home Furnishing Ikea Home Furnishing Csm Sup Molqd Mail Ikea Usdo Inter Ikea Mail Ikeaarrivalnotices Geodis, Ikea Home Furnishing Ikea Home Furnishing Csm Sup Molqd Mail Ikea Ldca Ikea Mail Ikeaarrivalnotices Geodis","128","184805","Geodis Usa Inc","5101 South Broad Street Philadelphia Ikea Account Tel:215 238 8600, 5101 South Broad Street Philadelphia Ikea Account Tel:215 238 8600 Fax:215 238 8578 Mail:, 5101 South Broad Street Philadelphia Pa 19112 Ikea Account Tel:215 238 8600"
"Ningbo Alustar Co Ltd","No 368 Qiushi Rd Wangchun Industry Area Ningbo China, No 368 Qiushi Road Wangchun Industry Area Ningbo China Tel 057488219679, No 368 Qiushi Road Wangchun Industry Area Ningbo China","","Phone Numbers: 057488219679 --- Emails: ","China","115","Tacoma, Wa, Seattle, Wa, Los Angeles, Ca","Ningpo, Kao Hsiung","761510","Aluminium Foil Aluminium Foil, Titan Ultra Aluminum Utility Pan Titan Ultra Aluminum Utility Pan Plastic Lid Mail Cpl Dollarama Cpr, Titan Ultra Deep Pan Titan Ultra Deep Pan Plastic Dome Lid Mail Cpl Dollarama Cpr","126","702383","Dollarama L P","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006@@@@, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 P #514-737-1006, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada 1-514-737 1006 1-514-731-7755"
"Shenzhen Fly International","Logistics Co Ltd Workshop 102 Bldg 20 Baoxianghe Industrial Pk #68 Hexiu West Rd Heping Community Fuhai St Bao An, Logistics Co Ltd Workshop 102 Bldg 20 Baoxianghe Industrial Pk #68 Hexiu West Rd Heping Community Fuhai St, Logistics Co Ltd Workshop 102 Bldg 20 Baoxianghe Industrial Pk #68 Hexiu West Rd Heping","","Phone Numbers:  --- Emails: ","China","96","Los Angeles, Ca","Yantian","732393","Kettle","130","1579997","Heart Flying Trade Inc, Future Me Inc","888 W Belleview Ave Ste 2142 Denver Co 80123 Usa An@Wflexpress Com Linda@Szfly56 Com, 2717 N Towne Ave Pomona Ca 91767 Usa An@Wflexpress Com Linda@Szfly56 Com, 2717 N Towne Ave Pomona Ca 91767 Usa An@Wflexpress Com Linda@Szfly56 Comamy@Szfly56 Com 909-3424466"
"Xinhui Rixing Stainless Steel Produ Cts Co Ltd","Qianfeng Industry Dev Dist Siqiang Jiangmen China, Qianfeng Industry Dev Dist Siqiang Jiangmen","","Phone Numbers:  --- Emails: ","China","66","Los Angeles, Ca, Savannah, Ga, Tacoma, Wa","Yantian","732393","Ikea Home Furnishing Ikea Home Furnishing Csm Sup Mail Ikea Ldca Ikea Mail Ikeaarrivalnotices Geodis, Ikea Home Furnishing Ikea Home Furnishing Csm Sup, Ikea Home Furnishing Ikea Home Furnishing Csm Sup Mail Ikeaarrivalnotices Geodis","66","34062","Geodis Usa Inc","5101 South Broad Street Philadelphia Ikea Account Tel:215 238 8600, 5101 South Broad Street Philadelphia Ikea Account Tel:215 238 8600 Fax:215 238 8578 Mail:"
