"Supplier Name","Top Addresses","Supplier Websites","Supplier Contact Info","Supplier Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Aluminio Texcoco S A De C V","Av Cerro De La Cruz S/N Int 5 Col El Trabajo Cuautlalpan Texcoco Estado De Mexico C P 56255 Mexico Rfc Ate890522F28, Av Cerro De La Cruz S/N Int 5 Col El Trabajo Cuautlalpan Texcoco Estado De Mexico C P 56255 Mexico Rfc:Ate890522F28, Av Cerro De La Cruz S/N Int 5 Col El Trabajo Cuautlalpan Texcoco Estado De Mexico C P 56255 Rfc:Ate890522F28","","Phone Numbers: 2299890358 --- Emails: ","Mexico","649","San Juan, Puerto Rico, San Juan, Puert, Savannah, Ga","Veracruz, Port Bustamante, Rio Haina","760421, 760429, 281830","Perfiles Aluminio Aleados Huecos Solidos Aluminum Profiles Alloy Hollow Solid Hst, Perfiles Aluminio Aleados Huecos Slidos Aluminum Profiles Alloy Hollow Solid Hst, Perfiles Aluminio Aleados Huecos Aluminum Profiles Alloy Hollow Hst","1152","13059964","Industrias Feliciano Aluminum Inc, Puertas Y Ventanas J M Inc, Interworld Customs Brokers Inc","Carr 111 Km 1 8 Bo Palmar Aguadilla Puerto Rico 00603 Tax Id 660573689 Ctc Sujeil Torres Ph 7876159777, Hc 03 Box 15240 Quebradillas San Juan Puerto Rico Zip Code 00678 Tel:787 407 6040 Ctc: Willie Rosario Tax Id:660713883, Centro Mercantil Internacional No 61 Edificio #6 Piso 1 Pr 00965 En Copia Fromero@Extmet Com Ctc Karla Rodriguez Tax Id 660444280"
"K Ab K Ub Sa De Cv","Calle Montecito 38 Piso 14 C P 03810 Ciudad De Mexico Mexico, 38 Piso 14 Calle Montecito Ciudad De Mexico 03810, Calle Montecito 38 Piso 14 Oficina 03810 Alcaldia Benito Juarez Ciudad De Mexico Mexico","","Phone Numbers:  --- Emails: ","Mexico","481","Houston, Tx, Charleston, Sc, New Orleans, La","Veracruz, Puerto Manzanillo, Cartagena","760200, 761290, 281830","Aluminum Beverage Scrap Ubc Ncm Wood Applicable, Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable, Class Aluminum Ncm Ooden Applicable","1899","21028228","Asia Shipping Transportes Internaci, Asia Shipping Transportes Interna, Kai Import Services Llc","R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone: +55 13 2101-7770, 80 Sw 8Th St Ste 20-31 Miami Fl 33130 U S A Email: Contracts@Polluxmetals Com, R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone:  13 2101-7770"
"Kingtom Aluminio Srl","Zona Franca Industrial Rio Sur Carretera Mella Km 33 San Antonio Dguerra Rep Dom Rnc 131-48961-3 Cel 829-658-3357 Tel 829-398-5800, Zona Franca Rio Sur Carretera Mella San Antonio De Guerra Santo Domingo Do, Zona Franca Rio Sur Carretera Mellakm 33 San Antonio De Guerra Rep D Rnc 131-48961-3 Cel 829-658-3357 Tel 829-398-5800","kingtomaluminio.com","Phone Numbers: 8296583357, 8293985800, +18294218933 --- Emails: Ivan Min@Kingtomaluminio Com","Dominican Republic","447","Port Everglades, Fl, Long Beach, Ca, New York/Newark Area, Newark, Nj","Rio Haina, Caucedo, Cartagena","760421, 903130","Aluminum Profiles Slac Pkgs Aluminum Profiles None, Aluminum Profiles Slac Pkg Aluminum Profiles None, Aluminum Profiles Slac Aluminum Profiles","507","5799751","Customized Brokers Inc, Translink Chb Inc, Customized Brokers","10205 Nw 108Th Ave Ste 1 Office 305 471-8989 Fax 305 471-8988 Miami Fl 33178 Us, 10205 Nw 108Th Ave Ste 1 Office 305 471-8989 Fax 305 471-8988, 10205 Nw 108Th Ave Ste 1 Miami Fl 33178 Us"
"Hyundai Sungwoo Casting Co Ltd","Hyundaisungwooauto Bldg 609 Bongeunsa-Ro Gangnam-Gu Seoul South Korea, Hyundaisungwooauto Bldg 609 Bong Eunsa-Ro Gangnam-Gu Seoul Southko Rea, Hyundaisungwooauto Bldg 609 Bongeu Nsa-Ro Gangnam-Gu Seoul South Ko Rea","","Phone Numbers:  --- Emails: ","Republic Of Korea","363","Savannah, Ga, Mobile, Al, Long Beach, Ca","Pusan, Port Bustamante","870870, 800120, 842951","Aluminum Wheel, Aluminum Wheels, Aluminum Wheelaluminum Wheelaluminum Wheel","3041","28436209","Hyundai Sungwoo Auto Usa Corp, Aerocosta Global System Inc, Aerocosta Glabal Systems Inc","309 Williamson Ave Opelika Al 368 04 U S Aattn : Mr Wan Leeph No : 334-202-1220, Atlanta 3575 Koger Boulevard Suite #185 Duluth Ga 30096 Tel: 678-691-6358 Fax: 678-620-3655, Attn Mr Wan Lee 309 Williamsona Ve Opelika Al 36804 U S A Ph No 334-315-5487 Email Wlee Hdswusa"
"Able Packaging Jiangsu Co Ltd","North Of Zhaoxia Road West Of Jinyuan Road Nantong High-Tech Industrial Development Zone Nantong City Jiangsu Province@, North Of Zhaoxia Road West Of Jinyuan Road Nantong High-Tech Industrial Development Zone @, North Of Zhaoxia Road West Of Jinyuan Road Nantong High-Tech Industrial Development Zone Nantong City Jiangsu@","","Phone Numbers: 051382519956 --- Emails: ","China","318","New York/Newark Area, Newark, Nj, Los Angeles, Ca, Savannah, Ga","Shanghai, Panama Canal ?C Caribbean, Ningpo","760719, 760200, 691200","Aluminum Foil, Aluminum Foil Aluminum Foil Wood China, Aluminum Foil Aluminum Foil Aluminum Foil Roll Dome Lids China","392","3718399","Star Global Logisticsinc, Speedier Shipping Inc, Lollicup Usa Inc","147-39 175Th Street Ste#168 Jamaica Ny 11434 Tel:347-571-0275 E-Mail:Import@Sglnyc Com, 6185 Kimball Ave Chino Ca 91708 Phone: 626 965 8882 Fax: 626 965 8729, 147-39 175Th Street Ste #168 Jamaica Ny11434 Usa Contact:Kathie E-Mial:Import@Speedier-Usa Com@@@"
"Jiaxing Hengyu Co Ltd","1188 East Changsheng Road Jiaxing 314001 China Tel0573-83910900, 1188 East Changsheng Road Jiaxing 314001China Tel0573-83910900 Fax0573-83910900, 1188 East Changsheng Road Jiaxing 314001 China Tel0573-83910900 Fax0573-83910900","hanamint-cn.com, hanami.nt-cn.com","Phone Numbers: 057383910900, 8657383910841, 057383910900314 --- Emails: Rola@Hanamint-Cn Com, E Rola@Hanami Nt-Cn Com, Tel=86-573-83910841 Email=Rola@Hanamint-Cn Com","China","313","Los Angeles, Ca, Wilmington, Nc, Long Beach, Ca","Shanghai, Pusan","940390, 940171, 830242","Metal Furniture Nesoi Cast Aluminum Patio Furniture Wood Jill Hanamint, Seats Metal Frames Except Upholstered Cast Aluminum Patio Furniture Wood, Metal Furniture Nesoi Cast Aluminum Patio Furniture Wood Jill Hanamin","433","1522200","Hanamint Corp, California Backyard, Gulfstream Shippers Association Llc","Inc 8010 Thorndike Road Greensboro Nc 27409 Tel336-855-9141 Fax336-855-8482, Inc 8010 Thorndike Road Greensboro Nc 27409 Tel336-855-9141 Fax336-855-8482 Emailkgunter, Inc 8010 Thorndike Road Greensboro Nc 27409 Tel336-855-9141 Fax336-855-8482 Emailkgunterhanamint Com Jillha"
"Bao Nguyen Viet Nam Aluminum Producing Co Ltd","Workshop X13 In Hai Thanh Workshop Area For Lease Haithanh Ward Duong Kinh Distri, Workshop X13 In Hai Thanh Workshop Area For Lease Hai Thanh Ward Duong Kinh District Hai Phong, Workshop X13 In Hai Thanh Workshop Area For Lease Haithanh Ward Duong Kinh District Hai Phong","","Phone Numbers:  --- Emails: ","Vietnam","269","Baltimore, Md, Norfolk, Va, New York/Newark Area, Newark, Nj","Kao Hsiung, Singapore, Hong Kong","281830, 761090, 761520","Aluminum Baluster, Aluminum Baluster Aluminum Baluster Pallet, Aluminum Railing Flanged Post","485","4694614","Kc Burdette Company, Capital Express International Inc, Tel 0084","150 Morristown Road Suite 106 Bern Ardsville Nj 07924Tel: 908 353 -6222 Fax: 908 353-8450, 147-39 175Th Street Room 212 Jamaica Ny 11434 Tel: 718-244-6174 Xt 108 Fax:718-244-6175 244-7469, 1201 Corbin Street 2Nd Floor Elizabeth New Jersey 07201 Tel: 908 353-6222 Fax: 908 353-8450"
"Shin Yang Metal Ind Co Ltd","4Ra-301 Sihwa-Gongdan 162 Sihwa- Ro Danwon-Gu Ansan-Si Gyeonggi-D, Shin Yang Metal Vietnam Co Ltd On Behalf Of Shin Yang Metal Ind Co Ltd Land Lot Xn 3-1A And Lot Xn3-1G Dai An Expansion Industrial Zone#, Shin Yang Metal Vietnam Co Ltd On Behalf Of Shin Yang Metal Ind Co Ltd Land Lot Xn 3-1A And Lot Xn3-1G At Dai An Expansion Iz#","","Phone Numbers: 0314983561, 0314983300 --- Emails: ","Vietnam","253","Savannah, Ga, New York/Newark Area, Newark, Nj, Oakland, Ca","Port Bustamante, Pusan, Hong Kong","281830, 761090, 851750","Aluminum Solar Roof Mounting Rails, Sssa Anodizing Aluminum Long Frame Sssa Anodizing Aluminum Short Frame Sssa Anodizing Aluminum Mid Rail Withtape, Sssa Anodizing Aluminum Long Bar Sssa Anodizing Aluminum Mid Rail Tape Sssa Anodizing Aluminum Short Bar","1404","14788069","Korus Trade Inc, Ironridge Inc, Cj Logistics Usa","28357 Industrial Blvd Hayward Ca 94545 Tel 800-227-9523 Attn Mr, 3235 Satellite Blvd Bldg 400 Ste 300 Duluth Ga 30096-8688 Attn : Chong Kim ##, 3235 Satellite Blvd Bldg 400 Ste 300 Duluth Ga 30096-8688 Attn : Chong Kim##"
"Zhejiang Wanfeng Auto Wheel Co Ltd","Industrial Zone Xinchang Zhejiang China Fax:0575-86297218, Industrial Zone Cheng Guan Town Xinchang Zhejiang China, Industrial Zone Xinchang Zhejiang China 315800 Fax:0575-86297218","","Phone Numbers: 057586297218, 05756297500, 057586298219 --- Emails: ","China","247","Oakland, Ca, Los Angeles, Ca, Long Beach, Ca","Ningpo, Shanghai, Prince Rupert, Bc","760421, 870870, 090300","Aluminum Alloy Wheel, Aluminum Alloy Wheel Accessory, Aluminum Alloy Wheel Solid Wood","326","3417281","Ultimate Product Corp, Bestocean Worldwide Logistics Inc, Quartz Logistics Inc","3231 Evergreen Avenue W Sacramento Ca 95691 Fax:916-374-1890, 4411 Schaefer Avenue Chino Ca 91710Tel: 909 219-8000 Fax: 909 219-8100Import@Bestocean Com, 3231 Evergreen Avenue W Sacramento Ca 95691 Tel:916-374-8888"
"Henan Aiheng Aluminum Products Co Ltd","Xihou Village Luzhuang Town Gongyi County Henan China Tel:0371-86085089, Xihou Village Luzhuang Town Gongyi County Henan China, Address: Xihou Industrial Park Gongyi County Zhengzhou Henan China","","Phone Numbers: 037186085089 --- Emails: ","China","229","New York/Newark Area, Newark, Nj, Tacoma, Wa, Savannah, Ga","Qingdao, Pusan, Ningpo","760719, 761510, 760200","Aluminum Foil Aluminum Foil Solid Wood, Aluminum Foil Aluminum Foil Aluminum Foil Roll Solid Wood, Aluminum Foil Aluminum Foil Interfolded Foil Sheet Aluminum Foil Roll Solid Wood","397","3359227","Speedier Shipping Inc, Dollarama L P, Milky Way International Trade Corp","147-39 175Th Street Ste #168 Jamaica Ny11434 Contact:Kathie Tel: 718-244-8833, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006, 147-39 175Th Street Ste #168 Jamaica Ny11434 Contact:Kathie"
