"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Dollarama L P","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada 1-514-737 1006 1-514-731-7755, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006@@, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006","dollarama.com","Phone Numbers: 15147371006, 15147317755, 0015147317755 --- Emails: Traffic@Dollarama Com 1-514-737, Traffic@Dollarama Com","United States","770","Tacoma, Wa, Seattle, Wa, New York/Newark Area, Newark, Nj","Ningpo, Yantian, Qingdao","761510, 761511, 392690","Titan Ultra Aluminum Utility Pan Titan Ultra Aluminum Utility Pan Plastic Lid Mail Cpl Dollarama Cpr, Titan Ultra Deep Pan Titan Ultra Deep Pan Plastic Dome Lid Mail Cpl Dollarama Cpr, Dust Pan Broom Dust Pan Broom Mail Cpl Dollarama Cpr","1392","13025022","Dollarama L P, Canadian Pacific Logistics, 1 Canadian Pacific Logistics","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada 1-514-737 1006 1-514-731-7755, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006@@@@, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006"
"Lg Sourcing Inc","1000 Lowes Boulevard Mooresville Nc 28117 Usa Importdocslowes Com Phone 704-758-1000, 1000 Lowe S Boulevard Mooresville Nc 28117 Usa Importdocs@Lowes Com Phone 704-758-1000, 1000 Lowe S Boulevard Mooresville Nc 28117 Usa Importdocs Lowes Com Phone 704-758-1000","lowes.com","Phone Numbers: 7047581000, 3366584000, 13366585522 --- Emails: Usa Importdocs@Lowes Com Phone, 336-658-4000 Importdocs@Lowes Com, Usa Importdocs@Lowes Com","United States","705","Norfolk, Va, Savannah, Ga, Los Angeles, Ca","Mundra, Singapore, Salalah","690721, 940490, 401691","Household Toilet Articles Nesoi Plastiplastic Flower Pots Does Solid Wood, Fcl Cont Ainers Said Tota Packed Six Thousand Forty Eight Packed Thousand Eight Twenty Glazed Vitrified Tiles Quantity Pie Ces Country India Shipping Bill Packed Rfid Bolt Pan Aaacn Iec Addre Jitendrayevle Nitco Citi Supplier Fina Nce Greenwich Street York Usa Car Tons, Fcl Cont Ainers Said Tota Packed Six Thousand Forty Eight Packed Thousand Eight Twenty Glazed Vitrified Tiles Quantity Pie Ces Country India Shipping Bill Packed Rfid Bolt Pan Aaacn Iec Addre Jitendrayevle Nitco","1709","11944210","Ups Supply Chain Solutions Inc, Citi Supplier Finance Na, Ups Supply Chain Solutions","2031 S Centennial Ave Aiken Sc 29803 Email Upsusaknlowesdocsups Com Ph 1-803-502-6755 F 1-502-374-7424, 2031 S Centennial Ave Aiken Sc 29803 Email : Upsusaknlowesdocs@Ups Com, 2031 S Centennial Ave 29803 Aiken Aiken United States Tel : 803-502-6755 Fax : 502-374-7"
"Dollar General Corp","100 Mission Ridge Goodlettsville Tn 37072-2170 Tel:615-855-4000 Fax:615-855-4422, 100 Mission Ridge Goodlettsville Tn 37072-2170 615-855-4000 615-855-4422, 100 Mission Ridge Goodlettsville Tn 37072-2170 Tel 615-855-4000 Fax 615-855-4422 Tax Num 61-085276400","","Phone Numbers: 6158554000, 6158554422, 370722170615855 --- Emails: ","United States","655","Savannah, Ga, Long Beach, Ca, Los Angeles, Ca","Ningpo, Shanghai, Xiamen","720270, 392410, 441700","Towel Oven Mitt Pot Hold Seaway Bill Llxt Llhg, Foil Floorstand Print Cake Pan Lid Move Type Door Infhn Infhn Infh Ams Ams Bco Expeditors International Nashville Century Blvd Ste Nashville Attn Dray Management Dgdray Expeditors, Med Rackroast Lid Super Rstr Florstand Giant Pan Lid Loaf Pan Nsw Ams Dolqfp Move Type Door Smcn Med Rackroast Lid Super Rstr Florstand Giant Pan Lid Loaf Pan Nsw Ams Dolqfp Move Type Door Smcn Med Rackroast Lid Super Rstr Florstand Giant Pan Lid Loaf Pan Nsw Ams Dolqfp Move Type Door Smcn","2603","19706810","Expeditors Intl Of Wash Inc, Expeditors Internatinal/Sea, Expeditors Internatinal/Sav","2 East Bryan Street Suite 901 Savannah Ga 31401 Michelle Anderson, 26 Century Blvd Ste 702 Nashville United States 37214, 26 Century Blvd Ste 702 Nashville Tn 37214 United States"
"Poeppelmann Plastics Usa Llc","180 Heart Drive U S A - Claremont Nc 28610 Courtney Hutchings +18284669517 Courtneyhutchings@Poeppelmann Com, 180 Heart Drive U S A - Claremont Nc 28610 Courtney Hutchings ퟍ볣꺽 Courtneyhutchings@Poeppelmann Com, 180 Heart Drive U S A - Claremont Nc 28610 Christine Kline +1 828 466 9770 Christinekline@Poppelmannusa Com","poeppelmann.com, poppelmannusa.com","Phone Numbers: +18284669517 --- Emails: +18284669517 Courtneyhutchings@Poeppelmann Com, Courtneyhutchings@Poeppelmann Com, 9770 Christinekline@Poppelmannusa Com","United States","637","Charleston, Sc, New York/Newark Area, Newark, Nj, Oakland, Ca","Bremerhaven, Stadersand, Sines","392690, 981700, 392030","Teku Plastic Plant Pots, Teku Plastic Plant Pots Usa Ger, Teku Plastic Plant Pots Ger","1479","11867380","Profreight Brokers 35A Brunswick, Locher Evers International, Jvk/Livingston International","- Edison Nj 08817 Tel:+17324291600 Fax:17324291800 Import@Profreight Us, - Edison Nj 08817 Tel:ힽ潵 Fax:17324291800 Import@Profreight Us, 456 Humber Place Annacis Business Park Canada-New Westminster Bc V3M6A5 Tel: +1 604 5235100 Fax: +1 604 5235125"
"Meritor Hvs Llc","135 West Maple Road Troy Mi - 48084 - 7186 U S A Melissa Grove Sr Materials Planner 248 435 1437, 2135 West Maple Road Tel 248-435-1352 Troy Mi 48084-7186 United States, 2135 West Maple Road Tel 248-435-1352 Troy Mi 48084 -7186 United States","","Phone Numbers: 2484351437, 2484351352, 24843514371 --- Emails: ","United States","562","Charleston, Sc, Savannah, Ga, Norfolk, Va","Mundra, Jawaharlal Nehru","870850, 870899, 660191","Auto Wooden Auto Rear Axle Shafts Axle Shaft Dtd Dtd Value Usd Pcin Pceg Pan Aaacg Iec, Auto Wooden Auto Rear Axle Shafts Axle Shaft Axle Shaft Axle Shaft Axle Shaft Dtd Dtd Value Usd Pcin Pceg Pan Aaacg Iec, Auto Wooden Auto Rear Axle Shafts Axle Shaft Axle Shaft Dtd Dtd Value Usd Pcin Pceg Pan Aaacg Iec","562","10074688","Meritor Hvs Llc, Nova Shipping, M/S Gna Axles Ltd","135 West Maple Road Troy Mi - 48084 - 7186 U S A Melissa Grove Sr Materials Planner 248 435 1437, 2135 West Maple Road Tel 248-435-1352 Troy Mi 48084-7186 United States, 2135 West Maple Road Tel 248-435-1352 Troy Mi 48084 -7186 United States"
"C Pacific","13503 Pumice Street Norwalk Ca 90650 Tel: 562 802-2199 Fax: 562 802-3022, 13503 Pumice St Norwalk Ca 90650 Usa Tel: 562 802-2199 Fax: 562 802-3022, 13503 Pumice St Norwalk Ca 90650 Tel: 562 802-2199 Fax: 562 802-3022","cpacificfoods.com, cpacificfood.com, cpa.cificfoods.com","Phone Numbers: 5628022199, 5628023022, 5628022389 --- Emails: Import@Cpacificfoods Com, Mail= Import@Cpacificfoods Com, 802-3022 Import@Cpacificfoods Com","United States","421","Los Angeles, Ca, Long Beach, Ca, Norfolk, Va","Qingdao, Ningpo, Vung Tau","170219, 200599, 200580","Canned Baby Corn Cut Brine Label Jack Pot Conf Vietnam Fda, Yellow Peaches Diced Light Syrup Yellow Peaches Diced Light Syrup Brand Jack Pot Conf Solid Wood, Canned Lychee Whole Light Syrup Under Jack Pot Brand Conf Solid Wood","973","14748259","C Pacific, Inter Orient Corp, Afsa Inc","13503 Pumice Street Norwalk Ca 90650 Tel: 562 802-2199 Fax: 562 802-3022, 13503 Pumice St Norwalk Ca 90650 Usa Tel: 562 802-2199 Fax: 562 802-3022, 13503 Pumice St Norwalk Ca 90650 Tel: 562 802-2199 Fax: 562 802-3022"
"Genesco Inc","1415 Murfreesboro Road-Suite 638 Nashville Tn 37217 Attn:Lita Lee Tel: 615 367-7729, 1415 Murfreesboro Road Suite 638 Nashville Tn 37217 Attn:Lita Lee Tel: 615 367-7729, 1415 Murfreesboro Road-Suite 638 Nashville Tn 37217 Attn:Lita Lee Tel: 615 367-7729 Fax: 615 367-7157","","Phone Numbers: 6153677729, 6153677157 --- Emails: ","United States","340","New York/Newark Area, Newark, Nj, New York/Newark, Charleston, Sc","Salalah, Colombo Harbor, Jawaharlal Nehru","640351, 179222, 640391","Marin Company Name Manufex Dia Ice Pan Gfm, Airs Mens Chappals Synthetic Tpr Soles Pany Name Mohib Shoes Pvt Ice Pan Aaecm Buyer Genesco Ustomer Ross Vessel Name Ide Bravo Safmarine Mulanje Maersk Columbus Mber Tcku High Line Carrier Bkg Digit Pos Digit Pos, Airs Mens Leather Full Sho Pairs Boys Leather Sandals Pairs Mens Ather Sandals Cow Ather Tpr Soles Company Name Mohib Shoes Pvt Ice Pan Aaecm Buyer Genesco Vessel Name Klaipeda Msc Agadir Cniu Size Dry Line Invoic Carrier Bkg Digit Digit","367","2543846","Vandegrift Forwarding Co Inc, Genesco Inc","180 East Ocean Blvd Suite 270 Long Beach Ca 90802 Tel: 562-624-3000 Fax: 562-624-8164, Us Vandergr1 Chb 180 East Ocean Blvd Suite 270 Long Beach Ca 90802, Us Vandergr1 Chb"
"Dana Commercial Vehicle Manufacturing Llc","1491 Dana Drive Henderson Ky 42420 Usa Attn - Pina Sizemore Tel - 270-827-6112, 1491 Dana Drive Tel 270-827-6112 Henderson Ky 42420 United States, 1491 Dana Drive Henderson Ky 42420 Usa Attn Pina Sizem Tel - 270-827-6112","","Phone Numbers: 2708276112 --- Emails: ","United States","318","Norfolk, Va, Charleston, Sc","Mundra, Jawaharlal Nehru","870850, 870899, 844833","Auto Wooden Auto Rear Axle Shafts Axle Shaft Finished Axle Shaft Finished Dtd Dtd Value Usd Pcin Pceg Pan Aaacg Iec, Auto Wooden Auto Rear Axle Shafts Axle Shaft Finished Dtd Dtd Value Usd Pcin Pceg Pan Aaacg Iec, Auto Rear Axle Shafts Wooden Auto Rear Axle Shafts Axle Shaft Finished Axle Shaft Finished Dtd Value Usd Pcin Pceg Iec Gna Axles Pan Aaacg","319","5640663","Dana Commercial Vehicle Manufacturing Llc, Nova Shipping","1491 Dana Drive Henderson Ky 42420 Usa Attn - Pina Sizemore Tel - 270-827-6112, 1491 Dana Drive Tel 270-827-6112 Henderson Ky 42420 United States, 1491 Dana Drive Henderson Ky 42420 Usa Attn Pina Sizem Tel - 270-827-6112"
"Old Navy Llc","2 Folsom Street San Francisco Ca 94105 Usa Tel: 415-427-3344, 2 Folsom Street San Francisco Ca 9 4105 Usa Tel 415-427-3344 Fax 41 5-427-7006 94105","","Phone Numbers: 4154273344, 4154277006941 --- Emails: ","United States","317","Los Angeles, Ca, New York/Newark Area, Newark, Nj, Long Beach, Ca","Singapore, Port Redon, Yantian","620342, 610462, 611120","Ens Cotton Polyester Spandex Woven Pan Blue Denim Corduroy Reaches Low Knee Dhgbr Idon Sale Term Fob Indonesia Npwp Peb Kpbc Wood Relay Vessel Maersk Eureka Summary Msku Sum Mary, Ens Cotton Polyester Spandex Woven Pan Blue Denim Corduroy Reaches Low Knee Dhgbr Idon Sale Term Indonesia Npwp Peb Kpbc Wood Materia Relay Vessel Maersk Eureka Summa Msku Ummary, Ens Cotton Polyester Spandex Woven Pan Blue Denim Corduroy Reaches Low Knee Dhgb Idon Sale Term Indonesia Npwp Peb Peb Kpbc Wood Materia Relay Vessel Maersk Eureka Summa Msku Ummary","317","415028","Expeditors International Of Washington Inc, Expeditors International Chicago, Expeditors International Of Washington In","19701 Hamilton Ave Ste 100 Torrance Ca 90502 T:310-343-6200 F:310-225-3791, 849 Thomas Drive Bensenville Il 60106 Attn: Christina Pellegrino, 849 Thomas Drive Bensenville Il 60106 Attn:Christina Pellegrino"
"99 Cents Only Stores Llc","4000 Union Pacific Avenue Commerce Ca 90023 Importdocumentation@99Only Com Tel: 323-980-8145 Ext 1529 Fax:, 4000 Union Pacific Avenue Commerce Ca 90023 Norm Pavlic 323-980-8145 Ext 1529@@, 4000 Union Pacific Avenue Commerce Ca 90023 323-980-8145 Importdocumentation@99Only Com","99only.com, 99onl.y.com, 99onlycom.tel","Phone Numbers: 3239808145 --- Emails: 90023 Importdocumentation@99Only Com Tel, 323-980-8145 Importdocumentation@99Only Com, 90023 Importdocumentation@99Onl Y Com","United States","292","Los Angeles, Ca, Long Beach, Ca, Houston, Tx","Ningpo, Yantian, Xiamen","761511, 262060, 392410","Plastic Pot Plastic Pot, Ceramic Pots Ceramic Pots Pavlic Rowena Guia Pavlic, Plastic Pot Plastic Pot Importdocumentation Only Rowenai Carmnet Importdocumentation Only","783","5304351","99 Cents Only Stores Llc","4000 Union Pacific Avenue Commerce Ca 90023 Importdocumentation@99Only Com Tel: 323-980-8145 Ext 1529 Fax:, 4000 Union Pacific Avenue Commerce Ca 90023 Norm Pavlic 323-980-8145 Ext 1529@@@@, 4000 Union Pacific Avenue Commerce Ca 90023 323-980-8145 Importdocumentation@99Only Com"
