"Supplier Name","Top Addresses","Supplier Websites","Supplier Contact Info","Supplier Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"M/S Gna Axles Ltd","Unit No Ii Vill Gulabgarh Jattan Tehsil Phagwara Distt Kapurthala - 144407 Punjab India Pan No Aaacg8506Cft001, Unit No Ii Vill Gulabgarh Jattan Tehsil Phagwara Distt Kapurthala Punjab 144407 India, Unit No Ii Vill Gulabgarh Jattan Tehsil Phagwara Distt Kapurthala - 144407 Punjab India","","Phone Numbers: 2271135513963 --- Emails: ","India","919","Norfolk, Va, Charleston, Sc, Savannah, Ga","Mundra, Jawaharlal Nehru","870850, 870899, 844833","Auto Wooden Auto Rear Axle Shafts Axle Shaft Dtd Dtd Value Usd Pcin Pceg Pan Aaacg Iec, Auto Wooden Auto Rear Axle Shafts Axle Shaft Axle Shaft Axle Shaft Axle Shaft Dtd Dtd Value Usd Pcin Pceg Pan Aaacg Iec, Auto Wooden Auto Rear Axle Shafts Axle Shaft Axle Shaft Dtd Dtd Value Usd Pcin Pceg Pan Aaacg Iec","920","16425195","Meritor Hvs Llc, Dana Commercial Vehicle Manufacturing Llc, Sistemas Automotrices De Mexico S A De C V","135 West Maple Road Troy Mi - 48084 - 7186 U S A Melissa Grove Sr Materials Planner 248 435 1437, 1491 Dana Drive Henderson Ky 42420 Usa Attn - Pina Sizemore Tel - 270-827-6112, 1491 Dana Drive Tel 270-827-6112 Henderson Ky 42420 United States"
"Poeppelmann Gmbh & Co","Kg Kunststoffwerk/Werkzeugbau Bakumerstr 73 49393 Lohne/Germany, Kg Kunststoffwerk/Werkzeugbau Bakumer Strasse 73 49393 Lohne, Kg Kunststoffwerk-Werkzeugbau D-49393 Lohne / Germany","","Phone Numbers:  --- Emails: ","Germany","685","Charleston, Sc, New York/Newark Area, Newark, Nj, Miami, Fl","Bremerhaven, Stadersand, Sines","392690, 981700, 392030","Teku Plastic Plant Pots, Teku Plastic Plant Pots Usa Ger, Teku Plastic Plant Pots Ger","1537","12213107","Profreight Brokers 35A Brunswick, Locher Evers International, Poppelmann Plastics Usa Llc","- Edison Nj 08817 Tel:+17324291600 Fax:17324291800 Import@Profreight Us, - Edison Nj 08817 Tel:ힽ潵 Fax:17324291800 Import@Profreight Us, 456 Humber Place Annacis Business Park Canada-New Westminster Bc V3M6A5 Tel: +1 604 5235100 Fax: +1 604 5235125"
"Qingzhou Jinxin Flowerpot Co Ltd","North Of Quanzi Village Huanglou Sub-District Office Qingzhou City Weifang City Shandong Province, North Of Quanzi Village Huanglou Sub-District Office Qingzhou City Weifang City Shandong Province262500, North Of Quanzi Village Huang Lou Sub-District Office Qingzhoucity Weifang City","","Phone Numbers: 05363838678 --- Emails: ","China","273","Los Angeles, Ca, Long Beach, Ca","Qingdao, Ningpo, Shanghai","690990, 070960, 290512","Plastic Pots Plastic Pots Plastic Pots, Plastic Pots Plastic Pots, Plastic Pots Plastic Pots Plastic Pots Grow","883","8950940","Xy Inc, Xin Yuan Inc, Xinyuan International Trade Inc","1925 Doreen Ave South El Monte Ca 91733 +1 909 287-9867 Xinyuaninc1018@Gmail Com, 1925 Doreen Ave South El Monte Ca 91733 +1 909 287-9867, 9715 Klingerman St S El Monte Ca 91733 626-3456111 Xinyuaninc1018@Gmail Com"
"Beijing Kang Jie Kong International","Cargo Agent Co Ltd Ningbo Branch Room 710 7Th Floor Phase Ii Howard Johnson Plaza Ningbo No 230, Cargo Agent Co Ltd Xiamen Branch Unit 406-410 4Th Floor Tower E Xiamen Int L Shipping Center, Cargo Agent Co Ltd Ningbo Branch Room 710 7Th Floor Phase Ii Howard Johnson Plaza","","Phone Numbers:  --- Emails: ","China","268","Savannah, Ga, Long Beach, Ca, Los Angeles, Ca","Ningpo, Xiamen, Hong Kong","392410, 441700, 741021","Askill Glue Gun Dual Temp Artskills Button Magnet Artskills Beads Crystal Alphabet Bead Askills Embroidery Farm Artskills Sketchbook Pkt Artskills Bucket Metal Artskills Acrylic Pots Artskills Clay Classics Artskills Macrame Cord Plastic Bottle Lic Jewelry Kit Micro Power Diy Kit Socks Hrvst Garden Flag Ast Holiday Decorations Nsw Ams Dolqfp Move Type Door Qsp Qylx Qyqg Qyqd Ningbo China, Askills Paint Brshes Bulk Askills Paint Mrker Blk Askills Watercolor Paper Artskills Button Magnet Artskills Macrame Cord Askills Sketch Book Spral Artskills Canvas Tape Runner Deco Podge Matte Artskills Acrylic Pots Wooden Decoration Fridge Magnet Other Toys Paper Plastic Decoration Snap Clip Comb Comb Twister Hair Brush Comb Twister Snap Clip Elastics Plastic Bands Comb Jaw Clip Tub Mat Waffle Taupe Gray Tub Mat Waffle White Dgh Floor Scrub Brush Dgh Sponge Dgh Bottle Brush Dgh Glass Puff Brush Dgh Palm Brush Dgh Shower Squeegee Bath Cap Artskills Mini Cnvs Askills Illustration Pens Deco Podge Gloss Askill Glue Gun Dual Temp White Poster Board Fabric Shaver Artskills Beads Crystal Poster Board Glitter Lrg Glitter Poster Board Heavyweight Black Quick Letters Artskills Prem Mrkr Blend Dryer Balls Utility Hanger Clips Hook Over Door Wood Clothespins Dgh Radial Dish Brush Lrg Canvas Panel Zip Bags Fabric Scssrs Paint Red White Move Type Door Nqsl Ntnb Mcx Ndvk Npcq Npcw Ams Ams Bco Also , Ast Dino Pillow Dino Money Bank Canister Large Canister Medium Canister Small Wooden Decorations Plastics Gsj Bamboo Pot Brush Wooden Decoration Coffee Laundry Hook Easter Butterfly Decorative Painting Hng Mini Beads Hng Hanger Decor Mdf Glass Table Deco Picture Frame Wall Art Decor Move Type Door Tmlq Tmlv Tmls Infkc Infkc Tlgt Tlh Tmkp Tmmf Infk Infk Infk Infk Infk Tmkk Tywy Ttn Tmlx Tbn Tbn Nsw Ams Dolqfp Chinaes Ast Dino Pillow Dino Money Bank Canister Large Canister Medium Canister Small Wooden Decorations Plastics Gsj Bamboo Pot Brush Wooden Decoration Coffee Laundry Hook Easter Butterfly Decorative Painting Hng Mini Beads Hng Hanger Decor Mdf Glass Table Deco Picture Frame Wall Art Decor Move Type Door Tmlq Tmlv Tmls Infkc Infkc Tlgt Tlh Tmkp Tmmf Infk Infk Infk Infk Infk Tmkk Tywy Ttn Tmlx Tbn Tbn Nsw Ams Dolqfp China","1156","9888192","Expeditors Internatinal/Sav, Expeditors Internatinal/Sea, Expeditors Intl Of Wash Inc","2 East Bryan Street Suite 901 Savannah Ga 31401 Michelle Anderson, 26 Century Blvd Ste 702 Nashville United States 37214, 19119 16Th Ave S Seatac Wa 98188 Shawn Oughton Tel: 206-826-4100 Fax:"
"Jubilant Agri & Consumer Products Ltd","Plot No 15 Knowledge Park-Ii Greater Noida - U P Pin-201 306 India X, Plot No 15 Knowledge Park-Ii Greater Noida - U P Pin-201 306 India, Plot No 15 Knowledge Park-Ii Greater Noida - U P Pin-201 306 India Tel +91 120 7186000 X","","Phone Numbers: +911207186000, 1207186000 --- Emails: ","India","188","Savannah, Ga, Norfolk, Va, Charleston, Sc","Mundra, Jawaharlal Nehru, Bombay","390430, 291532, 400211","Dully Palletized Shrink Wrapped Nos Bags Dully Palletized Shrink Wrapped Poly Vinyl Acetate Solid Vamipol Bill Dtd Gje Dtd Days Detention Free Time Destination Xgstin Aadcc Pan Aadcc Xxemail Importsajclogistics, Dully Palletized Nos Bags Dully Palletized Shrink Wrapped Poly Vinyl Acetate Solid Vamipol Bill Dtd Gje Dtd Days Detention Free Destination Xgstin Aadcc Pan Aadcc, Dully Palletized Shrink Wrappedpo Nos Bags Dully Palletized Shrink Wrapped Poly Vinyl Acetate Solid Vamipol Bill Dtd Gje Dtd Xgstin Aadcc Pan Aadcc","618","7193490","Ajc Logistics Llc, Jubilant Industries Inc, Kind Attn Ms Cristina","1000 Abernathy Rd Suite 600 Atlanta Ga 30328 Phone 404-942-1607 Email Importsajclogistics Com, 1000 Abernathy Rd Suite 600 Atlanta Ga 30328 Contact Amy Mcpherson Xx, 1000 Abernathy Rd Suite 600 Atlanta Ga 30328 Contact Amy Mcpherson Phone 404-942-1607Xx"
"Damco India Pvt Ltd","3Rd Floor Old No 130 New No 50 Ganesh Of Bldg Velachery Rd Saidapet 600015 Chennai Tn Chennai, O/B:K H Exports India Privateltd 15/2 College Rd Nungambakkam, O/B:T Abdul Wahid Co 55 Vepery High Road Chennai 600003","","Phone Numbers: +914425610296, 08754447033, 401402501502 --- Emails: ","India","178","New York/Newark Area, Newark, Nj, Los Angeles, Ca, Savannah, Ga","Colombo Harbor, Xiamen, Salalah","640399, 640351, 640391","Cotton Knitted Mens Shirt Cotton Knitted Mens Shirt Pan Aarca Mail Moorthyakrind Sathishakrind Logisticsakrind Cotton Knitted Mens Shirt Cotton Knitted Mens Shirt Pan Aarca Mail Moorthyakrind Sathishakrind Logisticsakrind Cotton Knitted Mens Shirt Cotton Knitted Mens Shirt Pan Aarca Mail Moorthyakrind Sathishakrind Logisticsakrind Cotton Woven Mens Pant Cotton Woven Mens Pant Cotton Spandex Woven Mens Pant Cotton Spandex Woven Mens Shorts Cotton Woven Mens Pant Cotton Woven Mens Pant Cotton Spandex Woven Mens Pant Cotton Spandex Woven Mens Shorts Cotton Woven Mens Pant Cotton Woven Mens Pant Cotton Spandex Woven Mens Pant Cotton Spandex Woven Mens Shorts Cotton Woven Mens Pant Cotton Woven Mens Pant Cotton Spandex Woven Mens Pant Cotton Spandex Woven Mens Shorts Cotton Woven Mens Pant Cotton Woven Mens Pant Cotton Spandex Woven Mens Pant Cotton Spandex Woven Mens Shorts Cotton Woven Mens Pant Cotton Woven Mens Pant Cotton Spandex Woven Mens Pant Cotton Spandex Woven Mens Shorts Cotton , Cotton Knitted Mens Shirt Cotton Knitted Mens Shirt Pan Aarca Sankarakrind Cotton Knitted Mens Shirt Cotton Knitted Mens Shirt Pan Aarca Sankarakrind Cotton Knitted Mens Shirt Cotton Knitted Mens Shirt Pan Aarca Sankarakrind Elastane Woven Mens Shorts Cotton Elastane Woven Mens Shorts Nylon Elastane Woven Mens Shorts Ngc Elastane Woven Mens Shorts Cotton Elastane Woven Mens Shorts Nylon Elastane Woven Mens Shorts Ngc Elastane Woven Mens Shorts Cotton Elastane Woven Mens Shorts Nylon Elastane Woven Mens Shorts Ngc Elastane Woven Mens Shorts Cotton Elastane Woven Mens Shorts Nylon Elastane Woven Mens Shorts Ngc Elastane Woven Mens Shorts Cotton Elastane Woven Mens Shorts Nylon Elastane Woven Mens Shorts Ngc Cotton Woven Mens Shorts Polyester Cotton Pocketing Ngc Cotton Woven Mens Shorts Polyester Cotton Pocketing Ngc Cotton Woven Short Ngc Cotton Woven Short Ngc Cotton Woven Short Ngc Ngc Akr Industries Private Limited Celebrity Fashions Shahi Exports Pvt Fionapcarmnet Ngc Akr Industries, Cotton Women Woven Shirt Aquarell India Laj Exports Vishwaa Apparels Contact Andrewt Carmnet Athenas Carmnet Rubyc Carmnet Womens Shirts Womens Wov Shirts Etp Spx Mens Woven Pan Lelbel Cotton Oven Mens Shirts Lelbel Polyster Wool Viscose Acrylic Polymade Woven Womens Jacket Lelbel","379","2018527","Vandegrift Forwarding Co Inc, Maersk Customs Services Usa Inc, The North Face A Division Of Vf Outdoor Llc","180 E Ocean Blvd Ste 270 Long Beach California 90802, Us Vandergr1 Chb 180 East Ocean Blvd Suite 270 Long Beach Ca 90802, 180 East Ocean Blvd Suite 270 Long Beach Ca 90802 Tel: 562-624-3000 Fax: 562-624-8164"
"Welspun Global Brands Limited","Survey No 190 Chandanvelly Village Shabad Mandal Ranga Reddy District Hyderabad India 509217, Survey No 190 Chandanvelly Village Shabad Mandal Ranga Reddy District Hyderabad- 509217, Survey No 190 Chandanvelly Village Shabad Mandal Ranga Reddy District Hyderabad India","","Phone Numbers:  --- Emails: ","India","167","New York/Newark Area, Newark, Nj, Norfolk, Va, Savannah, Ga","Jawaharlal Nehru, Singapore, Algeciras","391810, 570339, 630260","Spc Tiles Thickness Gst Aaacw Pan Aaacw Spc Tiles Thickness, Gst Aaacw Pan Aaacw Spc Tiles Thickness Vtramebry Mil Packed Fob Mumbai, Gst Aaacw Pan Aaacw Spc Tiles Thickness Vtramebry Mil Packed Fob Nhava Sheva Mumbai","420","6640851","M S International Inc, Globeline Shipping Inc, Globeline International Shipping Inc","2095 Batavia Street Orange Ca 92865 United States Of America Fax 714-685-7679 Usa, 555 Republic Dr Ste 418 Plano Tx 75074 Oti No : 027591Nf, 10511 Medallion Drive 45241 Cincinnati Usa"
"Century Distribution Systems","Shenzhen Ltd 13 Floor Block A Nan Fang Security Building No:2018 Jianshe Road, Shenzhen Ltd A Consolidator 13 Floor Block A Nan Fang Security Building No:2018, Shenzhen Ltd Ningbo Branch Room 9-1 To 9-15 Ningbo Tianning Mansion","","Phone Numbers:  --- Emails: ","China","163","Los Angeles, Ca, Norfolk, Va, New York/Newark Area, Newark, Nj","Yantian, Xiamen, Ningpo","950510, 670210, 670290","Copy Negotiable Release Procedures Wood Mate Details Itemized Ipo Qus Blue Jean Chef Piece Sheet Pan Dinner Ipo Qus Blue Jean Chef Piece Sheet Pan Dinner Ipo Qus Blue Jean Chef Piece Sheet Pan Dinner Will Settle Local Charge Rmb Shenzhen Issue Sea Way Bill Shenzhen Pls Show Charges Charges Verify Copypls Ssue Mbl Only Ntains Wood Materia Lfull Particular Attach Listpls Send Copy Invoic Miyagong Cds, Flckd Potted Tabletop Tree Rbn Blk Flckd Potted Tabletop Tree Rbn Luohu District Shenzheno King Tree Handicrafts Shenzhen Laden Board Wood Mate Qvc Wilson Drive Studio West Chester Attn Tina Nask Mail, Aged Gold Deer Whitewash Treesaged Gold Deer Whitewash Trees Aged Gold Deer Whitewash Trees Glittered White Gold Poinsettia Cone Trees Gold Leaf Trees Whitewash Trees Carved Santa Lantern Saddled Deer Black Bear Evergreen Tree Whitewash Trees Black Bear Whitewash Trees Razimportsdjsintl States That Does Any Wood Lighted Black Lamppost Potted Half Tree Pumpkins Skiing Black Bear Skiing Black Bear Acorns Snowy Gilded Trees Carved Nativity Carved Santa Lantern Lighted Gingerbread Cupcake House Lighted Black Lamppost Green Gold Sleigh Lighted Black Lamppost Lighted Black Lamppost Lighted Black Lamppost Carved Nativity Lighted Gingerbread Cupcake House Razimportsdjsintl States That Does Any Wood","535","3774521","D J S International, Geodis Usa The Navy Yard, Qvc Inc","4215 Gateway Drive #100 Colleyville Tx 76034 Tel:972-929-8433 Attn:Jeff S Meyer Email: Razimports@Djsintl Com, 1200 Wilson Drive Studio Park West Chester Pa 19380-4262 Attn: Tina Nask Fax 484-701-1402, 4215 Gateway Drive #100 Colleyville Tx 76034 Tel: 972-929-8433 Attn: Jeff S Meyer@@"
"R B Agarwalla & Co","2/6 Sarat Bose Road Suite # 606 6Th Floor Kolkata-700 020 India, 2/6 Sarat Bose Road Central Plaza 6Th Floor Kolkata -7000020 India Phone # 03324858750/51/52@, 2/6 Sarat Bose Road Central Plaza 6Th Floor Kolkata -7000020 India Phone # 03324858750/51/52 @","","Phone Numbers: 03324858750, 03324858749 --- Emails: ","Taiwan","156","Tacoma, Wa, New York/Newark Area, Newark, Nj, Los Angeles, Ca","Kao Hsiung, Colombo Harbor, Salalah","732599, 732510, 732990","Cast Iron Articles Ductile Iron Castings Rough Machined Malleable Cast Articles Iron Sanitary Casting Prescanned Radiationno Radiation Detectednon Radiation Certificate Issued Inspectorate Griffith India Pvt Dated Nett Exp Dated Iec Pan Aadfr Emaid Trevorbrienhotmail Phone Gst Aadfr Oceandocsdavidsonandsons, Ductile Iron Castings Ductile Iron Castings Ductile Iron Castings Rough Machined Malleable Cast Articles Iron Sanitary Casting Prescanned Radiation Radiation Detected Radiation Certificate Issued Inspectorate Griffith India Pvt Dated Dated Nett Exp Dated Iec Pan Aadfr Emaid Trevorbrien Hotmail Phone Gst Aadfr Oceandocs Davidsonandsons, Ductile Iron Castings Ductile Iron Castings Rough Machined Malleable Cast Articles Iron Sanitary Casting Prescanned Radiation Radiation Detected Radiation Certificate Issued Inspectorate Griffith India Pvt Dated Dated Nett Exp Dated Iec Pan Aadfr Emaid Trevorbrien Hotmail Phone Gst Aadfr Oceandocs Davidsonandsons Ductile Iron Castings","277","4181619","Ch Powell, David & Sons Customs Brokers Ltd, Fedex Trade Networks Transport & Brokerage Inc","3663 North Sam Houston Parkway Eas Suite 150 Houston Tx 77060 Attn: Paula P 281 442-5363 Fax, 3663 North Sam Houston Parkway East Suite 150 Houston Tx 77060 Attn: Paula P 281 442-5363 Fax 2, 1220 1188 West Georgia Street Vancouver Bc Canada Vbe 4A2 Phone 604-597-2512 Denise@Davidsonandsons Com@@"
"Ningbo Hao He International","Transportation Co Ltd Room 2515 Hualian Building Ningbo City China, Transportation Co Ltd Add:Room 2515 Hualian Building Ningbo City China Tel:0086-574-87253100, Transportation Co Ltd Add:Room 2515 Hualian Building Ningbo City China","","Phone Numbers: 00865748725310 --- Emails: ","China","150","Tacoma, Wa, Seattle, Wa, Los Angeles, Ca","Ningpo, Yantian, Qingdao","761511, 071331, 691110","Artificial Plants Smile Face Splash Pumper Water Gun Shk Betty Crocker Oblong Cake Pan Also Dollarama Avenue Royalmount Mont Royal Quebec Canada, Assorted Glow Bracelets Assorted Glow Bracelets Assorted Glow Wands Melamine Tableware Mini Artificial Succulent Animal Pot, Bamboo Skewer Bamboo Skewer Wide End Utility Elastics Large Round Xmas Bamboo Basket Handles Shk Betty Crocker Large Cookie Sheet Betty Crocker Oblong Cake Pan","215","2496249","Dollarama L P, Canadian Pacific Logistics","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada 1-514-737 1006 1-514-731-7755, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006@@@@"
