"Supplier Name","Top Addresses","Supplier Websites","Supplier Contact Info","Supplier Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Taizhou Ganglong Plastic Co Ltd","Shilipu Huangyan South City Indu Strial Estate Taizhou City Zhej Iang Province China, No 139 Changning Road Beiyang Town Huangyan District Taizhou City Z Hejiang Province China, No 139 Changning Road Beiyang Town Huangyan District Taizhou City Zh Ejiang Province China","","Phone Numbers:  --- Emails: ","China","219","Oakland, Ca, Los Angeles, Ca, Long Beach, Ca","Ningpo","851610, 390760, 392220","Plastic Water Bottle, Glass Food Storage Plastic Water Bottle, Glass Food Storage Plastic Water Bottle Glass Food Storage Plastic Water Bottle","503","2952509","Leapfrog Product Development Llc, Same As Consignee","159 N Racine Ave 4Th Floor Chicago Il 60607 Tel 312 229 0027, 1400 N Kingsbury St Suite 100 Chic Ago Il 60642 U S A Tel 312 229 00 27, Same As Consignee"
"Natural Waters Of Viti Pte Ltd","Naseyani Road Lautoka Fiji Islands, 1 Naseyani Rd Yaqaea Fiji Nz, Yaqara Fiji Islands","","Phone Numbers:  --- Emails: ","Fiji","203","Philadelphia, Pa, Long Beach, Ca, Oakland, Ca","Apia, Tauranga, Cartagena","840220, 760200, 293379","Bottled Water, Said Ontain Bottled Water, Bottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Water","9131","120004544","Steam Logistics Llc, Expeditors International Of Washing, Expeditors Intl Of Wash Inc","25 Market Street Chattanooga Tn 37402 Fijicustoms@Steamlogistics Com, 3930 E Watkins St Ste 100 85034-7275 Phoenix, 3930 East Watkins St Suite 100 Phoenix Az 85034 602 437-8877 Us"
"Sara Rose International Inc","20 F No 31 Section 2 Sanmin Road Banqiao District New Taipei City 22069 Taiwan Tel: 886-2-2963 5151, 20 F No 31 Section 2 Sanmin Road Banqiao District New Taipei City 22069 Taiwan Tel: 886-2-2963 5151 Fax:, 20 F No 31 Section 2 Sanmin Road Banqiao District New Taipei City 22069 Taiwan Tel: 886-2-2963 5151 @","","Phone Numbers: 886229635151, 886229611682 --- Emails: ","China","196","Tacoma, Wa, Seattle, Wa, Los Angeles, Ca","Ningpo, Shanghai, Kao Hsiung","940340, 392410, 961700","Children Licensed Kitchenware Children Licensed Kitchenware Plastic Kitchenware Kitchenwares Wooden Wood Water Bottle Stainless Steel Mug Alvin Woo Expeditors Tyson Loch Expeditors, Water Bottle Children Licensed Kitchenware Plastic Kitchenware Kitchenwares Wooden Wood Water Bottle Stainless Steel Mug Phone Alvin Wooexpeditors Tyson Lochexpeditors, Children Licensed Kitchenware Children Licensed Kitchenware Plastic Kitchenware Kitchenwares Wooden Wood Water Bottle Stainless Steel Mug Phone Alvin Woo Expeditors Tyson Loch Expeditors","198","1177915","Zak Designs Inc, Expeditors International Of Washing, Expeditors International Of Washington","1603 S Garfield Road Airway Heights Wa 99001 Usa Attn:Daini Hertel Tel: 509 2448693 Fax: 509 2440744, 1603 S Garfield Road Airway Heights Wa 99001 Usa Attn:Daini Hertel Tel: 509 2448693, 19119-16Th Avenue South Seatac Wa 98188 U S A Attn=Alvin Woo/Tyson L Och"
"Beijing Kang Jie Kong International","Cargo Agent Co Ltd Ningbo Branch Room 710 7Th Floor Phase Ii Howard Johnson Plaza, Cargo Agent Co Ltd Ningbo Branch Room 710 7Th Floor Phase Ii Wyndham Grand Plaza Royale Ningbo No 230 Liuting Street Ningbo-, Cargo Agent Co Ltd Ningbo Branch Room 710 7Th Floor Phase Ii Wyndham Grand Plaza Royale Ningbo","","Phone Numbers:  --- Emails: ","China","181","Savannah, Ga, Los Angeles, Ca, Long Beach, Ca","Ningpo, Yantian, Pusan","231500, 392410, 701391","Adult Vrty Pack Water Bottle Ncklc Erng Rings Tumbler Pink Curtain Rod Sponge Deco Cell Val Scented Stickers Solar Light Tkqt Tmkm Ams Ams Bco Expeditors International Nashville Century Blvd Ste Nashville Attn Dray Management Dgdray Expeditors, Artificial Flower Solar Light Sponge Deco Cell Splash Toy Solar Spotlight Beaded Bolster Pswk Oct Table Clock Val Scented Stickers Curtain Rod Solar Table Stake Light Kids Water Bottle Move Type Door Infj Tspr Tkqt Tmkm Vyyq Vyyn Wcly Nsw Ams Dolqfp Chinaartificial Flower Solar Light Sponge Deco Cell Splash Toy Solar Spotlight Beaded Bolster Pswk Oct Table Clock Val Scented Stickers Curtain Rod Solar Table Stake Light Kids Water Bottle Move Type Door Infj Tspr Tkqt Tmkm Vyyq Vyyn Wcly Nsw Ams Dolqfp China, Black Mesh Kennel Cover Black Mesh Kennel Cover Ceramic Cement Decorative Ware Dog Trainer Ret Water Bottle Wood Actual Albert Hazel Llc Sec Zhongshan Zhonghe Dist Taipei City Taiwan Jinxin International Trading Flat Yip Fung Building Sheung Hei Street San Kong Hongkong Polytuf Brands South Kingshighway Sikeston Missouri United States Shanghai Rocks International Song Road Shanghai Shanghai Shanghai China Cnee Cnee Cnee Cnee Cnee Cnee Cnee Chb","803","6474390","Expeditors Internatinal/Sea, 2 Expeditors International Nashville, Expeditors Internatinal/Sav","2 East Bryan Street Suite 901 Savannah Ga 31401 Michelle Anderson, 26 Century Blvd Ste 702 Nashville Tn 37214 Attn Dray Management E Dgdrayexpeditors Com P 615 855 4438, 19119 16Th Ave S Seatac Wa 98188 Shawn Oughton Tel: 206-826-4100 Fax:"
"Harmless Harvest Thailand Ltd","222 14 Moo 7 Baan Koh Mueang Samut Sakorn Samut Sakorn 74000 Th, 222/14 Moo 7 Baan Koh Mueang Samut Sakorn Samut Sakorn 74000 Thailand","","Phone Numbers:  --- Emails: ","Thailand","153","New York/Newark Area, Newark, Nj, Long Beach, Ca, Los Angeles, Ca","Laem Chabang, Singapore, Military ?C Port Kelang","200989, 392330, 081190","Bottles Organic Coconut Water Plain Ffl Hhti Temp, Bottles Organic Coconut Water Plain Ffl Layers Hhti Temp, Bottles Organic Coconut Water Plain Double Stack Hhti Temp","423","4669817","Harmless Harvest Inc","C O Garden State Cold Storage 580 Port Carteret Dr Carteret Nj 07008 Us, C O Kpac 1420 W Coil Ave Wilmington Ca 90744 Us, C/O Kpac 1420 W Coil Ave Wilmington Ca 90744 Usa Tel : +1 310-522-1918"
"Natural Waters Of Viti Ltd","Lot 1 Naikabula Road Lautoka Fiji","","Phone Numbers:  --- Emails: ","Fiji","128","Philadelphia, Pa, Houston, Tx, Port Everglades, Fl","Tauranga, Puerto Manzanillo, Cartagena","840220, 220110","Bottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Water, Bottled Water, Bottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Water","4039","51559844","Steam Logistics Llc, Ceva Logistics, Expeditors Intl Of Wash Inc","325 Market Street Chattanooga Tn 37402 Fijicustoms@Steamlogistics Com, 1880 Matheson Bld East Mississauga Canada, 3930 East Watkins St Suite 100 Phoenix United States"
"Nirvana Foods & Commerce International Co Ltd","99 99/99 Moo 1 Tambol Tubloung Amphor Mueang Nakornpathom Thailand 73000","","Phone Numbers:  --- Emails: ","Thailand","94","Los Angeles, Ca, Tacoma, Wa, Long Beach, Ca","Kao Hsiung, Laem Chabang, Vung Tau","200989, 210120, 081190","Coconut Water Coconut Water Taste Nirvana Brand Premium Coconut Water Glass Bottle Harmonized Pack Free Charge Harmonized Premium Coconut Water Glass Bottle Harmonized Pack Free Charge Harmonized Premium Coconut Water Glass Bottle Harmonized Pack Free Charge Harmonized, Coconut Water Coconut Water Taste Nirvana Brand Trays Premium Coconut Water Glass Bottle Harmonized Pack Tray Free Charge Harmonized Trays Premium Coconut Water Aluminium Canned Harmonized Pack Tray Free Charge Harmonized Trays Real Coconut Water Tender Coconut Bits Aluminium Canned Harmonized Pack Tray Free Charge Harmonized, Coconut Water Taste Nirvana Brand Premium Coconut Water Glass Bottle Harmonized Free Charge Harmonized","259","3778636","P S W Inc, P S W Enterprises Inc","149 Via Trevizio Corona Ca 92879 Usa Tel : 951 371-7100 Fax : 951 371-7101, Dba Taste Nirvana Int L 281 Corporate Terrace Cir Corona Ca 92879 Usa Tel : 951 371-7100, 1215-8888 Odlin Crescent Richmond British Columbia Canada V6X 3Z8 Tel:604-270-8097 Ext 222"
"Kut International Co Ltd","Flat/Rm 705 7/F Fa Yuen Comm Bldg No 75 Fa Yuen Street Mong Kok Kl, Flat/Rm 1405C 14/F Lucky Centre 165-171 Wan Chai Road Wanchai Hongkong, Flat/Rm 705 7/F Fa Yuen Comm Bldg No 75 Fa Yuen Street Mong Kok Kl Hongkong","","Phone Numbers:  --- Emails: ","China","75","Los Angeles, Ca, Long Beach, Ca","Yantian, Ningpo","390760, 691090, 920300","Glass Water Bottle Glass Water Bottle, Glass Water Bottle Glass Water Bottle Stainless Steel Straw, Auto Darkening Welding Helmet Auto Darkening Welding Helmet Women Sweaters Glass Water Bottle Suction Bar","78","910449","Shuntak Intl Inc, Virtue Innovation Inc, Iveta Products Inc","3333 S Brea Canyon Rd #119 Diamond Bar Ca 91765 Email :1923734926@Qq Com, 17800 Colima Rd Unit 793 Rowland Heigths Ca91748 Email :3113153929@Qq Com, 19223 Colima Rd 934 Rowland Heights Ca91748 Email:511052292@Qq Com"
"Dhl Global Forwarding China Co","Ltd Shenzhen Branch O/B King S Flair Development Ltd 12/Fl Yardley Comm Bldg, Ltd Shenzhen Branch O/B King S Flair Development Ltd 12/Fl Yardleycomm Bldg 3 Connaught Road West, Ltd Shenzhen Branch O/B King S Flair Development Ltd 12/Fl Yardley Comm Bldg 3 Connaught Road","","Phone Numbers:  --- Emails: ","China","73","Los Angeles, Ca, Long Beach, Ca, New York/Newark Area, Newark, Nj","Yantian","392330, 961700","Wooden Furniture Excl Plastic Water Bottle Coleman Company North Lasalle Suite Chicago Attn Erin Nicholas Erin Nicholas Coleman, Campacking Stainless Steel Water Bottle Coleman Company North Lasalle Suite Chicago Attn Erin Nicholas Erin Nicholas Coleman, Table Kitchen Other Househ Plastic Water Bottle Coleman Company North Lasalle Suite Chicago Attn Erin Nicholas Erin Nicholas Coleman","73","739515","Ch Powell Company, Expeditors Stl, The Coleman Company Inc","478 Wando Park Blvd Mt Pleasant Sc 29464 Robin Elsmore Tel 843-856-2484, 478 Wando Park Blvd Mt Pleasant Sc29464 Robin Elsmore Tel 843-856-2484, 478 Wando Park Blvd Mt Pleasant Sc 29464 Nrimports Chpowell Com"
"Far East Brokers Hk Ltd","Nit 2023 20/F Corporation Park 11 On Lai Street Shatin Nt Hong Kong Tel: 852-27399016 Fax: @, Nit 3 23/F Corporation Park 11 On Lai Street Shatin Nt Hong Kong Tel: 852-27399016 Fax: 852-23162099, Nit 2025 20/F Block B Corporation Park 11 On Lai St Shatin N T Hong Kong","","Phone Numbers: 85227399016, 85223162099 --- Emails: ","China","73","New York/Newark Area, Newark, Nj, Norfolk, Va, Savannah, Ga","Ningpo, Xiamen, Shanghai","390760, 392220, 691110","Bath Bath Pop Hamper Pva Cool Towel Water Bottle Vacuum Bottle Vacuum Bottle Bowl Cup Plastic Houseware Wood Lmcmillan Fareastbrokers Lmcmillan Fareastbrokers, Beach Umbrella Beach Umbrella Clamp Umbrella Water Bottle Led Light Solar Garden Stake Illuminating Stake Pdq Solar Butterfly Stick Light Pdq Asst Pva Cool Towel Steel Sport Chair Cup Holder Rocking Chair Wood Invoices Fareastbrokers Invoices Fareastbrokers, Beach Umbrella Glow Beach Umbrella Glow Patriotic Straw Hats Asst Bulk Water Bottle Wood Invoices Fareastbrokers Invoices Fareastbrokers","75","614487","Far East Brokers And Consultants Inc","3644 Philips Hwy Jacksonville Fl 32207 Tel: 904-332-9006 Fax: @@@, 3644 Philips Hwy Jacksonville Fl32207 Tel: 904-332-9006 Fax: @@@, 3644 Philips Hwy Jacksonville Fl 32207 Tel: 904-332-9006 Fax:"
