"Supplier Name","Top Addresses","Supplier Websites","Supplier Contact Info","Supplier Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"General Toys Co Ltd","Unit2 Lg1 Mirror Tower 61 Mody Road Tsim Sha Tsui Kowloon Hong Kong Tel: 852-25988776, Unit2 Lg1 Mirror Tower 61 Mody Road Tsim Sha Tsui Kowloon Hong Kong Tel: +852-25988776, Unit 2 Lg1 Mirror Tower 61 Mody Road Tsim Sha Tsui Kowloon Hong Kong Tel: 852-25988776","","Phone Numbers: 85225988776, +85225988776, 8657487313473 --- Emails: ","Singapore","9693","Los Angeles, Ca, New York/Newark Area, Newark, Nj, Long Beach, Ca","Singapore, Vung Tau, Kao Hsiung","940370, 940161, 940360","Furniture Furniture, Wicker Furniture Wicker Furniture, Furniture Table Chair Furniture Table Chair","10026","85294528","Nik Transport Inc, Sen Mart International, Nik Transport","10330 Pioneer Blvd # 100 & 160 Santa Fe Spring Ca 90670 Direct: 562-758-9601 Office: 562-758-9600, 10330 Pioneer Blvd #100 & #160 Santa Fe Spring Ca 90670 Direct: 562-758-9601 Office: 562-758-9600, 10330 Pioneer Blvd #100 & 160 Santa Fe Spring Ca 90670 Direct: 562-758-9601 Office: 562-758-9600"
"Jason Furniture Viet Nam Company","Li Lot 37 38 39 40 41 44 50 51 Dong Xoai Binh Phuoc Vietnam, Li Lot 37 38 39 40 41 44 50 51 54 55 56 B2 Cluster Dong Xoai Iii Industrial Z One Tien Hung, Li Mited Lot 37 38 39 40 41 44 50 51 54 55 56 B2 Cluster Dong Xoai Iii Industrial Zone Tien Hung Commune","","Phone Numbers: 3738394041445, 3801210244, 37414450515 --- Emails: ","Vietnam","2641","Long Beach, Ca, Los Angeles, Ca, Tampa, Fl","Vung Tau, Shanghai, Yantian","940140, 940370, 940161","Furniture, Furniture Sofa Fabric Sofa, Furniture Sofa","3988","15874469","Yusen Logistics Americas Inc, Damco Customs Services Inc, Damco Customs Brokerage Services I","19001 Harborgate Way Torrance Ca 90501 United States, 5011 Firestone Place South Gate Ca 90280 United States, 1300 Mendota Heights Road Mendota Heights Mn 55120 United States"
"Jason Furniture Viet Nam Co Ltd","Lot 37 38 39 40 41 44 50 51 54 55 56 B2 Cluster Dong Xoai, Lot 37 38 39 40 41 44 50 51 54 55 56 B2 Cluster Dong Xoai Iii Industrial Zone, Lot 37 38 39 40 41 44 50 51 54 55 56 B2 Cluster","","Phone Numbers: 3738394041445, 37414450515, 37383940414 --- Emails: ","Vietnam","2335","Los Angeles, Ca, Miami, Fl, Houston, Tx","Vung Tau, Yantian, Port Redon","940370, 940140, 490700","Furniture, Furniture Sofa Fabric Sofa, Furniture Binh Phuoc Province Vietnam Macys Kukahome","3452","15356916","Damco Customs Services Inc, Macy S Merchandising Group, Damco Customs Services","151 West 34Th Street 12Th Floor New York Ny Usa 10001 Mark Negri Mark Negri@Macys Com, 9300 Arrowpoint Blvd Charlotte Nc 28273 Lindsayf Cassara@Maersk Com, 500 W 190Th Street Ste 500 Gardena Ca 90248"
"Timber Industries Co Ltd","6Th Road Tam Phuoc Industrial Zone Bien Hoa City Dong Nai Province Vietnam S R Tel:84-0251-3512831-33, 6Th Road Tam Phuoc Industrial Zone Bien Hoa City Dong Nai Province Vietnam S R Tel =84-2513-512830 2 Fax = 84-2513-512829, 6Th Road Tam Phuoc Industrial Zone Bien Hoa City Dong Nai Province Vietnam S R Tel:84-2513-512830 2","","Phone Numbers: 8402513512831, 842513512830, 8425135128 --- Emails: ","Vietnam","2194","Charleston, Sc, Savannah, Ga, Tampa, Fl","Vung Tau, Port Redon, Ningpo","940360, 940350, 847439","Emo Wooden Furniture Shipmentcontains Solid Wood All Water Service, Wooden Furniture Bed Nightstand Dresser Mirror Chest Customer Sda Fob Hochiminh Solid Wood Product Purchase Complies Withepa Cfr Formaldehyde Standards Composite Wood Act Title Toxi Substances Control Act Tsca, Wooden Furniture Jsrctp Fob Hochiminh Solid Wood Also Party Samson Marketing Universal Furniture Penny Road High Point Telephone Contact Javier Colmenares Jcolmenares Samsonmktg Universal Furni Ture Willard Dairy High Point Contact Michele Wiglesworth","7378","41488971","Rooms To Go Customs House Broker, Rooms To Go, A N Deringer Inc","11540 Hwy 92 East Seffner Fl 33584 Phone: 813-635-3136 Customs@Roomstogo Com, 19520 Wilmington Ave Rancho Doming Uez Ca 90220 Tel= 1-310-885-9777 Jason Troisi Email= Samsonmktg@Anderinger Com], Customs House Broker-Nisha Sevilla 11540 Highway 92 East Seffner Florida 33584 Usa"
"Timberland Co Ltd","Group 2 Binh Chanh Hamlet Khanh B Binh Duong Province Vietnam Tel: 84 0274-3642-888, Group 2 Binh Chanh Hamlet Khanh B Tan Uyen District Binh Duong Provi Tel:+84-274-364-2888 Fax:+84-274-36, Group 2 Binh Chanh Hamlet Khanh Binh Agency Tan Uyen District Binh Duong Province Vietnam Tel: 84 0274-3642-888 #","","Phone Numbers: 8402743642888, +842743642888, 8402743642999 --- Emails: ","Vietnam","1619","Houston, Tx, Savannah, Ga, Tampa, Fl","Xiamen, Vung Tau, Port Redon","940161, 210690, 940140","Furniture Sofa Does Any Solid Woo Ipment Compliance Sca Title, Upholstery Sofa Furniture Jco, Furniture Sofa Does Any Solid Hipment Compliance Tsca Title","5674","20681989","Rooms To Go Customs House Broker, Rooms To Go, Ascent Global Logistics","11540 Highway 92 East Seffner Fl Tel: 813-635-3136 / Fax: 813-621-01, 100 E Royal Lane St 224 Irving Tx 75039 Email : Ss@Ascentgl Com Tel : 469, - Customs House 11540 Highway 92 East Seffner Fl Tel: 813-635-3136 / Fax: 813-621-01"
"Industria De Moveis","3 Irmaos S/A Rua Victor Stachon 637 - Fragosos 89294-000 Campo Alegre-Sc-Brazil Phone 47 3626-9000 Fax 47 3626-9021 Cnpj 82 767 641/0001-30, 3 Irmaos S/A Rua Victor Stachon 637 - Fragosos 89294-000 Campo Alegre-Sc-Brazil Phone# 47 3626-9000 Fax# 47 3626-9021 Cnpj: 82 767 641/0001-30, 3 Irmaos S/A Rua Victor Stachon 637 - Fragosos 89294-000 Campo Alegre-Sc-Brazil Phone 47 3626-9000 Fax 47","","Phone Numbers: 4736269000, 4736269021, 41889284050 --- Emails: ","Brazil","1402","Los Angeles, Ca, Philadelphia, Pa, Seattle, Wa","Cartagena, Balboa, Archipel. De Las Perlas","940360, 940350, 847439","Furniture Furniture Finished Pine Wood Purchase Consignment Ecis Fsc Mix Credit Product From Well Managed Forests Other Controlled Sources Coc Ruc Ncm Tare Contract Dso There Raw Wood Inside Wooden Applicable, Furniture Furniture Finished Pine Wood Purchase Consignment Ecis Fsc Mix Credit Product From Well Managed Forests Other Controlled Sources Ima Coc Ruc Ncm Tare Contract Dso There Raw Wood Inside Wooden Applicable, Furniture Furniture Finished Pine Wood Purchase Consignment Ecis Fsc Mix Credit Product From Well Managed Forests Other Controlled Sources Ima Coc Due Ruc Ncm Tare Contract Dso There Raw Wood Inside Wooden Applicable","2668","25683468","Geodis Usa Inc, Ikea Purchasing Services Us Inc, Walker Edison Furniture Company","5101 South Broad Street Philadelphia Pa 19112-Usa Attn Ikea Account Phone 2152388600 Ikeaarrivalnoticesohl Com, 5101 South Broad Street Philadelphia Pa 19112 Usa Attn Ikea Account Ikeaarrivalnoticesohl Com, 5101 South Broad Street Philadelphia Pa 19112-Usa Attn Ikea Account Phone 2152388600 Ikeaarrivalnoticesohl Comxx"
"Pt Alam Inrotama","Jl Raya Jetis Km 43 Desa Jetis Mojokerto East Java 61352-Indonesiatel :62 0321 363010, Jl Raya Jetis Km 43 Desa Jetis Mojokerto East Java 61352-Indonesiatel:62 0321 363010 Fax:62 0321 3630, Jl Raya Jetis Km 43 Desa Jetis -Mojokerto East Java 61352 Indonesia Tel : 62 0321 363010","","Phone Numbers: 620321363010, 6203213630, 014387534641000 --- Emails: ","Indonesia","1309","Houston, Tx, Tampa, Fl, Savannah, Ga","Singapore, Xiamen, Shanghai","940360, 981800, 320417","Wooden Furniture, Dok Idsub Peb Wooden Furniture Sda Country Indonesia Compliant Epa Cfr Tsca Requirements Formaldehyde Ship Logistics Lebanon Usa, Dok Idsub Peb Wooden Furniture Ksm Country Indonesia Compliant Epa Cfr Tsca Requirements Formaldehyde Ship Old Military Pearl River","2470","16386706","Rooms To Go, American Woodcrafters A, Rtg Furniture Corp","Customs House Broker 11540 Highway 92 East Seffner Fl 33584 Usa, Customs House Broker -Evie Castella11540 Highway 92 East Seffner Fl 33584 Usa, Ockford International Co 1060 E Springfield Rd High Point Nc 27263 Usa"
"Temasa Ind De Moveis Ltda","Rod Engenheiro Lourenco Faoro 1418 Bairro Industrial Phone 55 49 3561 7700 89510-770 Cacador - Sc Brasil, Rod Engenheiro Lourenco Faoro 1418 Bairro Industrial Phone: 55 49 3561 7700, Rodovia Engenheiro Lourenco Faoro Bairro Industrial Phone 0055 049 3561 7700 89500-000 Cacador - Sc Brasil Cnpj 81 834 152/0001-91","","Phone Numbers: 00550493561770, 554935617700895, 554935617700 --- Emails: ","Brazil","1077","Philadelphia, Pa, Seattle, Wa, New York/Newark Area, Newark, Nj","Cartagena, Salvador, Itajay","940360, 847439, 441292","Furniture Only, Furniture Solid Wood Pine Furniture Ecis Product From Well Managed Forests Other Controlled Wood Fsc Mixed Credit Ima Coc Solid Wood Assinado Datado Paid Ikea Supply Gruessen Weg Prattlen Ncm Ksm Ruc Continued Attn Department Ikea Usdointer Ikea Phone Continued Attn Ikea Account Ikeaarrivalnotices Usgeodis Phone Esp Expeditors International Phl Kaiser Ste Folcroft United States America Attn Ikea Account Ikeaphlexpeditors Phone, Furniture Solid Wood Pine Furniture Ecis Product From Well Managed Forests Other Controlled Wood Fsc Mixed Credit Ima Coc Solid Wood Assinado Datado Paid Ikea Supply Gruessen Weg Prattlen Ncm Ksm Ruc Continued Attn Department Mail Address Ikea Ldcaiikea Phone Continued Attn Ikea Account Ikeaarrivalnotices Usgeodis Phone Esp Expeditors International Phl Kaiser Ste Folcroft United States America Attn Ikea Account Ikeaphlexpeditors Phone","1969","20316386","60024 Esp 1 Geodis Usa Inc, 4432 Com 1 Ikea Purchasing Services Us Inc, 1000 Com 1 Ohl Inc","5101 South Broad Street Philadelphia Pa 19112 United States Of America, 3200 Horizon Dr #120 Suite G10 King Of Prussia Pa 19406 United, 5101 South Broad Street Philadelphia Pa 19112 United States Of America X"
"Anji Ues Furniture Co Ltd","No 1 Yongyi West Road Dipu Subdist 313300 Anji China Tel 86 0572-5139662 Seller 23078, No 1 Yongyi West Road Dipu Subdist 313300 Anji China Tel:86 0572-5139662, No 1 Yongyi West Road Dipu Subdist 313300 Anji China Tel:86 0572-5139662 Seller:23078","","Phone Numbers: 8605725139662, 860572513966 --- Emails: ","China","1066","Tacoma, Wa, Houston, Tx, Los Angeles, Ca","Shanghai, Pusan, Cartagena","940370, 630492, 851830","Ikea Furniture Home Furnis Hing Tso Consignment Sup Ecis, Ikea Furniture Home Furnishing Ikea Furniture Home Furnishing Tso Consignment Sup Ecis Phone, Ikea Home Furnishing Ikea Furniture Home Furnishing Tso Consignment Sup Ecis","1066","5883312","Geodis Usa Inc, Ikea Purchasing Services Us Inc, 2 Geodis Usa Inc","5101 South Broad Street 19112 Philadelphia Pa United States Of America Ikeaarrivalnotices@Ohl Com, 3200 Horizon Dr #120 Suite G10 King Of Prussia Pa 19406 United States Of America, 5101 S Broad Street Philadelphia United States"
"Haining High Point Furniture Co Ltd","No 9 Yongsheng Road Jianshan New District Haining City Zhejiang Province China 314415 Tel:0573-89261560 Fax:0573-87801528, Building 4 No 6 Jinli Road Jianshan New District Haining Zhejiang China 314415 Tel:0573-89261560 Fax:0573-87801528, Building 4 No 6 Jinli Road Jianshan New District Haining City Zhejiang Province China 314415 Tel:0573-87130088","","Phone Numbers: 057389261560, 057387801528, 057387130088 --- Emails: ","China","973","Jacksonville, Fl, Savannah, Ga, Wilmington, Nc","Shanghai, Port Bustamante, Pusan","940171, 940370, 407700","Upholstered Furniture Mci, Upholstered Furniture Jkr, Upholstered Furniture Mci Mci Mci","2312","17310805","Rooms To Go, Rooms To Go Pr, One World Shippers Association","Customs House Broker 11540 Hwy 92 East Seffner Fl 33584 Phone:813-635-3136 Customs@Roomstogo Com, Customs House Broker-Nisha Sevilla 11540 Hwy 92 East Seffner Fl 33584 Phone:813-635-3136 Customs@Roomstogo Com, Carr#2 Km 19 1 Barrio Candelaria Toabaja Port Of San Juan Pr 00949 Tel:787-995-5959 Fax:787-995-5961"
