"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Kronen International Sa","Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires Argentina C P 1706, Tax Id: 30-60451400-9 Valentin Gomez 151 Haedo Bueno, Cuit Nbr 30604514009 N 3 Entre 107 Y 109 San Luis C P 5700/Ar/30604514009 Contact Agustin Rosello","","Phone Numbers: 3060451400, 30604514009, 1448950236 --- Emails: ","United States","90","Houston, Tx, New Orleans, La","Tampico","732393, 732111, 902810","Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices, Gas Stove Gas Stove, Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices","521","2428171","Kronen International Sa","Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires Argentina C P 1706, Tax Id: 30-60451400-9 Aires Haedo Buenos Aires Arge, Cuit Nbr 30604514009 N 3 Entre 107 Y 109 San Luis C P 5700/Ar/30604514009 Contact Agustin Rosello"
"Haier Appliances Caribbean Andcompa","Victoria Industrial Park Edificio 1 Carolina Puerto Rico C P 00985/Pr/ 660549331 Ctc Pedro Ramos Tel:0017876966","","Phone Numbers: 0017876966 --- Emails: ","United States","36","San Juan, Puerto Rico","Tampico, Port Bustamante","841810, 845011, 732111","Bundle Refrigerator Bottom Mount Bundles Refr Bottom Mount Bundles Dryers Bundles Electric Stove Bundles Stove Bundles Dryers Bundles Electric Stove Bundles Washing Center, Dryers Dryers Refr Bottom Mount Electric Stove Dryers Laundry Center Dryers Electric Stove Refr Bottom Mount Electric Stove Refr Side Side Dryers Dryers Dryers Gas Stove Laundry Center Laundry Center Dryers Laundry Center Laundry Center, Dryers Electric Stove Refr Side Side Refr Bottom Mount Refr Door Refr Bottom Mount","533","3156244","Perez & Cia De P R Inc, Haier Appliances Caribbean Andcompa","Tax Id 660375734 Calle Miraflores Esq Villaverde Muelle 15 Miramar Santurce P R 00908 Telephone: 787-725-9400, Victoria Industrial Park Edificio 1 Carolina Puerto Rico C P 00985/Pr/ 660549331 Ctc Pedro Ramos Tel:0017876966"
"H&K Manufacturing Unlimited","Company Panattoni Park Wroclaw North Gate Ii Ul Polnocna 1 51-180 Szymanow Poland Vat No Hkm Pl5263540015, Company Panattoni Park Wroclaw North Gate Ii Ul Polnocna 1 51- 180 Szymanow Poland Vat No Hkm Pl5263540015, Company Panattoni Park Wroclaw North Gate Ii Ul Polnocna 1 51- 180 Szymanow Poland Vat Hkm Pl5263540015","","Phone Numbers: 5263540015 --- Emails: ","United States","35","Houston, Tx","Tampico","732393, 841899, 271111","Stainless Steel Kitchen Equipment Crates Stainless Steel Kitchen Equipment, Stainless Steel Crates Stainless Steel Kitchen Equipment Refrigerating Machines Freezers Cylindre Freezers Propano Freezer Refrigerating Machines Flammable Toxic Liquefied Gas Class Ems Marine Pollutant, Stainless Steel Crates Stainless Steel Kitchen Equipment Stainless Steel Crates Stainless Steel Kitchen Equipment","67","186916","H&K Manufacturing Unlimited, Cargomind Poland Sp Z O O, Cargomind Poland Sp Zo O","Company Panattoni Park Wroclaw North Gate Ii Ul Polnocna 1 51-180 Szymanow Poland Vat No Hkm Pl5263540015, 1 Sierpnia 6 Bud D 02-134 Warszawa Poland Tax Id 5342379755 Wro-Oceancargomind Com, 1 Sierpnia 6 Bud D 02-134 Warszawa Poland Tax Id 5342379755 Wro-Oceancargomind Com Np"
"Colchoneria Y Muebleria La Nacional","Carretera De Mendoza 219 Santo Domingo C P 012345/Do/101024526 Contacto Xiony Cuevas Tel 809 594 82 88, Carr De Mendoza 219 Santo Domingo Cp 012345/Do/101024526 Ctc Xiony Cuevas Tlf 8095948288, Carretera De Mendoza Villa Faro 219Santo Domingo C P 012345/Do/101024526 Ctc Xiony Cuevas Tel 8095948288","","Phone Numbers: 8095948288 --- Emails: ","United States","34","Houston, Tx","Tampico","902810, 732111, 732190","Gas Stove Estufa Gas, Gas Stove Estufas Gas Gas Stove, Gas Stove","232","641942","World Trade Logistics Srl, Colchoneria Y Muebleria La Nacional","Rnc No 1-30-50997-2 Av Lope De Vega No 13 Progreso Business Center Suite 110 Ens Naco Santo, Carr De Mendoza 219 Santo Domingo Cp 012345/Do/101024526 Ctc Xiony Cuevas Tlf 8095948288, Rnc No 1-30-50997-2 Av Lope De Vega No 13 Progreso Business Center Suite 110 Ens Naco Santo Domingo D N"
"Haier Appliances Caribbean And Company","Victoria Industrial Park Edificio 1 Carolina Puerto Rico C P 00985/Pr/ 660549331 Ctc Pedro Ramos Tel:0017876966, Victoria Industrial Park Edificio 1 Carolina Puerto Rico C P 00985/Pr/ 660549331 Ctc Pedro Ramos Tel:0017876966//","","Phone Numbers: 0017876966 --- Emails: ","United States","24","San Juan, Puerto Rico","Tampico","845011, 841810, 732111","Dryers Electric Stove Gas Stove Refrigerators Doors Laundry Center Dryers Gas Stove Dryers Refrigerator Doors, Electric Stove Gas Stove Dryers Refrigerator Bottom Mount Refrigerator Side Side Gas Stove, Electric Stove Gas Stove Dryers Refrigerator Side Side","475","2861706","Perez & Cia De P R Inc","Tax Id 660375734 Calle Miraflores Esq Villaverde Muelle 15 Miramar Santurce P R 00908 Telephone: 787-725-9400"
"Radio Centro C Por A","Avenida Paseo De Los Periodistas 50Santo Domingo C P 012345/Do/101011041 Ctc Nelson Adames Tel 809-685-7131, Av Paseo De Los Periodistas 50 Santo Domingo Cp 012345/Do/101011041 Ctc Nelson Adames Tlf 809-685-7131, Avenida Paseo De Los Periodistas 50 Miraflores Santo Domingo C P 012345/Do/101011041 Ctc Nelson Adames Tel 809-685-7131 12345","","Phone Numbers: 8096857131, 18096857131, 80968571311234 --- Emails: ","United States","19","Houston, Tx","Tampico","902810, 732111, 732392","Gas Stove, Gas Stove Gas Stove Gas Stove Gas Stove, Gas Stove Estufa Gas Gas Stoves Refrigerators Estufa Gas Gas Stoves Refrigerators Refr Ptas Gas Stoves Refrigerators","261","740265","Radio Centro C Por A","Avenida Paseo De Los Periodistas 50Santo Domingo C P 012345/Do/101011041 Ctc Nelson Adames Tel 809-685-7131, Av Paseo De Los Periodistas 50 Santo Domingo Cp 012345/Do/101011041 Ctc Nelson Adames Tlf 809-685-7131, Avenida Paseo De Los Periodistas 50 Miraflores Santo Domingo C P 012345/Do/101011041 Ctc Nelson Adames Tel 809-685-7131 12345"
"Courts Antigua & Barbuda Ltd","/ Lower Market St Corner Of St Johns / Atn Anik Knowles / Ph 268 462 5694 / Tax Id 169724, / Lower Market Street Corner Of St Johns Antigua / Atn Anik Knowles / Ph 268 462 5694","","Phone Numbers: 2684625694 --- Emails: ","United States","17","Houston, Tx","Tampico","732111, 841810, 845020","Stoves Stoves Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Payed Kestrel, Combined Refrigerators Freezers Refrigerators Stoves Washers Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Payed Kestrel, Refrigerators Freezers Refrigerators Stoves Washers Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Payed Kestrel","19","76593","Courts Antigua & Barbuda Ltd, Kestrel Liner Agencies Llp Tax Id","/ Lower Market St Corner Of St Johns / Atn Anik Knowles / Ph 268 462 5694 / Tax Id 169724, 710885661 9505 Nw 108Th Avenue Medley Florida 33178 / Atn Gary Aspinall Ph 786 220 1650, / Lower Market Street Corner Of St Johns Antigua / Atn Anik Knowles / Ph 268 462 5694"
"Unicomer St Lucia / Orange Park","Commercial Centre Bois Dorange Marisule St Lucia / Atn Berthia Augustin / Ph 758 457 8117 / Tax Id 1790302","","Phone Numbers: 7584578117 --- Emails: ","United States","17","Houston, Tx","Tampico","732111, 845020","Stoves Stoves Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Payed Ppd Kestrel Liner Agencies, Stoves Stoves Spare Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Payed Ppd Kestrel Liner Agencies, Refrigerators Washers Refrigerators Stoves Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Payed Ppd Kestrel Liner Agencies","17","74782","Unicomer St Lucia / Orange Park, Kestrel Liner Agencies Llp Tax Id, Kestrel Liner Agenices Llc","Commercial Centre Bois Dorange Marisule St Lucia / Atn Berthia Augustin / Ph 758 457 8117 / Tax Id 1790302, 710885661 / 9505 Nw 108 Th Avenue Medley Florida 33178 Atn Gary Aspinall Ph 786 220 1650 / Fx 786 220 1691, 16320 Nw 59 Avenue"
"Unicomer Grenada Ltd","/ Young Street St George Grenada / Atn Prisca Nelson Gabriel / Ph 473 4357305 / Tax Id 0007516, / Young Street St Georges Grenada / Atn Prisca Gabriel / Ph 473 435 7305, Young Street St George Grenada Atn Prisca Nelson Gabriel Ph 473 4357305 Tax Id 0007516","","Phone Numbers: 4734357305 --- Emails: ","United States","16","Houston, Tx","Tampico","732111, 845020","Stoves Stoves Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Payed Ppd Kestrel, Spare Stoves Spare Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Payed Ppd Kestrel, Refrigerators Stoves Refrigerators Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Payed Ppd Kestrel","20","76806","Unicomer Grenada Ltd, Kestrel Liner Agencies Llp Tax Id","/ Young Street St George Grenada / Atn Prisca Nelson Gabriel / Ph 473 4357305 / Tax Id 0007516, 710885661 9505 Nw 108Th Avenue Medley Florida 33178 / Atn Gary Aspinall / Ph 786 220 1650"
"Unicomer St Kitts & Nevis Ltd","/ Bay Road Po Box 108 Basseterre St Kitts / Atn Perla Tayson / Ph 869 466 1640 / Tax Id 809136, Bay Road Po Box 108 Basseterre St Kitts Atn Perla Tayson Ph 869 466 1640 Tax Id 809136","","Phone Numbers: 8694661640 --- Emails: ","United States","14","Houston, Tx","Tampico","732111, 845020, 841810","Refrigerators Stoves Refrigerators Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Paid Miami Kestrel Liner Agencies, Stoves Stoves Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Paid Miami Kestrel Liner Agencies, Refrigerators Stoves Refrigerators Doors Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Paid Miami Kestrel Liner Agencies","16","65263","Unicomer St Kitts & Nevis Ltd, Kestrel Liner Agencies Llp Tax Id","/ Bay Road Po Box 108 Basseterre St Kitts / Atn Perla Tayson / Ph 869 466 1640 / Tax Id 809136, 710885661 9505 Nw 108Th Avenue Medley Florida 33178 /Atn Gary Aspinall Ph 786 220 1650, Bay Road Po Box 108 Basseterre St Kitts Atn Perla Tayson Ph 869 466 1640 Tax Id 809136"
