"Supplier Name","Top Addresses","Supplier Websites","Supplier Contact Info","Supplier Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Mabe Sa De Cv","Rfc Mab911203Rr7 Paseo De Las Palmas 100Lomas De Chapultepec I Secci N Miguel Hidalgo C P 11000/Mx, / Rfc Mab911203Rr7 / Paseo De Las Palmas 100 Lomas De Chapultepec 11000 Ciudad De Mexico / Atn Adrian Dominguez, / Paseo De Las Palmas 100 Lomas De Chapultepec 11000 Ciudad De Mexico / Atn Adrian Dominguez / Tel 9178 8100 / Rfc Mab911203Rr7","","Phone Numbers: 5591788100, 5591780000 --- Emails: ","Mexico","245","Houston, Tx, San Juan, Puerto Rico, New Orleans, La","Tampico, Cartagena, Port Bustamante","732111, 902810, 845020","Gas Stove, Gas Stove Estufa Gas, Stoves Stoves Custom Cargo Transit Outside Country Gateway Kestrel Liner Agencies Llc Tropical Shipping All Charges Should Payed Ppd Kestrel Liner Agencies","1222","5168220","World Trade Logistics Srl, Kestrel Liner Agencies Llp Tax Id, Kronen International Sa","Rnc No 1-30-50997-2 Av Lope De Vega No 13 Progreso Business Center Suite 110 Ens Naco Santo, Tax Id 660375734 Calle Miraflores Esq Villaverde Muelle 15 Miramar Santurce P R 00908 Telephone: 787-725-9400, 710885661 / 9505 Nw 108 Th Avenue Medley Florida 33178 Atn Gary Aspinall Ph 786 220 1650 / Fx 786 220 1691"
"Controladora Mabe Sa De Cv","Rfc Cma811126Aw9 Av Paseo De Las Palmas 100 Lomas De Chapultepec Miguel Hidalgo Cp 11000 Mexico, Avenida De Las Palmas 100 Lomas De Chapultepec I Seccion Miguel Hidalgo Ciudad De Mexico 11000 Rfc: Cma811126Aw9, Rfc:Cma811126Aw9 Chapultepec I Secci N Miguel","","Phone Numbers: 5511003700 --- Emails: ","Mexico","108","Houston, Tx, San Juan, Puerto Rico, New Orleans, La","Tampico, Caucedo, Port Bustamante","732393, 841810, 820770","Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices, Kitchen Kitchen Invoices Kitchen Kitchen Invoices, Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices","945","5042672","Kronen International Sa, Perez & Cia De P R Inc, Haier Appliances Caribbean Andcompa","Tax Id 660375734 Calle Miraflores Esq Villaverde Muelle 15 Miramar Santurce P R 00908 Telephone: 787-725-9400, Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires Argentina C P 1706, Tax Id: 30-60451400-9 Aires Haedo Buenos Aires Arge"
"Kitchen Equipment De San Luis S A De C V","Eje 132 S/N Esq Av C F E Zona Industrial C P 78395 San Luis Potosi S L P Mexico Tax Id Kes-040719-B82, Eje 132 S/N Col Industrial C P 78395 San Luis Potosi Mexico, Eje 132 S/N Esq Av C F E Zona Industrial C P 78395 San Luis Potosi S L P Mexico","","Phone Numbers:  --- Emails: ","Mexico","36","Houston, Tx, Long Beach, Ca","Tampico, Manzanillo","732393, 841899, 271111","Stainless Steel Kitchen Equipment Crates Stainless Steel Kitchen Equipment, Stainless Steel Kitchen Equipment Crates Stainless Steel Kitchen Equipment Stainless Steel Kitchen Equipment Crates Stainless Steel Kitchen Equipment, Stainless Steel Crates Stainless Steel Kitchen Equipment Refrigerating Machines Freezers Cylindre Freezers Propano Freezer Refrigerating Machines Flammable Toxic Liquefied Gas Class Ems Marine Pollutant","80","218176","H&K Manufacturing Unlimited, Cargomind Poland Sp Z O O, Skybridge Freight Solutions Llc","Company Panattoni Park Wroclaw North Gate Ii Ul Polnocna 1 51-180 Szymanow Poland Vat No Hkm Pl5263540015, 1 Sierpnia 6 Bud D 02-134 Warszawa Poland Tax Id 5342379755 Wro-Oceancargomind Com, 1 Sierpnia 6 Bud D 02-134 Warszawa Poland Tax Id 5342379755 Wro-Oceancargomind Com Np"
"Transcontainer International Sa De","Cv Rfc Tin881021S48 Via Dr Gustavo Baz 295-F Col Viveros De La Loma Mexico Edo De Mexico, Cv Via Dr Gustavo Baz 295-F Col Viveros De La Loma Mexico Edo De Mexico, C/O Rossi Beguy Martin Eduardo Via Dr Gustavo Baz 295-F Col Viveros De La Loma Mexico Edo De Mexico","","Phone Numbers:  --- Emails: ","Mexico","31","Houston, Tx, Port Everglades, Fl, San Juan, Puerto Rico","Veracruz, Cartagena","790700, 830130, 940340","Household Books Household Books Clothes Glasses Ornaments Chair Lamp Kitchen Items Furniture Pictures Mirror Sown Tare, Household Books Clothes Glasses Ornaments Chair Lamp Kitchen Items Furniture Pictures Mirror Sown Tare, Household Household Books Clothes Glasses Ornaments Chair Lamp Kitchen Items Furniture Pictures Mirror Sown Tare","32","74823","Seaport Freight Services Limited, Ags Four Winds, Ags Relocations Dmcc","-Pr Julio N Matos Ind Park Calle Campeche Lote 26 Carolina Pr 00987 Puerto Rico Tel 787-647-1892, 19 Syngrou Avenue 11743 Atehns Greece Contact Attica Movers Sa Telephone 302109216773, 2 Toh Guan Road East 02-03 S 608837 For Jose Antonio Del Razo Torres Attn Import Department Tel +65 6266 5225"
"Translogisticssa De Cv","Rfc Tra9109123V7 Morena 228 202 2P Col Del Valle 03100 Cd De Mexico At N: Tere Reyes Tel 26148040, Rfc Tra9109123V7 Morena 228 202 2P Col Del Valle 03100 Cd De Mexico At N: Tere Reyestel 26148040, Rfc Tra 910912 3V7 Morena 228 2P 202 Col Del Valle 03100 Mexico Df Atn:Tere Reyes Tel 2614- 8040 Fx: 2614-8054","","Phone Numbers:  --- Emails: ","Mexico","11","San Juan, Puerto Rico","Port Bustamante","851660, 841829, 480269","Stoves Custom, Refrigerators Stoves Custom, Stoves Custom Stoves Pckages Refrigerators Custom","16","116688","Kestrel Liner Agencies Llp Tax Id, Kestrel Liner Agencies Llp, Kestrel Liner Agencies Llp / Tax Id","710885661 16320 Nw 59 Avenue Miami Lakes Florida 33014 At N: Gary Aspinall/, 829464 16320 Nw 59Th Avenue Miami Lakes Florida 33014 United States, 710885661 16320 Nw 59 Avenue Miami Lakes Florida 33014 At Gary Aspinall Ph: 786 220 1650/Fx: 786220 1691"
"Mabe S A De C V","Av Paseo De Las Palmas No 100 Ciudad De Mexico Mexico C P 11000 Ctc Erick Garcia Tel 91788100, Av Paseo De Las Palmas No 100 Col Lomas De Chapultepec Miguel Hidalgo C P 11000 Mexico Rfc Mab911203Rr7, Av Paseo De Las Palmas No 100 Col Lomas De Chapultepec Miguel Hidalgo Mexico Df Tax Id Mab911203","","Phone Numbers:  --- Emails: ","Mexico","8","Houston, Tx","Tampico","450390, 732111, 841810","Electric Stove Dryers, Electric Dryer Electric Stoves Spare Washer, Electric Stoves Pallet Spare Electric Stoves","29","121744","Abdul Mohsen A Al Swailem Est, Abdul Mohsen A Al Swailem Establis, Abdul Mohsen A Alswailem Est","13 Cannegetier Street Philipsburg St Marteen Cp0000/Vg/ Tad Id 410021052 Contact Shyam Chugani Telephone 721 543-0265, Cuit 30-60451400-9 Valentin Gomez 151 Cp B1706Fma - Haedo Buenos Aires - Argentinaxx, Cuit Nbr 30604514009 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires Argentina"
"Kitchen Equipment De San Luis Sa De Cv","Eje 132 Y Ave Cfe S/N Zona Industrial San Luis Potosi San Luispotosi Mexico Ctc Mariela Fuerte Tel 444 824 0320 Ext 6239, Rfc Kes040719B82 Eje 132 No Ext S/N Zona Industrial C P 78395 San Luis Potosi San Luis Potosi","","Phone Numbers: 4448240320 --- Emails: ","Mexico","6","Houston, Tx","Tampico","841899, 620341, 732393","Stainless Steel Consolidate Cargo Stainless Steel Kitchen Equipment Equipo Acero Inoxidable Para Cocina Restaurante, Stainless Steel Crates Stainless Steel Kitchen Equipment Freezers Freezers Cylindre Freezers Propano Freezer Freezers Propano Freezer Freezers Propano Freezer Refrigerating Machines Flammable Toxic Liquefied Gas Class Ems Marine Pollutant, Stainless Steel Crates Stainless Steel Kitchen Equipment Refrigerating Machines Freezers Cylindre Freezer Propano Freezer Refrigerating Machines Flammable Toxic Liquefied Gas Class Ems Marine Pollutant","6","29130","H&K Manufacturing Unlimited, Arcos Dorados Argentina Sa","Company Panattoni Park Wroclaw North Gate Ii Ul Polnocna 1 51-180 Szymanow Poland Vat No Hkm Pl5263540015, Roque Saenz Pena 432 1635 Olivos Buenos Aires Argentina Cuit 30-61025233-4"
"Decoplas Sa De Cv","31488 Calzada La Venta 8 Fracc Ind Cuamatla Cuautitlan Izcalli 54730 Rfc Dec970724My2, Calzada A La Venta No 8 Complejo Ind Cuamatla Cuautitlanizcalli Mex 54730 Mexico Contact Decoplas Sa De Cv Telephone 5864 9808, Calzada A La Venta No 8 Complejo Ind Cuamatla Cuautitlanizcalli Mex 54730 Mexico Rfc Dec970724My2X","","Phone Numbers:  --- Emails: ","Mexico","5","Houston, Tx","Veracruz","870810, 290341","Automotive Automotive Frt Fascia Pedpro Brkt Upper Fiat Grille Assy Charges Account Chrysl Automotive Automotive Frt Fascia Pedpro Brkt Charges Account Chrysl Automotive Automotive Fasc Fiat Dodge Rpa Frt Lwr Fasc Fiat Dodge Ser Charges Account Chrysl Automotive Automotive Frt Fascia Pedpro Brkt Fasc Fiat Dodge Rpa Frt Lwr Fasc Fiat Dodge Charges Account Chrysl Automotive Automotive Frt Lwr Fasc Fiat Dodge Ser Frt Fascia Pedpro Brkt Charges Account Chrysl Automotive Automotive Frt Fascia Pedpro Brkt Charges Account Chrysl, Automotive Fasc Fiat Dodge Rpa Frt Lwr Fasc Fiat Dodge Ser Upper Fiat Grille Assy Automotive Automotive Frt Lwr Fasc Fiat Dodge Ser Upper Fiat Grille Assy Automotive, Automotive Fasc Fiat Dodge Rpa Upper Fiat Grille Assy Frt Fascia Pedpro Automotive","26","11965","Fca Italy S P A, Chrysler Corp, Fiat Group","13960 Via Pinerolo 21 Italy To 10060 Italy Tax Id 07973780013, Automobiles Spa C So G Agnelli 200 10135 Torino 10135 Italy Italy Tax Id 07973780013, Planta No 3127 Via Pinerolo 21 City Torino Pc 10060 Italy Tax Id It0797378 Ctc Sadi Import Nave Tel 39 011 00 57813"
"Eternity International Freight","Forwarder Mexico Sa De Cv Rfc: Eif161220Sa9 Insuergentes Sur 1605 Piso 23-3 Col San Jose Insurgentes Del Benito Juarez /","","Phone Numbers:  --- Emails: ","Mexico","5","San Juan, Puerto Rico","Tampico","841810, 845011","Electric Stove Gas Stove Washing Center Refrigerator Bottom Mount Refacciones Dryers Washing Centerhs Gas Stove Electric Stove Gas Stove Gas Stove Dryers Dryers Refrigerator Bottom Mount Gas Stove Dryers, Gas Stove Electric Stove Gas Stove Electric Stove Gas Stove Refrigerator Doors Refrigerator Side Side Refrigerator Bottom Mount Refrigerator Side Side Refrigerator Doors Electric Stove Gas Stove, Gas Stove Refrigerator Bottom Mount Refrigerator Bottom Mount Gas Stove Dryers Hscode Rfrigerators Doors","98","587220","Perez & Cia De P R Inc","Tax Id 660375734 Calle Miraflores Esq Villaverde Muelle 15 Miramar Santurce P R 00908 Telephone: 787-725-9400"
"Foreign Import Inc","France Field Lote 1 Al Lote 4 Manzana 41 Zona Libre De Colon Republica De Panama Tel 507-430-2599, France Field Lote 1 Al Lote 4 Manzana 41 Zona Libre De Colon Republica De Panama","","Phone Numbers: 5074302599 --- Emails: ","Mexico","5","San Juan, Puerto Rico, Port Everglades, Fl","Puerto Manzanillo","691200, 420212, 630210","Alfombras Ropa Mesa Xmas Ornaments Ceramic Kitchen Ware Cotton Table Clothing Drinking Glass Hereby Certifying That There Solid Wood Shipmentcountry China Indica, Cushion Plastic Kitchenware Polyresin Decorations Wood Tchenware Cotton Dress Cotto Kitchen Linens Flip Flops Ceramic Dinnerware Ceramic Corations Framed Mirror Glas Kitchenware Metal Kitchenwa Metal Decoration Chair Etal Furniture Lantern Ntry Bangladesh Azil China India Turkey, Plastic Flowers Metal Bathroom Accessories Metal Kitchen Utensils Plastic Bathroom Accesories Plastic Kitchen Accessories Plastic Kitchen Hooks Hammock Xmas Ornaments Ceramic Bathroom","7","74985","New Fashion World Corportation, Elemar International Forwarding I, Elemar International Forwarding Inc","3475 Nw 114Th Ave Doral 33178-1847, Po Box 51494 Toa Baja Pr 00950 Tax Id 66-0781066 San Juan Puerto Rico Phone 787-795-4900, Po Box 21494 Toa Baja Pr 00950 San Juan Puerto Rico Phone; 787-795-4900"
