"Supplier Name","Top Addresses","Supplier Websites","Supplier Contact Info","Supplier Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Ningbo An Sheng Hardware Co Ltd","No 16 Laoshan Rd Beilun Ningbo China, No 16 Laoshan Rd Beilun Ningbo Zhejiang 330200 China, No 16 Laoshan Rd Beilun Ningbo Chi Na 99999","","Phone Numbers: 33020099999 --- Emails: ","China","21","Norfolk, Va, Long Beach, Ca, Los Angeles, Ca","Qingdao, Pusan","081320, 021092, 040390","Dried Mealworms, Dried Mealworms Hcx, Animal Dried Mealworms Solid Wood Also Expeditors Intl Ellery Court Nashville Usa","70","580901","Tractor Supply Company, Expeditors Intl Of Wa Inc, Expeditors Intl Of Wa Inc237","Of Texas Lp 5401 Virginia Way Brentwood Tn 37027 Usa Ph:615-440-4000 Fx:615-484-4981, 237 Ellery Court Nashville Tn 37214 Usa, Of Texas Lp 5401 Virginia Way Brentwo Od Tn 37027 Usa Ph 615-440-4000 Fx 615-484-4981 37027"
"Qingdao Agrihealth Biotech Co Ltd","Licha Industry Park Jiaozhou Qing Province China, Licha Industry Park Jiaozhou","","Phone Numbers:  --- Emails: ","China","21","Los Angeles, Ca, Long Beach, Ca","Qingdao, Shanghai","071490","Chinese Dried Mealworms","23","285027","",""
"Star Food Holland Bv","Scherpenzeelseweg 95 3772 Me Barneveld- Netherlands, Scherpenzeelseweg 95 3772 Me Barneveld, Scherpenzeelseweg 95 3772 Me Barneveld The Netherlands","","Phone Numbers:  --- Emails: ","Belgium","8","New York/Newark Area, Newark, Nj, New York/Newark","Anvers, Rotterdam","690320, 010649, 193600","Cargo Stowed Refrigerated Sat Requested Carrying Temperatuof Degrees Celsius Live Mealworms Pakked Relative Humidity Percent Airflow Cmh Hmistler Mistler, Frozen Vegetables Cargo Stowed Refrigerated Sat Requested Carrying Temperatu Degrees Celsius Molitor Tenebro Mealworms Loaded Settings Temp Relative Humidity Percent Airflow Hrs, Frozen Vegetables Mealworms Loaded Settings Temp Relative Humidity Percent Ariflow Chm Hmistler Mistler Pkgs Cargo Stowed Refrigerated Requested Carrying Temperatu Degrees Celsius Mealworms Loaded Settings Temp Relative Humidity Percent Ariflow Chm Hmistler Mistler","8","58974","Harold Mistler H Mistler Customshouse Broker, Xhmistlermistler Net","175-11 148Th Road Suite 207 Jamaica Ny 11434, 175-11 148Th Road Suite 207 Jamaica Ny 11434 Tel 718 656 5991 Ext 5, No Address"
"Jinan Yuanxin Pet Food Co Ltd","East Of Dongtian Guang Village Wenzu Street Zhangqiu District Jinan City Shandong Province China 250200, East Of Dongtian Guang Village We Nzu Street Zhangqiu Jinan China, East Of Dongtian Guang Village Wen Zu Street Zhangqiu District Jinan City Shandong Province China","","Phone Numbers:  --- Emails: ","China","5","Long Beach, Ca, Los Angeles, Ca, New York/Newark Area, Newark, Nj","Qingdao, Hong Kong, Shekou","081320, 281511","Dried Mealworms Dried Mealworms Solid Wood, Dried Mealworms Solid Wood, Dried Mealworms","5","50619","Crownfu Logistics Inc, Petfu Inc, Fm Browns Sons Inc","1013 Sequoia Place Montebello Ca 90640 Tel:626-757-0797 Fax:626-270-4391, Add=1726 E Francis St Ontario Ca 91761 Usa Email= Beverly9683333@Gm Ail Com Tel= 626-757-0797, 205 Woodrow Ave Sinking Spring Pa 19608 Usa Tel/Fax:800-334-8816"
"Hangzhou Fot Import & Export Co Lt","9 Jiangbin Road Lishan Town Fuyang, 9 Jiangbin Road Lishan Town Fuyang District Hangzhou China 311418 Tel:+86 -571-81603487 Shanghai Pu Dong Apt Cn","","Phone Numbers: +8657181603487 --- Emails: ","China","3","Long Beach, Ca, Los Angeles, Ca","Qingdao","071331, 391590, 940190","Mealworm Chicken Treats Pet Treats Poultry Treats Wood, Pet Treats Combo Craze Poultry Treat Dried Crickets Fly Larvae Mealworm Treats Ohjhjq, Pet Treats Mealworm Treats Dried Crickets Flylarvae Mbl Oneyta","3","18710","Flexport International Llc","760 Market Street Floor 8 San Francisco Ca 94102 Operations Department San Francisco Ca Ca 94102 Us"
"Jinan Hongshun Insects Co Ltd","No 337 Xiquanlu Village Zhonggong Town Licheng District Jinan Shandongchina, No 188 Xiquanlu Village Zhonggong Town Licheg District Jinan Shandong Cina Tel :+86-531-","","Phone Numbers:  --- Emails: ","China","3","Long Beach, Ca, Baltimore, Md","Qingdao, Pusan","846719, 071130","Dried Mealworms Feed Use Driedmealworms Feed Use Solid Wood, Dried Mealworms Wood Also Gloden State Llc Nandina Ave Moreno Valley","7","59338","Silvical Inc, Uncle Jim S Worm Farm","2046 Henry Lane Spring Grove Pa 17352 Usa + 717 451 9893 Email:Jshaw225@Gmail Com, C/O 9171 Wilshire Wilshrie Blvd Ste500 Beverly Hills Ca 90210 Tel: 626-334-0100, C/O 9171 Wilshire Wilshrie Blvd Ste500 Beverly Hills Ca 90210626-33 4-0100"
"Qingdao Muheyuan Trade Co Ltd","Room 205 Building 3 No 177 Guhe Street Ligezhuang Town Jiaozhou City Qingdao City Shandong Province China 266300, Room 205 Building 3 No 177 Guhe Street Ligezhuang Town Jiaozhou City Qingdao City Shandong Province266316, Room 205 Building 3 No 177 Guhe Street Ligezhuang Town Jiaozhou City Qingdao City Shandong Provincechina 266300","","Phone Numbers:  --- Emails: ","China","3","Tacoma, Wa","Qingdao, Shanghai","081320","Dried Mealworms Dried Mealworms","3","14850","Specialty Commodities Llc","1530 47Th Street Nw Fargo Nd 58102 United States Phone: 701-282-8222 Sci Imports@Adm Com"
"Best Link Pet Supplies Co Ltd","No 29-2 Fangyuan Road Nanhai New District Weihai Shandong 264403 China Tel:0631-5281109 Fax: 0631-","","Phone Numbers: 06315281109 --- Emails: ","China","2","Houston, Tx","Pusan","020900","Dried Mealworms Pet Treats Poultry Treats Nesting Herbs Solid Wood, Dried Mealworms Pet Treats Poultry Treats Solid Wood","2","29738","Jas Forwarding Usa Inc","5676 N Sam Houston Parkway E Suite 100 Houston Texas 77032 Iah- Import-Ocean@Jas Com, 5676 N Sam Houston Parkway E Suite 100 Houston Texas 77032 Iah- Import-Ocean@Jas Comocean@Jas Com"
"Gredex International Limited","O B The Galway Company Rooms 1318 -19 13 F Hollywood Plaza 610 Nathan Road Mongkok Kowloon Hong Kong","","Phone Numbers:  --- Emails: ","China","2","Savannah, Ga","Shanghai","392490","Household Toilet Articles Nesoi Plastiantique Criss Cross Plastic Feeder Plastic Mealworm Feeder Antique Criss Cross Plastic Feederhousehold Toilet Articles Nesoi Plastiantique Criss Cross Plastic Feeder Plastic Mealworm Feeder Antique Criss Cross Plastic Feederhousehold Toilet Articles Nesoi Plastiantique Criss Cross Plastic Feeder Plastic Mealworm Feeder Antique Criss Cross Plastic Feeder, Household Toilet Articles Nesoi Plastiplastic Mealworm Feeder Antique Criss Cross Plastic Feeder Nohousehold Toilet Articles Nesoi Plastiplastic Mealworm Feeder Antique Criss Cross Plastic Feeder Nohousehold Toilet Articles Nesoi Plastiplastic Mealworm Feeder Antique Criss Cross Plastic Feeder Nohousehold Toilet Articles Nesoi Plastiplastic Mealworm Feeder Antique Criss Cross Plastic Feeder","9","23328","Ups Supply Chain Solutions Inc","2031 S Centennial Ave Aiken Sc 29803 Phone 1-803-502-6755 Fax 1-502-374-7424"
"Heze Jianuojia Pet Products Co Ltd","Xilin Farm Zhuanmiao Town Cao C Ounty Shandong China, Xilin Farm Zhuanmiao Town Caoc Ounty Shandong China274400","","Phone Numbers:  --- Emails: ","China","2","Long Beach, Ca","Qingdao","081320","Dried Mealworms, Dried Mealworms Dried Black Soldier Fly Larvae Dried Silkworm Pupae","2","21339","Chubby Pet Products Llc","1930 Village Center Circle #3- 2932Las Vegas Nv 89134 89134, 1930 Village Center Circle #3- 2932Las Vegas Nv 8913489134"
"Jinan Mingwei Import & Export Co Ltd","Address: No 14 East Shanshi Road 3F East-South Building Four Rooms Of West Side Lixia, No 14 Eastshanshi Road 3F East- South Building Four Rooms Of West Side Lixia District Jinan","","Phone Numbers:  --- Emails: ","China","2","Charleston, Sc","Ningpo, Qingdao","081320, 250014","Dried Mealworm, Dried Mealworm Dried Mealworm Ein Mail Christine Luquin Synergyscm China Post","2","23100","Unipet Llc","1005 W Bramlett Rd Greenville Sc 29611 Usa 001-864-382-2123, 1005 W Bramlett Rd Greenville Sc 29611 Usa Tel:001-864-382-2123 Post Code:29611"
"Jonathan International Pet Products Co Ltd","Flat B5 1/F Manning Ind Building 116-118 How Ming Street Kwun Tong Kowloon, Flat B5 1/F Manning Ind Building 116-118 How Ming Street Kwun Tong Kowloon@","","Phone Numbers:  --- Emails: ","China","2","Los Angeles, Ca","Qingdao","110900, 230990","Dried Mealworms Feed Use Dried Mealworms Feed Use Hong Kong Zip, Dried Mealworms Feed Use Solid Wood","2","29250","Eurybia Logistics Inc, W L Depot Inc","1037 N Todd Ave Azusa Ca 91702 Exue@Eurybia Us;Vdai@Eurybia Us, 2090 S Etiwanda Ave Ontario Ca 91761 Usa Tel:6269868035 Fax:6269868035"
"Topocean Consolidation Service Chi","4A No 668 Beijing Road E Shangh Ai China 200080T:021-53087700F: 02 1-53080097","","Phone Numbers: 02153080097, 02153087700 --- Emails: ","China","2","Long Beach, Ca","Shanghai","300210","Freeze Dried Mealworms","2","3320","Topocean Consolidation Service Sfo","1350 Old Bayshore Hwy Suite 910 B Urlingame Ca 94010Tel:1-650-685 8 808 Fax:1-650-685 8898"
"Weihai Herun Industrial Corp","Ltdno 29 Fangyuan Road Nanhai New District Weihai Shan Dong China","","Phone Numbers:  --- Emails: ","China","2","Long Beach, Ca, Los Angeles, Ca","Qingdao","270300, 391590","Dried Mealworms Critter Litter Pet Treats Hbl Qdchi Deliver Central Avian Elgin Kaytee Madeline Lane Suite Elgin, Dried Mealworms Critter Litter Potty Litter Chinchilla Bath Sand Critter Bath Powder Pet Treats","4","38585","Pets International","1380 Madeline Lane Suite 100 Elgin Il 60124 Tel 847 841 0645"
"7 Es Enterprises Limited","Partnership 101/4 Moo 15 Nongtakya Tamoung Kanjanaburi 71110 Thailand","","Phone Numbers:  --- Emails: ","Thailand","1","Los Angeles, Ca","Laem Chabang","392350","Seku Cloth Bags Worm Bags Screened Lids Poly Fabric Lids Vented Lids Frflies Lids Square Rectangle Cricket Mealworm Mealworm Cell Partitions Generic Descript","1","5866","Superior Shipping Supplies","7723 Densmore Ave Van Nuys Ca 91406 Usa Tel : 818-787-7794"
"Aixin International Industrial Co","L Rm 1811 No 1 Building Wanda Mall Shanghai China","","Phone Numbers:  --- Emails: ","China","1","Los Angeles, Ca","Qingdao","081320","Dried Mealworms","1","11550","",""
"Chinatrans International Limited","4Th Floor Phase 4 Halo Place No 260 Taoyuan Road Sungang Street Luohu District Shenzhen China X","","Phone Numbers:  --- Emails: ","China","1","Tacoma, Wa","Qingdao","180000","Dried Mealworms Dried Black Soldier Fly Larvae Dried Mealworms Black Soldier Fly Larvae Mix Solid Wood Chiflt Ams Scac Chia","1","10617","Mode Transportation Llc","155 S Water St Ste 210 Henderson Nv 89015 Usa Tel 1-844-989-8606 Ext 3 Fax 725-989-8601"
"Qingdao Trust Foodstuff Co Ltd","No 8 Lingang Road Jiaonan City Qingdao China","","Phone Numbers:  --- Emails: ","China","1","Tacoma, Wa","Qingdao","081320","Dried Mealworms","1","10300","",""
"Shanxian Yongzheng Pet Food Co Lt","Liuzhuangji Village Of Shan County Heze Shandong China","","Phone Numbers:  --- Emails: ","China","1","Houston, Tx","Pusan","810210","Fresh Dubia Grasshoppers Mealworms Powders Cricket Powders Black Soldier Fly Larvae Powders Wood Cfs Cfs","1","388","Lugarti Inc","1425 Old Ector Rd Bonham Texas 75418 Usa Robert Coral Phone: +1- 408-607-9676 Email:"
"Shanxian Yongzheng Pet Food Co Ltd","Liuzhuangji Village Shan County He Ze Shandong China19516972115","","Phone Numbers: 19516972115 --- Emails: ","China","1","Long Beach, Ca","Shanghai","081320","Dried Mealworms Dried Mealworms","1","9372","Red River Commodities Inc","501 42Nd St Nw Fargo Nd 58102 U S A"
