"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Imperial Bag & Paper Co Llc","255 Route 1 & 9 Jersey City Nj 07306 Tel: 1-347-213-7187 Fax: 1-347-213-7187, 255 Route 1 & 9 Jersey City Nj 07306 Tel:1-347-213-7187 Fax:1-347-213-7187, 255 Route 1 & 9 Jersey City Nj 07306 Tel : 1-347-213-7187 Fax : 1-347-213-7187 Contact Person: Mr Yuzhu Tang","","Phone Numbers: 13472137187, 0613472137187 --- Emails: ","United States","534","New York/Newark Area, Newark, Nj, Savannah, Ga, Boston, Ma","Qingdao, Panama Canal ?C Caribbean, Pusan","760719, 760200, 761510","Aluminum Foil Aluminum Foil Wood, Aluminum Foil Aluminum Foil Solid Wood, Aluminum Foil Aluminum Foil Wood China","598","6136698","Star Global Logisticsinc, Speedier Shipping Inc, Imperial Bag & Paper Co Llc","147-39 175Th Street Ste#168 Jamaica Ny 11434 Tel:347-571-0275 E-Mail:Import@Sglnyc Com, 147-39 175Th Street Ste #168 Jamaica Ny11434 Contact:Kathie Tel: 718-244-8833, 147-39 175Th Street Ste #168 Jamaica Ny11434 Usa Contact:Kathie E-Mial:Import@Speedier-Usa Com@@@"
"Dollarama L P","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006@@, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada 1-514-737 1006 1-514-731-7755, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006","dollarama.com","Phone Numbers: 15147371006, 15147317755, 5147371006 --- Emails: Traffic@Dollarama Com 1-514-737, Traffic@Dollarama Com","United States","389","Tacoma, Wa, Los Angeles, Ca, New York/Newark Area, Newark, Nj","Ningpo, Qingdao, Shanghai","760719, 760612, 761510","Aluminum Foil Aluminum Foil Aluminum Foil, Titan Ultra Aluminum Utility Pan Titan Ultra Aluminum Utility Pan Plastic Lid Mail Cpl Dollarama Cpr, Aluminum Foil Aluminum Foil","684","5402597","Dollarama L P, Canadian Pacific Logistics, Dollarama 5805","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006@@@@, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada 1-514-737 1006 1-514-731-7755"
"Ami Trade Usa Inc","1875 Sw 22 St Miami Fl 33145 Ph:305-854-8890 Fax:305-854-2141, 1875 Sw 22 St Miami Fl 33145 Ph: 305-854-8890 Fax: 305-854-2141, 1875 Sw 22St Miami Fl 33145 Miami Fl Eeuu Ph; 305- 85438890","amitrading.com","Phone Numbers: 3058548890, 3058542141, 30585438890 --- Emails: Usa Imports@Amitrading Com Tl, 305-854-2141 Imports@Amitrading Com, 33145 Imports@Amitrading Com","United States","371","New Orleans, La, Charleston, Sc, Houston, Tx","Cartagena, Puerto Manzanillo, Port Bustamante","760200, 847439, 940430","Aluminum Scrap Mts Aca Aluminios Cobres Aceros Sas Transfer Right Control Ami Trading Usa Consignee Parag Cmi Uniforms Rules Sea Waybill, Aluminum Scrap Mts, Aluminum Scrap Ubc Bales Eight","956","10482907","Ami Trade Usa Inc","1875 Sw 22 St Miami Fl 33145 Ph:305-854-8890 Fax:305-854-2141, 1875 Sw 22 St Miami Fl 33145 Ph: 305-854-8890 Fax: 305-854-2141, 1875 Sw 22St Miami Fl 33145 Miami Fl Eeuu Ph; 305- 85438890"
"Hyundai Sungwoo Auto Usa Corp","6177 Perimeter Parkway Montgomery Al 36116 U S A Attn : Mr Jake Kimph No : 334-782-4532, 6177 Perimeter Parkway Montgomery Al 36116 U S A Attn : Mr Jake Kim Ph No : 334-782-4532, Attn Mr Jake Kim 6177 Perimeter Parkway Montgomery Al 36116 U S A Ph No 334-782-4532 Email Furr","swa.co.kr","Phone Numbers: 3347824532, 33478724532 --- Emails: Furry418@Swa Co Kr, 334-782-4532 Furry418@Swa Co Kr, 4532 Furry418@Swa Co Kr","United States","363","Savannah, Ga, Mobile, Al, Long Beach, Ca","Pusan, Port Bustamante","870870, 800120, 842951","Aluminum Wheel, Aluminum Wheels, Aluminum Wheelaluminum Wheelaluminum Wheel","3041","28436209","Hyundai Sungwoo Auto Usa Corp, Aerocosta Global System Inc, Aerocosta Glabal Systems Inc","309 Williamson Ave Opelika Al 368 04 U S Aattn : Mr Wan Leeph No : 334-202-1220, Atlanta 3575 Koger Boulevard Suite #185 Duluth Ga 30096 Tel: 678-691-6358 Fax: 678-620-3655, Attn Mr Wan Lee 309 Williamsona Ve Opelika Al 36804 U S A Ph No 334-315-5487 Email Wlee Hdswusa"
"Imusa Usa Llc","6000 N W 97 Avenue Unit 26 Doral Florida 33178 U S A Telephone 305 640-3000, 6000 N W 97Th Ave Unit 26 Doral Fl 33178 Telephone: 305 640-3000 Fax 305 640-4555, 6000 Nw 97Th Ave Unit 26 Doral Fl 33178 Telephone 305 640-3000","","Phone Numbers: 3056403000, 3056404555 --- Emails: ","United States","355","New York/Newark Area, Newark, Nj, Long Beach, Ca, Miami, Fl","Ningpo, Pusan, Panama Canal ?C Caribbean","650510, 210120, 210690","Aluminum Cookware Unt Sealed Does Any Solid Wood, Aluminum Cookware Gdim Imusa Sealed Does Any Solid Wood, Aluminum Cookware Sea Led Does Any Solid Wood","413","3251271","Oec Miami","9905 Nw 17 Street Suite # 107 Miami Fl 33126 Telephone 305-463- 7007, 9905 Nw 17 Street Suite#107 Miami Fl 33166 Telephone 305-463-7007, 9905 Nw 17 Street Suite # 107 Miami Fl 33126 Telephone: 305-463- 7007"
"Hanwha Q Cells Usa Inc","300 Nexus Drive Dalton Ga 30721 Usa Attn: Kisoo Eric An Tel: +1-762-201-2880, 300 Nexus Drive Dalton Ga 30721 Usa Mr Kisoo An Email: Kisoo An@Hanwha-Qcells Com Tel : 762 201 0060, 300 Nexus Drive Dalton Ga 307 21 Usa Email Kisoo An@Qcells Com 30721","qcells.com, hanwha-qcells.com, us.q-cells.com","Phone Numbers: 7622010060, 17622010060, +17622012880 --- Emails: Kisoo An@Hanwha-Qcells Com Tel, Kisoo An@Qcells Com 30721, Kisoo An@Hanwha-Qcells Com","United States","313","Savannah, Ga, Los Angeles, Ca, Long Beach, Ca","Pusan, Vung Tau, Hong Kong","281830, 761090, 441219","Aluminum Frame, Aluminum Frame Long Short, Sssa Anodizing Aluminum Long Frame Sssa Anodizing Aluminum Short Frame Sssa Anodizing Aluminum Mid Rail Withtape","1685","17447282","Hanwha Q Cells Usa Inc, Cj Logistics Usa, Korus Trade Inc","300 Nexus Drive Dalton Ga 307 21 Usa Email Kisoo An@Qcells Com 30721, Orporation 3575 Koger Blvd Suite 200 Duluth Ga 30096 Tel 1-770-837-3703 Fax 1-770-559-1688 E-Mail : H Choi2@Cj Net, 300 Nexus Drive Dalton Ga 307 21 Usa Email Kisoo An@Qcells Com"
"Novelis Corp","3560 Lenox Rd Ste 20000 Atlanta Ga 30326 Usa Attn Tim Verona Tel 470-449-5678 E-Mail Tim Vero, 3560 Lenox Rd Ste 20000 Atlanta Ga 30326 Usa Attn Tim Verona Tel 470-449-5678 Jim Damiconovelis Adityabirla Com, 3560 Lenox Rd Ste 20000 Atlanta Ga 30326 Usa Attn Tim Verona Tel 470-449-5678","novel.30326, novelis.com, nove.30326","Phone Numbers: 4704495678, 14709559923, +14709559923 --- Emails: 30326 Nnagloballogistics@Novel 30326, 30 326Nnagloballogistics@Novelis Com, 303 26Nnagloballogistics@Novelis Com","United States","290","New York/Newark Area, Newark, Nj, Long Beach, Ca, Houston, Tx","Mundra, Pusan, Sao Paulo","281830, 761090, 760421","Aluminum Coils, Aluminum Sheet, Aluminum Coils Aluminum Coils","2798","36301284","Livingston International, 1 Livingston International 670 Young St Tonawanda Ny 14150 Us A, Harbor Freight Transport Corp","670 Young St Tonawanda Ny 14150 Usa Ctc Service Delivery Team 06 Tel 716-260-5948, 670 Young St Tonawanda Ny 14150 Usa Ctc Service Delivery Team 06 Tel 716-260-5948 Uscst06Livingsto, 670 Young St Tonawanda Ny 14150 Usa Ctc Service Delivery Team 06 Tel 716-807-3276"
"Vinylast Inc","1830 Swarthmore Ave Lakewood Nj 08 701Tel: 732 367-7200 Fax: 732 3 70-4659, 1830 Swarthmore Ave Lakewood Nj 08701 Tel: 732 367-7200 Fax: 732 370-4659, 1830 Swarthmore Ave Lakewood Nj 08 701Tel: 732 367-7200 Fax: 732 370-4659","vinylast.com","Phone Numbers: 7323677200, 7323704659 --- Emails: Stevenj@Vinylast Com","United States","284","Baltimore, Md, Norfolk, Va, New York/Newark Area, Newark, Nj","Kao Hsiung, Singapore, Hong Kong","281830, 761090, 761520","Aluminum Baluster, Aluminum Baluster Aluminum Baluster Pallet, Aluminum Railing Flanged Post","517","5028764","Kc Burdette Company, Capital Express International Inc, Tel 0084","150 Morristown Road Suite 106 Bern Ardsville Nj 07924Tel: 908 353 -6222 Fax: 908 353-8450, 147-39 175Th Street Room 212 Jamaica Ny 11434 Tel: 718-244-6174 Xt 108 Fax:718-244-6175 244-7469, 1201 Corbin Street 2Nd Floor Elizabeth New Jersey 07201 Tel: 908 353-6222 Fax: 908 353-8450"
"Asia Shipping Transportes Internaci","R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone: +55 13 2101-7770","","Phone Numbers: +551321017770 --- Emails: ","United States","280","Houston, Tx, New Orleans, La","Veracruz","760200, 761290, 281830","Aluminum Beverage Scrap Ubc Ncm Wood Applicable, Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable, Class Aluminum Ncm Ooden Applicable","1127","12773988","Asia Shipping Transportes Internaci","R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone: +55 13 2101-7770"
"Industrias Feliciano Aluminum Inc","Carr 111 Km 1 8 Bo Palmar Aguadilla Puerto Rico 00603 Tax Id 660573689 Ctc Sujeil Torres Ph 7876159777, Carr 111 Km 1 8 Bo Palmar Aguadilla Puerto Rico 00603 Tax Id 660573689 Ctc Sujeil Torres Tel 7876159777 Mrn 0094839-0017, Carr 111 Km 1 8 Bo Palmar Aguadilla Puerto Rico Pr 00603 Tax Id 660573689 Ctc Sujeil Torres Tel 7874076040","","Phone Numbers: 7876159777, 00948390017, 7874076040 --- Emails: ","United States","266","San Juan, Puerto Rico, San Juan, Puert","Veracruz, Port Bustamante, Puerto Manzanillo","760421, 700530, 281830","Perfiles Aluminio Aleados Huecos Solidos Aluminum Profiles Alloy Hollow Solid Hst, Perfiles Aluminio Aleados Huecos Slidos Aluminum Profiles Alloy Hollow Solid Hst, Perfiles Aluminio Aleados Huecos Solido Aluminum Profiles Alloy Hollow Solid Hst","494","5692154","Industrias Feliciano Aluminum Inc, Same As Consignee, Cts Technical Sales Inc","Carr 111 Km 1 8 Bo Palmar Aguadilla Puerto Rico 00603 Tax Id 660573689 Ctc Sujeil Torres Ph 7876159777, Carr 111 Km 1 8 Bo Palmar Aguadilla Puerto Rico 00603 Tax Id 660573689 Ctc Sujeil Torres Tel 7876159777 Mrn 0094839-0017, Carr 111 Km 1 8 Bo Palmar Aguadilla Puerto Rico Pr 00603 Tax Id 660573689 Ctc Sujeil Torres Tel 7874076040"
