"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Fiji Water Company Llc","11444 W Olympic Blvd Ste 210 90064-1549 Los Angeles United States, 11444 W Olympic Blvd Ste 210 90064-1549 Los Angeles, 11444 W Olympic Blvd Suite 210 Los Angeles Ca 90064 Usa Brad Cutliffe: 310 966-8451 Us","","Phone Numbers: 210900641549, 3109668451, +13109668256 --- Emails: ","United States","332","Philadelphia, Pa, Long Beach, Ca, Houston, Tx","Tauranga, Apia, Cartagena","840220, 760200, 220110","Bottled Water, Bottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Water, Bottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Waterbottled Water","13294","173161414","Steam Logistics Llc, Expeditors International Of Washing, Expeditors Intl Of Wash Inc","325 Market Street Chattanooga Tn 37402 Fijicustoms@Steamlogistics Com, 25 Market Street Chattanooga Tn 37402 Fijicustoms@Steamlogistics Com, 3930 E Watkins St Ste 100 85034-7275 Phoenix"
"Leapfrog Product Development Llc","159 N Racine Ave 4Th Floor Chicago Il 60607 Tel 312 229 0027, 1400 N Kingsbury St Suite 100 Chic Ago Il 60642 U S A Tel 312 229 00 27","","Phone Numbers: 3122290027 --- Emails: ","United States","322","Oakland, Ca, Los Angeles, Ca, Long Beach, Ca","Ningpo","390760, 851610, 392220","Plastic Water Bottle, Glass Food Storage Plastic Water Bottle, Water Bottle","688","3633721","Leapfrog Product Development Llc, Same As Consignee","159 N Racine Ave 4Th Floor Chicago Il 60607 Tel 312 229 0027, 1400 N Kingsbury St Suite 100 Chic Ago Il 60642 U S A Tel 312 229 00 27, Same As Consignee"
"Dollar General Corp","100 Mission Ridge Goodlettsville Tn 37072-2170 Tel:615-855-4000 Fax:615-855-4422, 100 Mission Ridge Goodlettsville Tn 37072-2170 Tel 615-855-4000 Fax 615-855-4422 Tax Num 61-085276400, 100 Mission Ridge Goodlettsville Tn 37072-2170 Tel:615-855-4000 Fax:615-855-4422 Tax Num:","","Phone Numbers: 6158554000, 6158554422, 61085276400 --- Emails: ","United States","212","Savannah, Ga, Long Beach, Ca, Los Angeles, Ca","Ningpo, Pusan","231500, 392410, 701391","Adult Vrty Pack Water Bottle Ncklc Erng Rings Tumbler Pink Curtain Rod Sponge Deco Cell Val Scented Stickers Solar Light Tkqt Tmkm Ams Ams Bco Expeditors International Nashville Century Blvd Ste Nashville Attn Dray Management Dgdray Expeditors, Artificial Flower Solar Light Sponge Deco Cell Splash Toy Solar Spotlight Beaded Bolster Pswk Oct Table Clock Val Scented Stickers Curtain Rod Solar Table Stake Light Kids Water Bottle Move Type Door Infj Tspr Tkqt Tmkm Vyyq Vyyn Wcly Nsw Ams Dolqfp Chinaartificial Flower Solar Light Sponge Deco Cell Splash Toy Solar Spotlight Beaded Bolster Pswk Oct Table Clock Val Scented Stickers Curtain Rod Solar Table Stake Light Kids Water Bottle Move Type Door Infj Tspr Tkqt Tmkm Vyyq Vyyn Wcly Nsw Ams Dolqfp China, Artskills Blankbook Water Color Brush Unicorn Decor Kit Angle Brush Cupcake Liner Bright Water Brushes Alphabet Bead Kit Artskills Hot Glue Gun Artskills Fabric Scissor Artskills Bucket Metal Heart Shape Pan Artskills Chalk Board Artskills Glitter Silver Askill Glue Gun Dual Temp Spatua Flat Baking Cups Mini Artskills Brush Ast Treat Sticks Askills Illustration Pens Chocolate Mold Hearts Artskills Light Cake Turntable Galventized Metal Plaque Icing Tip Flowers Borders Artskills Oil Pastels Stick Rolling Mat Artskills Light Icing Tip Flowers Borders Artskills Oil Pastels Artskills Gem Tube Fabric Shaver Artskills Beads Crystal Askills Illustration Pens Candy Bowl Curved Cookie Scoop Icing Tip Letters Filler Chalkboard Plaque Artskills Gems Pearls Premium Angle Brushes Donut Cutter Artskills Chalk Board Metallic Stretch Cord Askills Fine Tip Markers Askills Adhsv Bton Mgnt Artskills Hot Glue Gun Askills Script Stencils Artskills Calligraphy Pen Artskills Macrame Cord Brush Dual Tip Marke","1029","8174825","Expeditors Internatinal/Sea, Expeditors Internatinal/Sav, 2 Expeditors International Nashville","2 East Bryan Street Suite 901 Savannah Ga 31401 Michelle Anderson, 26 Century Blvd Ste 702 Nashville Tn 37214 Attn Dray Management E Dgdrayexpeditors Com P 615 855 4438, 19119 16Th Ave S Seatac Wa 98188 Shawn Oughton Tel: 206-826-4100 Fax:"
"Zak Designs Inc","1603 S Garfield Road Airway Heights Wa 99001 Usa Attn:Daini Hertel Tel: 509 2448693 Fax: 509 2440744, 1603 S Garfield Road Airway Heights Wa 99001 Usa Attn:Daini Hertel Tel: 509 2448693, 1603 S Garfield Road Airway Heightswa 99001 Usa Attn=Daini Hertel Tel = 509 2448693 Fax= 509 2440744","amctran.com","Phone Numbers: 5092448693, 5092440744, 8333262872 --- Emails: Mail= Docs@Amctran Com","United States","194","Tacoma, Wa, Seattle, Wa, Los Angeles, Ca","Ningpo, Shanghai, Kao Hsiung","940340, 392410, 961700","Children Licensed Kitchenware Children Licensed Kitchenware Plastic Kitchenware Kitchenwares Wooden Wood Water Bottle Stainless Steel Mug Alvin Woo Expeditors Tyson Loch Expeditors, Water Bottle Children Licensed Kitchenware Plastic Kitchenware Kitchenwares Wooden Wood Water Bottle Stainless Steel Mug Phone Alvin Wooexpeditors Tyson Lochexpeditors, Children Licensed Kitchenware Children Licensed Kitchenware Plastic Kitchenware Kitchenwares Wooden Wood Water Bottle Stainless Steel Mug Phone Alvin Woo Expeditors Tyson Loch Expeditors","196","1168118","Zak Designs Inc, Expeditors International Of Washing, Expeditors International Of Washington","1603 S Garfield Road Airway Heights Wa 99001 Usa Attn:Daini Hertel Tel: 509 2448693 Fax: 509 2440744, 1603 S Garfield Road Airway Heights Wa 99001 Usa Attn:Daini Hertel Tel: 509 2448693, 19119-16Th Avenue South Seatac Wa 98188 U S A Attn=Alvin Woo/Tyson L Och"
"Harmless Harvest Inc","1814 Franklin St Suite 1000 Tel : +1 347 688 6286 E-Mail : Manuel@Harmlessharvest Comoakland Ca 94612 Us, 712 Sansome Street San Francisco Ca 94111 Tel : +1 347 688 6286 E-Mail : Manuel@Harmlessharvest Com, 1814 Franklin St Suite 1000 Tel :  347 688 6286 E-Mail : Manuel@Harmlessharvest Comoakland Ca 94612 Us","harmlessharvest.comoakland.ca, harmlessharvest.com","Phone Numbers: +13476886286, 3476886286 --- Emails: Manuel@Harmlessharvest Comoakland Ca, Manuel@Harmlessharvest Com","United States","153","New York/Newark Area, Newark, Nj, Long Beach, Ca, Los Angeles, Ca","Laem Chabang, Singapore, Military ?C Port Kelang","200989, 392330, 081190","Bottles Organic Coconut Water Plain Ffl Hhti Temp, Bottles Organic Coconut Water Plain Ffl Layers Hhti Temp, Bottles Organic Coconut Water Plain Double Stack Hhti Temp","423","4669817","Harmless Harvest Inc","C O Garden State Cold Storage 580 Port Carteret Dr Carteret Nj 07008 Us, C O Kpac 1420 W Coil Ave Wilmington Ca 90744 Us, C/O Kpac 1420 W Coil Ave Wilmington Ca 90744 Usa Tel : +1 310-522-1918"
"Dollarama L P","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada 1-514-737 1006 1-514-731-7755, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006@@, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006","dollarama.com","Phone Numbers: 15147371006, 15147317755 --- Emails: Traffic@Dollarama Com 1-514-737, Traffic@Dollarama Com","United States","150","Tacoma, Wa, Seattle, Wa, New York/Newark Area, Newark, Nj","Ningpo, Yantian, Hong Kong","392410, 390760, 732393","Cool Gear Water Bottle Cool Gear Water Bottle, Cozy Dog Bed Aci Ams Isf Send Carrier Spgo Water Drop Shape Spray Bottle Dollarama Avenue Royalmo Mont Royal Quebec Canada, Dog Water Bottle Dog Water Bottle Mail Cpl Dollarama Cpr","346","2567124","Dollarama L P, Canadian Pacific Logistics, Dollarama 5805","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada 1-514-737 1006 1-514-731-7755, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006@@@@, 5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 Canada Email: Traffic@Dollarama Com 1-514-737 1006"
"P S W Inc","149 Via Trevizio Corona Ca 92879 Usa Tel : 951 371-7100 Fax : 951 371-7101, Dba Taste Nirvana Int L 281 Corporate Terrace Cir Corona Ca 92879 Usa Tel : 951 371-7100","","Phone Numbers: 9513717100, 9513717101 --- Emails: ","United States","85","Los Angeles, Ca, Long Beach, Ca","Laem Chabang, Kao Hsiung, Vung Tau","200989, 210120, 081190","Coconut Water Coconut Water Taste Nirvana Brand Premium Coconut Water Glass Bottle Harmonized Pack Free Charge Harmonized Premium Coconut Water Glass Bottle Harmonized Pack Free Charge Harmonized Premium Coconut Water Glass Bottle Harmonized Pack Free Charge Harmonized, Coconut Water Coconut Water Taste Nirvana Brand Trays Premium Coconut Water Glass Bottle Harmonized Pack Tray Free Charge Harmonized Trays Premium Coconut Water Aluminium Canned Harmonized Pack Tray Free Charge Harmonized Trays Real Coconut Water Tender Coconut Bits Aluminium Canned Harmonized Pack Tray Free Charge Harmonized, Coconut Water Taste Nirvana Brand Premium Coconut Water Glass Bottle Harmonized Free Charge Harmonized","247","3583993","P S W Inc","149 Via Trevizio Corona Ca 92879 Usa Tel : 951 371-7100 Fax : 951 371-7101, Dba Taste Nirvana Int L 281 Corporate Terrace Cir Corona Ca 92879 Usa Tel : 951 371-7100"
"Ignite Usa Llc","C/O Tagg Reno Warehouse 10855 Lear Blvd Reno Nv 89506 Usa Tel: 775 -737-7037 Jay Johnson: Jay Johnson, C/O Tagg Reno Warehouse 10855 Lear Blvd Reno Nv 89506 Usa Tel: 775 -737-7037, C/O Tagg Reno Warehouse 10855 Lear Blvd Reno Nv 89506 Usa Tel: 775 -737-7037 Jay Johnson: Jay Johnson@","","Phone Numbers: 7757377037 --- Emails: ","United States","80","Oakland, Ca","Yantian, Ningpo, Pusan","392330, 262060, 961700","Couture Water Bottle Ipping Nanlong Jay Joh Nson Tagglogistics Mckenna Mark Mckenna Agglogistics Renorece Iving Tagglogistics Lga Sennik Expeditors, Plastic Water Bottle Mark Mckenna Mark Mckenna Tagglogistics Renoreceiving Tagglogistics Olga Sennik Expeditors Wood, Plastic Water Bottle Line Line Mark Mckenna Mark Mckenna Tagglogistics Renoreceiving Tagglogistics Olga Sennik Expeditors Wood","169","1097888","Expeditors St Louis","610 Lambert Pointe Drive Hazelwood Mo 63042 Stl-Newell Expeditors Com, 610 Lambert Pointe Drive Hazelwood Mo 63042 Usa Stl-Newell@Expeditors Com, 610 Lambert Pointe Drive Hazelwood Mo 63042 Stl-Newell@Expeditors Com"
"Sweda Company Llc","17411 Valley Blvd City Of Industry Ca 91744 Usa Tel:626-357-9999 City Of Industry Us","","Phone Numbers: 6263579999 --- Emails: ","United States","80","Long Beach, Ca, Los Angeles, Ca","Ningpo","720421, 441199, 390760","Stainless Steel Water Bottle Solid Wood, Glass Water Bottle Solid Wood, Water Bottle Solid Wood","103","430244","Sweda Company Llc","17411 Valley Blvd City Of Industry Ca 91744 Usa Tel:626-357-9999 City Of Industry Us"
"The Coleman Company Inc","180 North Lasalle St Suite 700 Chicago Il 60601 Attn: Erin Nicholas Fax: 316 219 5205, 180 North Lasalle St Suite 700 Chicago Il 60601 Attn: Erin Nicholas Fax:316 219 5205, 180 North Lasalle St Suite 700 Chicago Il 60601 Attn:Erin Nicholasfax:316 219 5205 Email:Erin","coleman.com","Phone Numbers: 3162195205, 9517273969 --- Emails: Erin Nicholas@Coleman Com, Email=Erin Nicholas@Coleman Com","United States","74","Los Angeles, Ca, Long Beach, Ca, Oakland, Ca","Yantian, Shekou","392330, 961700","Wooden Furniture Excl Plastic Water Bottle Coleman Company North Lasalle Suite Chicago Attn Erin Nicholas Erin Nicholas Coleman, Campacking Stainless Steel Water Bottle Coleman Company North Lasalle Suite Chicago Attn Erin Nicholas Erin Nicholas Coleman, Table Kitchen Other Househ Plastic Water Bottle Coleman Company North Lasalle Suite Chicago Attn Erin Nicholas Erin Nicholas Coleman","74","725336","Ch Powell Company, Expeditors Stl, Newell Brands Distribution Llc","478 Wando Park Blvd Mt Pleasant Sc 29464 Robin Elsmore Tel 843-856-2484, 478 Wando Park Blvd Mt Pleasant Sc29464 Robin Elsmore Tel 843-856-2484, 478 Wando Park Blvd Mt Pleasant Sc 29464 Nrimports Chpowell Com"
