"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Amzey Inc","14247 Don Julian Rd City Of Indust Tel No 001 626-295-9888","","Phone Numbers: 0016262959888 --- Emails: ","United States","21","Los Angeles, Ca, Long Beach, Ca","Qingdao, Shanghai","071490","Chinese Dried Mealworms","23","285027","",""
"Tractor Supply Company","Of Texas Lp 5401 Virginia Way Brentwood Tn 37027 Usa Ph:615-440-4000 Fx:615-484-4981, Of Texas Lp 5401 Virginia Way Brentwo Od Tn 37027 Usa Ph 615-440-4000 Fx 615-484-4981 37027, Of Texas Lp 5401 Virginia Way Brentwood Tn 37027 Usa Ph 615-440-4000 Fx 615-484-4981 37027","","Phone Numbers: 6154404000, 6154844981, 61548449813702 --- Emails: ","United States","21","Norfolk, Va, Long Beach, Ca, Los Angeles, Ca","Qingdao, Pusan","081320, 021092, 040390","Dried Mealworms, Dried Mealworms Hcx, Animal Dried Mealworms Solid Wood Also Expeditors Intl Ellery Court Nashville Usa","70","580901","Tractor Supply Company, Expeditors Intl Of Wa Inc, Expeditors Intl Of Wa Inc237","Of Texas Lp 5401 Virginia Way Brentwood Tn 37027 Usa Ph:615-440-4000 Fx:615-484-4981, 237 Ellery Court Nashville Tn 37214 Usa, Of Texas Lp 5401 Virginia Way Brentwo Od Tn 37027 Usa Ph 615-440-4000 Fx 615-484-4981 37027"
"The Bug Company","15941 Tippecanoe Street N E Ham Lake Mn 55304 Usa Mr Hong +16512062393","","Phone Numbers: +16512062393 --- Emails: ","United States","8","New York/Newark Area, Newark, Nj, New York/Newark","Anvers, Rotterdam","690320, 010649, 193600","Cargo Stowed Refrigerated Sat Requested Carrying Temperatuof Degrees Celsius Live Mealworms Pakked Relative Humidity Percent Airflow Cmh Hmistler Mistler, Frozen Vegetables Cargo Stowed Refrigerated Sat Requested Carrying Temperatu Degrees Celsius Molitor Tenebro Mealworms Loaded Settings Temp Relative Humidity Percent Airflow Hrs, Frozen Vegetables Mealworms Loaded Settings Temp Relative Humidity Percent Ariflow Chm Hmistler Mistler Pkgs Cargo Stowed Refrigerated Requested Carrying Temperatu Degrees Celsius Mealworms Loaded Settings Temp Relative Humidity Percent Ariflow Chm Hmistler Mistler","8","58974","Harold Mistler H Mistler Customshouse Broker, Xhmistlermistler Net","175-11 148Th Road Suite 207 Jamaica Ny 11434, 175-11 148Th Road Suite 207 Jamaica Ny 11434 Tel 718 656 5991 Ext 5, No Address"
"Silvical Inc","Add:16050 E Cypress St Covina Ca 91722 Tel&Fax:310-217-8828, C/O 9171 Wilshire Wilshrie Blvd Ste500 Beverly Hills Ca 90210 Tel: 626-334-0100, C/O 9171 Wilshire Wilshrie Blvd Ste500 Beverly Hills Ca 90210626-33 4-0100","","Phone Numbers: 3102178828, 6263340100, 90210626334010 --- Emails: ","United States","3","Long Beach, Ca, Los Angeles, Ca","Qingdao","846719, 230990","Dried Mealworms Feed Use Driedmealworms Feed Use Solid Wood, Dried Mealworms Feed Use Dried Mealworms Feed Use Hong Kong Zip","7","68618","Silvical Inc, W L Depot Inc","2090 S Etiwanda Ave Ontario Ca 91761 Usa Tel:6269868035 Fax:6269868035, C/O 9171 Wilshire Wilshrie Blvd Ste500 Beverly Hills Ca 90210 Tel: 626-334-0100, C/O 9171 Wilshire Wilshrie Blvd Ste500 Beverly Hills Ca 90210626-33 4-0100"
"Specialty Commodities Llc","1530 47Th Street Nw Fargo Nd 58102 United States Phone: 701-282-8222 Sci Imports@Adm Com","adm.com","Phone Numbers: 7012828222 --- Emails: Sci Imports@Adm Com","United States","3","Tacoma, Wa","Qingdao, Shanghai","081320","Dried Mealworms Dried Mealworms","3","14850","Specialty Commodities Llc","1530 47Th Street Nw Fargo Nd 58102 United States Phone: 701-282-8222 Sci Imports@Adm Com"
"Chubby Pet Products Llc","1930 Village Center Circle #3- 2932Las Vegas Nv 89134 89134, 1930 Village Center Circle #3- 2932Las Vegas Nv 8913489134","","Phone Numbers: 8913489134 --- Emails: ","United States","2","Long Beach, Ca","Qingdao","081320","Dried Mealworms, Dried Mealworms Dried Black Soldier Fly Larvae Dried Silkworm Pupae","2","21339","Chubby Pet Products Llc","1930 Village Center Circle #3- 2932Las Vegas Nv 89134 89134, 1930 Village Center Circle #3- 2932Las Vegas Nv 8913489134"
"Lg Sourcing Inc","1000 Lowes Boulevard Mooresville Nc 28117 Usa Tel 1-3366585522 Emailimportdocslowes Com","","Phone Numbers: 13366585522 --- Emails: ","United States","2","Savannah, Ga","Shanghai","392490","Household Toilet Articles Nesoi Plastiantique Criss Cross Plastic Feeder Plastic Mealworm Feeder Antique Criss Cross Plastic Feederhousehold Toilet Articles Nesoi Plastiantique Criss Cross Plastic Feeder Plastic Mealworm Feeder Antique Criss Cross Plastic Feederhousehold Toilet Articles Nesoi Plastiantique Criss Cross Plastic Feeder Plastic Mealworm Feeder Antique Criss Cross Plastic Feeder, Household Toilet Articles Nesoi Plastiplastic Mealworm Feeder Antique Criss Cross Plastic Feeder Nohousehold Toilet Articles Nesoi Plastiplastic Mealworm Feeder Antique Criss Cross Plastic Feeder Nohousehold Toilet Articles Nesoi Plastiplastic Mealworm Feeder Antique Criss Cross Plastic Feeder Nohousehold Toilet Articles Nesoi Plastiplastic Mealworm Feeder Antique Criss Cross Plastic Feeder","9","23328","Ups Supply Chain Solutions Inc","2031 S Centennial Ave Aiken Sc 29803 Phone 1-803-502-6755 Fax 1-502-374-7424"
"Mega Furnishing","4661 District Blvd Vernon Ca 9005 8 Email= Beverly9683333@Gmail Com Tel= 626-757-0797, 4661 District Blvd Vernon Ca 90058 Email= Beverly9683333@Gmail Com Te L= 626-757-0797","","Phone Numbers: 6267570797 --- Emails: Email= Beverly9683333@Gmail Com Te, Email= Beverly9683333@Gmail Com Tel","United States","2","Long Beach, Ca","Hong Kong, Shekou","281511","Dried Mealworms Solid Wood","2","22524","Petfu Inc","Add=1726 E Francis St Ontario Ca 91761 Usa Email= Beverly9683333@Gm Ail Com Tel= 626-757-0797"
"Petfu Inc","Add:1726 E Francis St Ontario Ca 91761 Usa Tel:626-757-0797 Email: Crownfulogistics@Gmail Com","","Phone Numbers: 6267570797 --- Emails: Crownfulogistics@Gmail Com","United States","2","Los Angeles, Ca","Qingdao","081320","Dried Mealworms Dried Mealworms Solid Wood","2","23046","Crownfu Logistics Inc","1013 Sequoia Place Montebello Ca 90640 Tel:626-757-0797 Fax:626-270-4391"
"Pets International","1380 Madeline Lane Suite 100 Elgin Il 60124 Tel 847 841 0645","","Phone Numbers: 8478410645 --- Emails: ","United States","2","Long Beach, Ca, Los Angeles, Ca","Qingdao","270300, 391590","Dried Mealworms Critter Litter Pet Treats Hbl Qdchi Deliver Central Avian Elgin Kaytee Madeline Lane Suite Elgin, Dried Mealworms Critter Litter Potty Litter Chinchilla Bath Sand Critter Bath Powder Pet Treats","4","38585","Pets International","1380 Madeline Lane Suite 100 Elgin Il 60124 Tel 847 841 0645"
"Randall Burkey Co Inc","37131 Ih-10 Frontage Rd Ste 602 Boerne Tx 78006 Usa Fda No : 13147909018","","Phone Numbers: 13147909018 --- Emails: ","United States","2","Houston, Tx","Pusan","020900","Dried Mealworms Pet Treats Poultry Treats Nesting Herbs Solid Wood, Dried Mealworms Pet Treats Poultry Treats Solid Wood","2","29738","Jas Forwarding Usa Inc","5676 N Sam Houston Parkway E Suite 100 Houston Texas 77032 Iah- Import-Ocean@Jas Com, 5676 N Sam Houston Parkway E Suite 100 Houston Texas 77032 Iah- Import-Ocean@Jas Comocean@Jas Com"
"Rkds Llc","1205 W 2Nd St Waverly Oh 45690 217-345-7161, 815 Reasor Dr Charleston Il 61920 217-235-7102","","Phone Numbers: 45690217345, 61920217235 --- Emails: ","United States","2","Long Beach, Ca","Qingdao","071331, 391590","Pet Treats Combo Craze Poultry Treat Dried Crickets Fly Larvae Mealworm Treats Ohjhjq, Pet Treats Mealworm Treats Dried Crickets Flylarvae Mbl Oneyta","2","14180","",""
"Topocean Consolidation Service Los","2727 Workman Mill Rd City Of Indu Stry Ca 90601Tel: 562-908-1688 Fa X: 562-908-1699","","Phone Numbers: 5629081688, 5629081699 --- Emails: ","United States","2","Long Beach, Ca","Shanghai","300210","Freeze Dried Mealworms","2","3320","Topocean Consolidation Service Sfo","1350 Old Bayshore Hwy Suite 910 B Urlingame Ca 94010Tel:1-650-685 8 808 Fax:1-650-685 8898"
"Unipet Llc","1005 W Bramlett Rd Greenville Sc 29611 Usa 001-864-382-2123, 1005 W Bramlett Rd Greenville Sc 29611 Usa Tel:001-864-382-2123","","Phone Numbers: 0018643822123 --- Emails: ","United States","2","Charleston, Sc","Ningpo, Qingdao","081320, 250014","Dried Mealworm, Dried Mealworm Dried Mealworm Ein Mail Christine Luquin Synergyscm China Post","2","23100","Unipet Llc","1005 W Bramlett Rd Greenville Sc 29611 Usa 001-864-382-2123, 1005 W Bramlett Rd Greenville Sc 29611 Usa Tel:001-864-382-2123 Post Code:29611"
"Eurybia Logistics Inc","1037 N Todd Ave Azusa Ca 91702 Exue@Eurybia Us;Vdai@Eurybia Us","eurybia.us","Phone Numbers:  --- Emails: 91702 Exue@Eurybia Us","United States","1","Los Angeles, Ca","Qingdao","110900","Dried Mealworms Feed Use Solid Wood","1","15000","Eurybia Logistics Inc","1037 N Todd Ave Azusa Ca 91702 Exue@Eurybia Us;Vdai@Eurybia Us"
"Fm Browns Sons Inc","205 Woodrow Ave Sinking Spring Pa 19608 Usa Tel/Fax:800-334-8816","","Phone Numbers: 8003348816 --- Emails: ","United States","1","New York/Newark Area, Newark, Nj","Qingdao","081320","Dried Mealworms","1","5049","Fm Browns Sons Inc","205 Woodrow Ave Sinking Spring Pa 19608 Usa Tel/Fax:800-334-8816"
"Lugarti Inc","1425 Old Ector Rd Bonham Texas 75418 Usa Robert Coral Phone: +1- 408-607-9676 Email:","","Phone Numbers: +14086079676 --- Emails: ","United States","1","Houston, Tx","Pusan","810210","Fresh Dubia Grasshoppers Mealworms Powders Cricket Powders Black Soldier Fly Larvae Powders Wood Cfs Cfs","1","388","Lugarti Inc","1425 Old Ector Rd Bonham Texas 75418 Usa Robert Coral Phone: +1- 408-607-9676 Email:"
"Mann Lake Ltd","501 1St St S Hackensack Mn 56452 United States Tel: 1-800-880-7694","","Phone Numbers: 18008807694 --- Emails: ","United States","1","Tacoma, Wa","Qingdao","081320","Dried Mealworms","1","10300","",""
"Mattoon Rural King Supply Inc","4216 Dewitt Ave Mattoon Il 61938 217-235-7102 Mattoon Il Il 61938 Us","","Phone Numbers: 61938217235 --- Emails: ","United States","1","Los Angeles, Ca","Qingdao","940190","Mealworm Chicken Treats Pet Treats Poultry Treats Wood","1","4530","Flexport International Llc","760 Market Street Floor 8 San Francisco Ca 94102 Operations Department San Francisco Ca Ca 94102 Us"
"Mode Transportation Llc","155 S Water St Ste 210 Henderson Nv 89015 Usa Tel 1-844-989-8606 Ext 3 Fax 725-989-8601","","Phone Numbers: 18449898606, 7259898601 --- Emails: ","United States","1","Tacoma, Wa","Qingdao","180000","Dried Mealworms Dried Black Soldier Fly Larvae Dried Mealworms Black Soldier Fly Larvae Mix Solid Wood Chiflt Ams Scac Chia","1","10617","Mode Transportation Llc","155 S Water St Ste 210 Henderson Nv 89015 Usa Tel 1-844-989-8606 Ext 3 Fax 725-989-8601"
"Red River Commodities Inc","501 42Nd St Nw Fargo Nd 58102 U S A 9527462877","","Phone Numbers: 9527462877 --- Emails: ","United States","1","Long Beach, Ca","Shanghai","081320","Dried Mealworms Dried Mealworms","1","9372","Red River Commodities Inc","501 42Nd St Nw Fargo Nd 58102 U S A"
"Superior Shipping Supplies","7723 Densmore Ave Van Nuys Ca 91406 Usa Tel : 818-787-7794","","Phone Numbers: 8187877794 --- Emails: ","United States","1","Los Angeles, Ca","Laem Chabang","392350","Seku Cloth Bags Worm Bags Screened Lids Poly Fabric Lids Vented Lids Frflies Lids Square Rectangle Cricket Mealworm Mealworm Cell Partitions Generic Descript","1","5866","Superior Shipping Supplies","7723 Densmore Ave Van Nuys Ca 91406 Usa Tel : 818-787-7794"
"Uncle Jim S Worm Farm","2046 Henry Lane Spring Grove Pa 17352 Usa + 717 451 9893","","Phone Numbers: 7174519893 --- Emails: ","United States","1","Baltimore, Md","Pusan","071130","Dried Mealworms Wood Also Gloden State Llc Nandina Ave Moreno Valley","1","4970","Uncle Jim S Worm Farm","2046 Henry Lane Spring Grove Pa 17352 Usa + 717 451 9893 Email:Jshaw225@Gmail Com"
"Wildlife Sciences","11400 K-Tel Dr Ste A Minnetonka Ph 952-238-1111","","Phone Numbers: 9522381111 --- Emails: ","United States","1","Los Angeles, Ca","Qingdao","081320","Dried Mealworms","1","11550","",""
