"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Welspun Usa Inc","3901 Gantz Road Suite A Grove City Ohio - 43123 Usa Phone : 2126202000, 3901 Gantz Road Suite A Grove City Ohio - 43123 Usa Phone : 2126202000 Fax : 2126962831, 3901 Gantz Road Suite A Grove City Ohio - 43123 Usa Phone 2126202000 Fax 2126962831 X","","Phone Numbers: 2126202000, 2126962831, 6149455100 --- Emails: ","United States","578","Norfolk, Va, New York/Newark Area, Newark, Nj, Savannah, Ga","Jawaharlal Nehru, Mundra, Salalah","570339, 630260, 570330","Other Ups Textile Articles Toilet Linen Terry Towelling Fabrics Cotton Tax Psi Psi Wgs Import Clearance Welspun Destination Country Pkgs Welspun Usa Gantz Road Grove City Ohio Usa Phone, Carpet Other Textile Floor Covering Polyester Rugs Latex Back Tuffted Tax Psi Psi Wgs Import Clearance Welspun Destination Country Pkgs Welspun Usa Gantz Road Grove City Ohio Usa Phone, Carpet Other Textile Floor Covering Polyester Rugs Latex Back Tuffted Tax Psi Psi Wgs Import Clearance Welspun Second Welspun Usa Gantz Road Suite Grove City Ohio Usa Phone Above Destination Country Pkgs","2732","23934688","Welspun Usa Inc, American Shipping Company Inc, Tricon Logistics","3901 Gantz Road Suite A Grove City Ohio - 43123 Usa Phone : 2126202000, 250 Moonachie Road 5Th Floor Moonachie Nj 07074 Ph : 201-478-4600 / Fax :201-478-46, 3901 Gantz Road Suite A Grove City Ohio - 43123 Usa Phone 2126202000 Fax 2126962831 X"
"Afs America","4825 Cargo Drive Columbus Ga 31907 U S A Tel:706 568-6068 Fax:706 568-6069, 4825 Cargo Drive Columbus Ga 31907 U S A Tel:706 568-6068, 4825 Cargo Drive Columbus Ga 31907 U S A Tel:706 568-6098 Fax:706 568-6069","","Phone Numbers: 7065686068, 7065686069, 7065686098 --- Emails: ","United States","491","Savannah, Ga, Long Beach, Ca, Los Angeles, Ca","Pusan","570190, 844400, 570252","Carpets Man Textile, Carpet Man Textile Other Meterial, Carpets Manmade Textile","553","5863360","Afs America, Star Cluster Usa Atl, Afs America 4825 Cargo","4825 Cargo Drive Columbus Ga 31907 U S A Tel:706 568-6068, 1835 Shackleford Ct Suite 110 Norcross Ga 30093 U S A Tel:404-765-0075 Fax:404-765-0073, 4825 Cargo Drive Columbus Ga 31907 U S A Tel:706 568-6068 Fax:706 568-6069"
"Loblaws Inc","Loblaw Customs Compliance & Global Trade 1 Presidents Choice Circle Brampton On L6Y 5S5 Canada Phn: 905-459-2500 Fax:888-970-0808, Loblaw Customs Compliance & Global Trade 1 Presidents Chioce Circle Brampton On L6Y 5S5 Canada Phn: 905-459-2500 Fax:888-970-0808, Loblaw Customs Compliance & Global Trade 1 Presidents Choice Circle Brampton On L7A 2Y7 Canada Phn: 905-459-2500 Fax:888-970-0808","loblaw.ca, loblaw.ca.contact, loblaw.ca.tel","Phone Numbers: 8889700808, 9054592500, 4032917773 --- Emails: Christine Schmidt@Loblaw Ca, Christine Schmidt@Loblaw Ca Contact, Christine Schmidt@Loblaw Ca Tel","United States","395","Tacoma, Wa, Seattle, Wa, Los Angeles, Ca","Kao Hsiung, Pusan, Singapore","610910, 630260, 610462","Garments Textile Fcr Fcr Tee Girls Tee Upc Nafa Exp Pal Jma, Garments Textile Fcr Fcr Tee Ladies Tee Upc Nafa Exp Pal Jma, Garments Textile Fcr Fcr Tee Boys Tee Upc Nafa Exp Pal Jma","411","1062324","Loblaws Inc, Loblaw Customs Compliance & Global, Loblaw Customs Compliance &","Loblaw Customs Compliance & Global Trade 1 Presidents Choice Circle Brampton On L6Y 5S5 Canada Phn: 905-459-2500 Fax:888-970-0808, Trade 1 President?S Choice Circle Brampton On L6Y 5S5 Phone: 9054592500 Fax: 8889700808, Loblaw Customs Compliance & Global Trade 1 Presidents Chioce Circle Brampton On L6Y 5S5 Canada Phn: 905-459-2500 Fax:888-970-0808"
"Williams Sonoma Singapore Pte Ltd 7755 Polk","Ms 38654 United States Tel:1-6628925523 Fax:1-9015465846, Ms 38654 United States Tel: 01 415-421-7900 Tax:942203880, Ms 38654 United States Tel1-6628925523 Fax1-9015465846","","Phone Numbers: 16628925523, 19015465846, 014154217900 --- Emails: ","United States","329","Los Angeles, Ca, New York/Newark Area, Newark, Nj, Long Beach, Ca","Yantian, Shanghai, Kao Hsiung","940161, 940510, 950300","Acrylic Pendant Ceiling Light Attn Ashley Rudd Sybil Walls Wsi Mem Expeditors Iron Flushmount Ceiling Light Decorative Crystal Lamp Shade Wood Table Lamp Linen Shade Iron Table Lamp Acrylic Tube Textile Lamp Shade Glass Table Lamp Lamp Shade Wood Floor Lamp Linen Shade Iron Base Table Lamp Acrylic Tube Textile Lamp Shade Glass Disc Ceiling Light Damco Usa Charlotte Arrowpoint Blvd Charlotte United Statesfreight, Acrylic Photo Frame China Attn Ashley Rudd Sybil Walls Wsi Mem Expeditors Robin Reed Asia Hennessy Road Causeway Bay Cameron Commercial Centre Hong Kong Meilian Lighting Electric Appliances Changan Henglan Town Zhongshan China Tasia Intl Chow Tze Street Nei Area Taipei Taiwan Taipei Taiwan China Moeurs Lighting Hong Kong Flat Wing Wong Comm Bldg Nathan Road Kln Hong Kong Great Wisely Development Room Zhong Yan Bus Lian Feng Dongguan China Champion Industrial Unit Peninsula Centre Mody Road Tsim Sha Hong Kong Casdon Limited Cornford Road Lancashire Blackpool United Kingdom Univerx Flat Belcher Str Kennedy Town Hong Kong China Faux Light Plastic Pine Tree Cement Pot Wrapped Burlap Textile Pkm Each Garland Plastic Pine Stem Twig Base Pkm Each Lit Plastic Wreath Twig Base Pkm Each Pkm Des Iron Ceiling Light Pkm Des Acrylic Beads Chandelier Jute Tassel Pkm Des Acrylic Chandlier Pkm Des Iron Chandelier Utensil Spoon Fork Stainless Steel Head Plastic Handle Utensil Spoon Fork Stainless Steel , Acrylic Photo Frame China Attn Ashley Rudd Sybil Walls Wsi Mem Expeditors Tasia Intl Chow Tze Street Nei Area Taipei Taiwan Taipei Taiwan China Great Wisely Development Room Zhong Yan Bus Lian Feng Dongguan China Relax Furniture Jixiang Road Shuanggang Village Houjie Town Dongguan China Champion Industrial Unit Peninsula Centre Mody Road Tsim Sha Hong Kong Univerx Flat Belcher Str Kennedy Town Hong Kong China Faux Light Plastic Pine Tree Cement Pot Wrapped Burlap Textile Pkm Each Garland Plastic Pine Stem Twig Base Pkm Each Lit Plastic Wreath Twig Base Pkm Each Utensil Spoon Fork Stainless Steel Head Plastic Handle Utensil Spoon Fork Stainless Steel Head Plastic Handle Flatware Fork Spoon Stainless Steel Head Abs Handle Acrylic Photo Frame Glassware Decanter Drinking Glasses Stemless Vendor Provid Glassware Decanter Drinking Glasses Stemless Vendor Provid Bed Leather Cushion Toy Tin Tea Toy Mini Cooking Age Toy Mini Grocery Basket Age Toy Iron Tea Iron Frame Bed Headboard Component Met","564","3102864","Expeditors International Of Washington Inc, Damco Usa Inc, Expeditors International Of Washing","6005 Freeport Avenue Suite 102 Memphis Tn - 38141, Charlotte 9300 Arrowpoint Blvd 28273 Charlotte United States, 6005 Freeport Avenue Suite 102 Memphis Tn - 38141 T9013629771 F9013621210"
"Old Navy Llc","2 Folsom Street San Francisco Ca 94105 Usa Tel: 415-427-3344, 2 Folsom Street San Francisco Ca 9 4105 Usa Tel 415-427-3344 Fax 41 5-427-7006 94105","","Phone Numbers: 4154273344, 4154277006941 --- Emails: ","United States","323","New York/Newark Area, Newark, Nj, Los Angeles, Ca, Long Beach, Ca","Xiamen, Colombo Harbor, Singapore","640419, 611090, 640299","Mens Shoes Textile Upper Vegetable Fibe Outer Sole Rubber Plastic Open Toe Open Heels Without Foxing Grea Ter Than Weigh Ubber Plastics Tex Til Attached Outer Sole Wood Summary Summary, Girls Womens Shoes Cove Ring Ankle Upper Reater Than Rubber Plast Outer Sole Rubber Pla Stic Without Foxing Band Without Platform Wood Cork Mold Upper Plastic Metal Buckle Lining Polye Ster Textile Insole Polyester Textile Outerso Recycle Thermoplast Regular Thermoplas Tic Wood Cont Ainer Summary Msku Summary, Covered Bls Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Cbo Mens Shirts Cotton Pol Yester Spandex Eam Maliban Textiles Mahiyanganaya Pltd Wood Pkgs Salson Logistics Doremus Ave Newark Rating Salson","320","612148","Expeditors International Chicago, Expeditors International Of Washington Inc, Salson Logistics","849 Thomas Drive Bensenville Il 60106 Attn: Christina Pellegrino, 19701 Hamilton Ave Ste 100 Torrance Ca 90502 T:310-343-6200 F:310-225-3791, 888 Doremus Ave Newark Nj 07114 Rating Salson Com"
"Primark Us Corp","101 Arch St Suite 300 02110 Boston United States 1-0888050000, 101 Arch St Suite 300 02110 Boston United States 1-0888050000;, 101 Arch Street Suite 300 02110 Boston United States 1-0888050000","","Phone Numbers: 10888050000 --- Emails: ","United States","243","New York/Newark Area, Newark, Nj, New York/Newark","Yantian, Xiamen, Singapore","640419, 640610, 551332","Aluminium Iron Keyring Mens Plastic Upp Ers Base Wood Cork Foxing Lowers Cemente Only Footwear Textile Artificial Uppers Base Wood Cork Foxing Owers Cemented Footwear Boys Youths Textile Synthetic Upp Ers Base Wood Cork Foxi Lowers Cemented Nly Footwear Ladi Plastic Uppers Base Wood Cork Foxing Lower Cemente Only Footwear Girls Textile Synt Hetic Uppers Base Wood Cork Foxing Low Ers Emented Only Footwear Girls Textile Synthetic Uppers Base Wood Foxing Low Ers Cement Only Footwear Girls Textile Synthetic Uppe Base Wood Cork Foxing Low Ers Cemented Trainer Ladies Polyester Elastane Itted Bikini Top Ladies Polyester Elast Ane Knitted Swimming Briefs Ladies Textile Tificial Uppers Base Cork Foxing Ower Glued Only Footwear Girls Textile Artificia Uppers Base Wood Ork Foxing Wers Glued Only Footwear Rls Polyester Recycled Elastane Knitted Swimsuit Ladies Textile Rtificial Uppers Base Ood Cork Foxing Owe Glued Only Footwear Ladies Plastic Uppers Base Wood Cork Xing Lowers Glued Nly Footw Ear, Babies Cotton Knitted Bea Nie Hat Lastic Steel Necklace Plastic Steel Bracelet Iron Polyester Hair Claw Plastic Hair Elastics Pol Yurethane Coated Textile Visi Ble Plastic Polyester Rigid Headband Plastic Polyester Hai Elastics Lyester Plastic Headband Polyester Elastane Scrunchie Ladies Nylon Elastan Knitted Bra Lad Ies Polyamide Elastane Knitted Briefs Pvc Coated Textile Visibl Shoulder Irls Plastic Uppers Base Wood Cork Foxing Low Ers Glued Footwear Ladies Textile Synt Hetic Uppers Base Wood Cork Foxing Wers Emented Stitched Footwear Polyester Hand Polyeste Waist Make Brush Fda Ladies Polyamide Elastane Knitted Bra Ladies Polyamide Elastane Knitted Bra Ladies Polyamide Elastane Knitted Bra Dress Watch Text Metal Strap Watch Triple Blac Metal Watch Polyester Headwrap Ladies Nylon Itted Briefs Pore Remover Cuticle Nipper Fda Nail File Fda Pencil Sharpe Ner Tweezer Fda Nail Lippers Fda Cuticle Pusher Fda Nail Fda Ladies Polyamide Astane Knitted Bra False Nails Plastic Fda Lastic Sheeti, Babies Cotton Knitted Bri Efs Mens Cotton Knitted Boxer Shorts Mens Cotton Knitted Briefs Mens Cott Polyester Knitted Boxer Shorts Mens Cotton Astane Knitted Boxer Shorts Oys Cotton Knitted Briefs Boys Cotton Elastane Knitted Boxer Shorts Boys Cotton Polyester Elast Ane Knitted Boxer Shorts Girl Cotton Polyester Kni Tted Briefs Girls Cotton Elastane Knitted Boxer Shor Girls Plastic Uppers Ase Wood Cork Fox Ing Lowers Cement Only Foo Twear Girls Polyester Elastane Knitted Swimsuit Dies Cotton Knitted Brief Girls Cotton Knitted Riefs Boys Youths Plastic Upp Ers Base Wood Cork Foxing Lowers Mented Nly Footwear Ladies Polye Ster Elastane Knitted Biki Top Ladies Polyester Elastane Knitted Swimming Riefs Mens Polyester Elastane Knitted Boxer Shorts Girls Cotton Knitted Tan Top Girls Cotton Knitt Tank Top Undershirt Mens Modal Cotton Elastan Knitted Briefs Mens Textile Synthetic Uppers Base Wood Cork Foxing Wers Cemented Only Trainer Mens Polyester Woven Colour Warp Fillin Trousers Girls Plas","245","1503092","Damco Usa Inc, Geodis Usa","Vat: 22-2904364 180 Park Avenue Florham Park Nj07932 Co Reg : 2012001464Al +1 9735145000, Vat: 22-2904364 180 Park Avenue Florham Park Nj07932 Co Reg : 2012001464Al  9735145000, 180 Park Avenue Florham Park Nj07932 Vat:22-2904364; Co Reg:2012001464Al"
"Livingston International","6725 Airport Road Suite 101 Mississauga Ontario L4N 1V2 Email:Cdnimports@Livingstonintl Comph: 866 548-4685, 6725 Airport Road Suite 101 Mississauga Ontario L4N 1V2 Email:Cdnimports@Livingstonintl Comph#: 866 548-4685, 365 Canal Street Suite 1600 New Orleans La 701 30 70130 In","livingstonintl.comph","Phone Numbers: 8665484685, 7013070130 --- Emails: Cdnimports@Livingstonintl Comph","United States","242","Tacoma, Wa, Charleston, Sc","Kao Hsiung, Jawaharlal Nehru","620342, 611020, 620462","Garments Textile Fcr Destination Mww Warehouse Calgary Canada Readymade Garments Men Woven Shirt Cus Ssl Ssl Ina Exp Cargo Covered Fcr Mwwn Chittagong, Garments Textile Fcr Destination Mww Warehouse Calgary Canada Readymade Garments Brushed Double Collar Fooler Mens Double Collar Neck Knit Shirt Acedhfa Cat Rdl Exp Cargo Covered Fcr Mwwl, Garments Textile Fcr Destination Mww Warehouse Calgary Canada Readymade Garments Brushed Double Collar Fooler Mens Double Collar Neck Knit Shirt Acedhfa Cat Rdl Exp Cargo Covered Fcr Mwwl Size Should Sub","276","830901","Livingston International","6725 Airport Road Suite 101 Mississauga Ontario L4N 1V2 Email:Cdnimports@Livingstonintl Comph: 866 548-4685, 6725 Airport Road Suite 101 Mississauga Ontario L4N 1V2 Email:Cdnimports@Livingstonintl Comph#: 866 548-4685"
"Hayashi Telempu North America Corp","2025 Leestown Rd Suite G Lexington Ky 40511 Usa Attn:Mr Shawn Waddletel:859-258-2058, 2025 Leestown Rd Suite G Lexington Ky 40511 Usa Tel:859-258-2058, 2025 Leestown Rd Suite G Lexington Ky 40511 Usa Attn:Mr Shawn Waddletel:859-258-2058 Fax:859-258-2463","","Phone Numbers: 8592582058, 8592582463 --- Emails: ","United States","237","Los Angeles, Ca, Long Beach, Ca, Houston, Tx","Tokyo, Nagoya Ko, Simizu","590310, 590320","Textile Fabrics Impregnated Coated Covered Orlaminatedw Polyvinyl Chloride Mtk, Textile Fabrics Impregnated Coated Covered Orlaminatedw Polyurethane Mtk, Textile Fabrics Impregnated Coated Covered Orlaminatedw Polyurethane Mtk Textile Fabrics Impregnated Coated Covered Orlaminatedw Polyurethane Mtk","904","8850294","Horizon Intermodal Express Ltd, K Line Logistics Usa Inc, K Line Logistics","/O K Line Logistics Usa Inc At L Atlanta Office 4345 Internationalparkway Suite 101 Atlanta Ga 3035, Atlanta Office 4345 International Parkway Suite 101 Atlanta Ga 30354T El:+1-404-363-9000, 4345 International Parkway Suite 101 Atlanta Ga 30354 Tel:+1-404-363- 9000"
"The Gap Inc","2 Folsom Street San Francisco Ca 94105 Usa Tel: 415-427-3344, 2 Folsom Street San Francisco Ca 9 4105 Usa Tel 415-427-3344 Fax 41 5-427-7006 94105","","Phone Numbers: 4154273344, 4154277006941 --- Emails: ","United States","227","New York/Newark Area, Newark, Nj, Los Angeles, Ca, Long Beach, Ca","Xiamen, Colombo Harbor, Yantian","640419, 640520, 640590","Boys Mens Shoes Upper Textile Vegetable Fiber Outer Sole Rubber Plastic Open Toes Open Heels Without Foxing Band Greater Than Rubber Plastics Textile Attached Outer Sole Upper Textile Polyester Lining Synthetic Insole Textile Polyester Outersole Fabric Polyester Flocking Eva Wood Damco Distribution Stcarson Att David Johnson Covered Bls Cnal, Boys Mens Shoes Upper Textile Vegetable Fiber Outer Sole Rubber Plastic Open Toes Open Heels Without Foxing Band Greater Than Rubber Plastics Textile Attached Outer Sole Upper Textile Polyester Lining Synthetic Insole Textile Polyester Outersole Fabric Polyester Flocking Eva Wood Damco Distribution Stcarson Att David Johnson Covered Bls Cnal Ajl, Girls Womens Shoes Upper Xtile Vegetable Fib Outer Sole Rubber Plasti Foxing Band Textile Attached Outer Sole Upper Textile Lyester Zipper Metal Lining Textile Polyes Ter Collar Lining Insole Textile Polye Ster Outersole Textile Flocking Polyester Plastic Tpr Yle Wood Materia Summary Caiu Summary","222","442057","Salson Logistics, Expeditors International Chicago, Damco Distribution","888 Doremus Ave Newark Nj 07114 Rating Salson Com, 849 Thomas Drive Bensenville Il 60106 Attn: Christina Pellegrino, 1015 E 236Th St Carson Ca 90745 Att: David Johnson"
"Multipet International Inc","55 Madison Circle Dr East Rutherford Nj 07073 U S A Tel2014386600 Fax2014382990, 245 West Commercial Ave Moonachie Nj 07074 U S A Tel2014386600 Fax2014382990, 55 Madison Circle Dr East Rutherford Nj 07073 U S A Tel201438 6600 Fax201438 2990","","Phone Numbers: 2014386600, 2014382990 --- Emails: ","United States","197","New York/Newark Area, Newark, Nj","Shanghai, Pusan","630790, 591120, 391590","Other Textile Articles Pet Toys Jriese Anderinger Jfk Import Jfkimport Anderinger, Other Textile Articles Pet Toys Jriese Anderinger Jfkimport Anderinger Jfkimport Anderinger, Other Textile Articles Pet Toys Plush Dog Toys Jriese Anderinger Jfk Import","349","1204977","A N Deringer Inc, Mallory Alexander Intl Logistics Ny Llc, Mallory Alexander Intl Logistics N","11 E Hawthorne Ave Valley Stream Ny11580 Tel516-256-4780 Fax516-256-4781, 70 East Sunrise Highway Suite 402 Valley Stream Ny 11581 Tel516-256-4780 Fax516-256-4781, 11 E Hawthorne Ave Valley Stream Ny 11580 Tel 516-256-4780 Fax 516-256-4781"
