"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Welspun Global Brands Limited","","","Phone Numbers:  --- Emails: ","","600","Norfolk, Va, New York/Newark Area, Newark, Nj, Savannah, Ga","Jawaharlal Nehru, Mundra, Salalah","570339, 630260, 570330","Other Ups Textile Articles Toilet Linen Terry Towelling Fabrics Cotton Tax Psi Psi Wgs Import Clearance Welspun Destination Country Pkgs Welspun Usa Gantz Road Grove City Ohio Usa Phone, Carpet Other Textile Floor Covering Polyester Rugs Latex Back Tuffted Tax Psi Psi Wgs Import Clearance Welspun Destination Country Pkgs Welspun Usa Gantz Road Grove City Ohio Usa Phone, Carpet Other Textile Floor Covering Polyester Rugs Latex Back Tuffted Tax Psi Psi Wgs Import Clearance Welspun Second Welspun Usa Gantz Road Suite Grove City Ohio Usa Phone Above Destination Country Pkgs","2762","24089478","Welspun Usa Inc, American Shipping Company Inc, Christy Lifestyle Llc","3901 Gantz Road Suite A Grove City Ohio - 43123 Usa Phone : 2126202000, 250 Moonachie Road 5Th Floor Moonachie Nj 07074 Ph : 201-478-4600 / Fax :201-478-46, 3901 Gantz Road Suite A Grove City Ohio - 43123 Usa Phone 2126202000 Fax 2126962831 X"
"Nvh","","","Phone Numbers:  --- Emails: ","","477","Savannah, Ga, Los Angeles, Ca, Long Beach, Ca","Pusan","570190, 844400, 570232","Carpets Man Textile, Carpet Man Textile Other Meterial, Carpets Manmade Textile","483","5341097","Afs America, Star Cluster Usa Atl","4825 Cargo Drive Columbus Ga 31907 U S A Tel:706 568-6068, 1835 Shackleford Ct Suite 110 Norcross Ga 30093 U S A Tel:404-765-0075 Fax:404-765-0073, 4825 Cargo Drive Columbus Ga 31907 U S A Tel:706 568-6068 Fax:706 568-6069"
"Kyowa Leather Cloth Co Ltd","","","Phone Numbers:  --- Emails: ","","257","Los Angeles, Ca, Long Beach, Ca, Houston, Tx","Tokyo, Nagoya Ko, Simizu","590310, 590320","Textile Fabrics Impregnated Coated Covered Orlaminatedw Polyvinyl Chloride Mtk, Textile Fabrics Impregnated Coated Covered Orlaminatedw Polyurethane Mtk, Textile Fabrics Impregnated Coated Covered Orlaminatedw Polyurethane Mtk Textile Fabrics Impregnated Coated Covered Orlaminatedw Polyurethane Mtk","924","8912471","Horizon Intermodal Express Ltd, Toyota Tsusho America Inc, K Line Logistics Usa Inc","/O K Line Logistics Usa Inc At L Atlanta Office 4345 Internationalparkway Suite 101 Atlanta Ga 3035, Atlanta Office 4345 International Parkway Suite 101 Atlanta Ga 30354T El:+1-404-363-9000, 4345 International Parkway Suite 101 Atlanta Ga 30354 Tel:+1-404-363- 9000"
"Nafa Apparels Ltd","","","Phone Numbers:  --- Emails: ","","173","Tacoma, Wa, Los Angeles, Ca","Kao Hsiung, Kajang, Singapore","610910, 610462, 611020","Garments Textile Fcr Fcr Tee Girls Tee Upc Nafa Exp Pal Jma, Garments Textile Fcr Fcr Tee Ladies Tee Upc Nafa Exp Pal Jma, Garments Textile Fcr Fcr Tee Boys Tee Upc Nafa Exp Pal Jma","173","151680","Loblaws Inc, Jfs Inc","Loblaw Customs Compliance & Global Trade 1 Presidents Choice Circle Brampton On L6Y 5S5 Canada Phn: 905-459-2500 Fax:888-970-0808, 50 Maplehurst Dr Brownsburg In 46112 Usa Attn: Heather Crofts@Joefresh Com, Loblaw Customs Compliance & Global Trade 1 Presidents Choice Circle Brampton On L6Y 5S5 Canada Phone: 905-4592500 Fax: 8889700808"
"Ningbo Changqing Home Decor Co Ltd","","","Phone Numbers:  --- Emails: ","","154","Norfolk, Va, Los Angeles, Ca, Long Beach, Ca","Ningpo, Xiamen","701391, 701890, 853230","Art Flag Art Flag Art Flag Aluminium Pole Glass Decor Ceramic Ware Doormat Rubber Mat Ceramic Ware Metal Stand Metal Pole Metal Display Glass Basin Glass Bottle Glass Lamp Balloon Spinner Paper Napkin Textile Decor Embroider Flag, Art Flag Art Flag Art Flag Ceramic Ware Christmas Decoration Doormat Embroider Flag Glass Cup Glass Lamp Metal Display Metal Display Metal Hook Metal Pole Metal Stand Paper Napkin Pillow Rubber Mat Textile Decor Wall Art Art Flag Ceramic Ware Christmas Decoration Doormat Embroider Flag Glass Cup Glass Lamp Metal Display Metal Display Metal Hook Metal Pole Metal Stand Paper Napkin Pillow Rubber Mat Textile Decor Wall Art, Art Flag Art Flag Art Flag Metal Pole Metal Display Rubber Mat Wall Art Textile Decor Embroider Flag Doormat Mailbox Cover Plastic Pallet","741","6113410","Evergreen Enterprises Of Virginia Llc, Evergreen Enterprises","5915 Midlothian Turnpike Richmond Virginia 23225 Usa Tel: +1 804 231-1800@@, Of Virginia L 5915 Midlothian Turnpike Richmond Virginia 23225 Usa Tel 1 804 23 1-1800 23225, 5915 Midlothian Turnpike Richmond Virginia 23225 Usa Tel:  804 231-1800@@"
"Apl Logistics India Pvt Ltd","","","Phone Numbers:  --- Emails: ","","150","New York/Newark Area, Newark, Nj, New York/Newark","Mundra, Jawaharlal Nehru, Salalah","940490, 630391, 570299","Apll House Wears Items Mar Cod Babies Purse Mar Radiant Exports Baby Blanket Kids Mar Baby Blanket Kids Mar Babies Purse Kerchief Mar Babies Purse Kerchief Mar Home Textile Ups Mar Disha Eations Home Textile Ups Mar Home Textile Ups Mar Home Textile Ups Mar Home Textile Ups Mar Handicrafts Items Mar Ven Impex Home Textile Ups Mar Disha Eations Home Textile Ups Mar Handicrafts Items Mar Ode Supras International Home Textile Ups Mar Disha Eations Handicrafts Items Mar Ven Impex Handicrafts Items Mar Ladies Top Mar Rag Trade India Pvt Handicrafts Items Mar Ven Impex Handicrafts Items Mar Basket Mar Shi Pper Raj Overseas Basket Mar Ladies Top Mar Rag Trade India Pvt Handicrafts Items Mar Gargsons Exports Ladies Trouser Mar Contemporary Clas Sique Articles Stone Mar Stonemen Crafts Indi Pvt Powerloom Madeups Mar Radiant Expor Powerloom Madeups Mar Ladies Maxi Mar Crazy Mod Handicrafts Items Mar Ode Goel Xports Red Roses Inte Rnational Apll Babies Pur Mar Rad Iant Exports Apll Baby Blanket K, Articals Brass Glass Artwares Home Textiles Exp Fabric Covered Notebook Home Textiles Exp Ladies Leather Belt Ladies Leather Belt Cotton Ups Items Ladies Leather Cotton Acrylic Woven Pillow Polyester Filling Ladies Knit Embellised Gown Nylon Woven Slip Silk Leather Polyester Knitted Embd Ladies Readymade Garments Polyester Interlock Lining Knitted Garments Noida Polyester Knitted Embd Ladies Readymade Garments Polyester Interlock Lining Knitted Garments Noida Leather Handbags Home Textiles Exp Home Textiles Exp, Articles Steel Aluminium Zsmd Ladies Leather Ladies Leather Home Textiles Cotton Metalic Woven Dish Towel Exp Home Textiles Emb Indigo Lyocell Linen Polyester Exp Cotton Woven Potholder Apron Cotton Woven Ovenmitten Cotton Plain Woven Placemat Lds Woven Apron Cotton Handicrafts Glass Brass Mdf Leather Ladies Hand Bags Ladies Leather Hand Bags Cotton Fabric Aic Home Textiles Cotton Metalic Woven Dish Towel Exp Articles Steel Aluminium Zsmd Pkgs","153","1518008","Geodis, Ua India Sourcing, Geodis Usa Inc","The Navy Yard 5101 S Broad St Philadelphia Pa 19112-1404, 209 Okhla Industrial Estate Phase -3 New Delhi Pin - 110020 India Attn: Shipping Department, The Navy Yard 5101 S Broad St Philadelphia Pa 19112-1404 A Vicky Stankiewicz"
"Damco China Limited Shenzhen Branch","","","Phone Numbers:  --- Emails: ","","142","New York/Newark Area, Newark, Nj, Los Angeles, Ca, New York/Newark","Yantian, Algeciras, Anvers","640419, 551332, 600622","Babies Cotton Knitted Bea Nie Hat Lastic Steel Necklace Plastic Steel Bracelet Iron Polyester Hair Claw Plastic Hair Elastics Pol Yurethane Coated Textile Visi Ble Plastic Polyester Rigid Headband Plastic Polyester Hai Elastics Lyester Plastic Headband Polyester Elastane Scrunchie Ladies Nylon Elastan Knitted Bra Lad Ies Polyamide Elastane Knitted Briefs Pvc Coated Textile Visibl Shoulder Irls Plastic Uppers Base Wood Cork Foxing Low Ers Glued Footwear Ladies Textile Synt Hetic Uppers Base Wood Cork Foxing Wers Emented Stitched Footwear Polyester Hand Polyeste Waist Make Brush Fda Ladies Polyamide Elastane Knitted Bra Ladies Polyamide Elastane Knitted Bra Ladies Polyamide Elastane Knitted Bra Dress Watch Text Metal Strap Watch Triple Blac Metal Watch Polyester Headwrap Ladies Nylon Itted Briefs Pore Remover Cuticle Nipper Fda Nail File Fda Pencil Sharpe Ner Tweezer Fda Nail Lippers Fda Cuticle Pusher Fda Nail Fda Ladies Polyamide Astane Knitted Bra False Nails Plastic Fda Lastic Sheeti, Babies Cotton Knitted Leg Gings Babies Cotton Knitted Bodysuit Babies Cotton Kni Tted Pullover Mak Brush Fda Face Cleansing Pad Fda Exfoliating Glove Fda Sponge Fda Nail File Fda Manicure Sticks Fda Cosmetic Sponge Fda Razor Fda Mascara Brush Twe Ezer Fda Massager Fda Eyelash Curler Body Tape Fda Scissors Fda Babies Ubber Uppers Base Wood Cork Foxing Lowers Titch Without Welt Footw Ear Polyester Iron Plastic Hair Cli Polyurethan Coated Textile Visible Plastic Iron Keyring Plastic Headband Plastic Hai Elastics Lastane Hair Elastics Ladies Polyamide Elastane Knitted Bra Nail File Fda Cuticle Nipper Fda Ail Clippers Fda Manicure Pedicure Fda Nail Clipper Nail File Scissors Tweezer Cuticle Sher Pencil Sharpener Pore Remover Mirror Toy Ladies Polyami Elastane Knitted Bra Ladies Polyamid Elastane Knitted Bra Drinks Bottle Fda, Babies Cotton Knitted Pul Lover Babies Cotton Knitted Bib Babies Cotton Knitted Shorts Pvc Oated Textile Visible Wallet Polyester Ack Pack Pla Stic Sheeting Reinforced Wai Polyes Ter Cotton Viscose Shou Lder Pla Stic Sheeting Reinforced Make Pvc Coated Textile Visible Waist Clothes Hanger Clothes Anger Plastic Bas Ket Iron Plastic Hair Clip Polyester Headwrap Ladies Polyamide Elastane Knitted Briefs Ladies Polyamide Elastane Knitted Bra Iron Zinc Polyethylene Hair Clip Polyester Zinc Rubber Soft Headband Hair Brush Fda Plastic Nylon Hair Curler Plastic Iron Hair Law Polyester Rubber Soft Hair Elasti Plastic Air Elastics Steel Hair Clip Ladies Nylon Elastane Knitted Briefs Lse Nails Plastic Fda Girls Plas Tic Uppers Base Wood Cork Foxing Lowers Cemen Ted Only Footwear Girls Plastic Uppers Wood Cork Foxing Lowers Cemented Only Footwe Girls Textile Synthetic Uppers Base Wood Cork Foxing Low Ers Cemented Only Footwear","142","803411","Damco Usa Inc, Carmichael International Service, Geodis Usa","Vat: 22-2904364 180 Park Avenue Florham Park Nj07932 Co Reg : 2012001464Al +1 9735145000, Vat: 22-2904364 180 Park Avenue Florham Park Nj07932 Co Reg : 2012001464Al  9735145000, 5101 S Broad Street The Navy Yard Philadelphia Pa 19112 Us 1-267-570-2784"
"Power Rich United Fujian Group","","","Phone Numbers:  --- Emails: ","","134","Los Angeles, Ca, New York/Newark Area, Newark, Nj, Long Beach, Ca","Xiamen, Shanghai","640419, 640299, 640590","Girls Womens Shoes Cove Ring Ankle Upper Reater Than Rubber Plast Outer Sole Rubber Pla Stic Without Foxing Band Without Platform Wood Cork Mold Upper Plastic Metal Buckle Lining Polye Ster Textile Insole Polyester Textile Outerso Recycle Thermoplast Regular Thermoplas Tic Wood Cont Ainer Summary Msku Summary, Girls Womens Shoes Upper Textile Vegetable Fib Outer Sole Rubber Pla Stic Exclusively Adhesiv Construction Without Xing Band Textile Tached Outer Sole Upper Polyester Recycl Faux Suede Plastic Lining Polyester Nylon Plastic Insole Polyester Nylo Outersole Polyeste Flocking Fabric Flocking Recycle Thermoplast Regular Thermoplastic Boot Above Ankle Xing Wood Con Tainer Summary Msku Summary, Girls Womens Shoes Upper Xtile Vegetable Fib Outer Sole Rubber Plasti Foxing Band Textile Attached Outer Sole Upper Textile Lyester Zipper Metal Lining Textile Polyes Ter Collar Lining Insole Textile Polye Ster Outersole Textile Flocking Polyester Plastic Tpr Yle Wood Materia Summary Caiu Summary","132","291185","Damco Distribution, Salson Logistics","1015 E 236Th St Carson Ca 90745 Att: David Johnson, 888 Doremus Ave Newark Nj 07114 Rating Salson Com"
"Alfa Elyaf Ve Geri Donusum San Ve Tic Ltd","","","Phone Numbers:  --- Emails: ","","133","Savannah, Ga, New York/Newark Area, Newark, Nj, Norfolk, Va","Adana, Piraieus, Genoa","530390, 830590, 520291","Textile Waste Denim Shoddy, Textile Waste Denim Clips, Textile Waste Denim Shoddy Textile Waste Denim Shoddy","486","4740707","Fedex Trade Networks, Alfa Elyaf Ve Geri Donusum San Ve Tic Ltd","845 Claycraft Road Ste B Columbus Ohio 43230 Import Dept Ms Marchon Hughes Ph 614-322-2250 Fx 614-322-2254, 6001 Chatham Center Drive Suite 360 Savannah Ga 31405 Usa Email Mandy_Coueyftn Fedex Com Bpaftn Fedex Com, Sti Turgut Reis Mh Istiklal Cd No 11/A Adiyaman Turkey Ph  532 437 3111"
"Funing Jincheng Home Textile Co Ltd","","","Phone Numbers:  --- Emails: ","","121","New York/Newark Area, Newark, Nj, Jacksonville, Fl, Los Angeles, Ca","Shanghai","630790","Other Textile Articles Pillow Shell, Other Textile Articles Pillow Shell Development Zone China, Other Textile Articles Pillow Shell Pillow Shell","173","1980352","American Textile Company","10 North Linden Street Duquesne Pa 15110 United States, 10 North Linden Street Duquesne Pa 15110 United States Tel 412-948-1076"
