"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Nv Soliver","Groene Herderstraat 18 Roeselare Belgium Zip Code: B-68000 Tax Id: Be-0402754787, Groene Herderstraat 18 Roeselare Belgium Zip Code: B-68000Tax Id: Be-0402754787, Groene Herderstraat 18 Roeselare Belgium Zip Code: B-68000 Tax Id: Be-0402754787 Erik","","Phone Numbers: 0402754787 --- Emails: ","United States","339","Houston, Tx, Mobile, Al, Tampa, Fl","Tampico","700521, 700529, 700530","Green Float Glass Green Float Glass End Cap Wood Cristal Flotado Tintex Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Verde Tipo Float Mexico Volume, Clear Float Glass Clear Float Glass End Cap Wood Cristal Flotado Claro Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Incolor Tipo Float Mexico Volume, Dark Green Light Float Glass Dark Green Light Float Glass End Cap Wood Cristal Flotado Tintex Plus Light Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Verde Tipo Float Mexico Volume","650","10066634","Nv Soliver, Ziegler Nv","Groene Herderstraat 18 Roeselare Belgium Zip Code: B-68000 Tax Id: Be-0402754787, Groene Herderstraat 18 Roeselare Belgium Zip Code: B-68000Tax Id: Be-0402754787, Klipperstraat 15 2030 Antwerp En Belgium Tax Id / Vat : Be 0403 480 507"
"Asia Shipping Transportes Internaci","R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone: +55 13 2101-7770, Cnpj: 01137526000180 Rua Alexandre Herculano 197 13 And Gonzaga Santos Sp Brazil","","Phone Numbers: +551321017770, 01137526000180 --- Emails: ","United States","211","Houston, Tx, New Orleans, La","Veracruz","760200, 391740","Aluminum Beverage Scrap Ubc Ncm Wood Applicable, Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable, Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable","887","9866027","Asia Shipping Transportes Internaci","R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone: +55 13 2101-7770, Cnpj: 01137526000180 Rua Alexandre Herculano 197 13 And Gonzaga Santos Sp Brazil"
"Baltek Inc","5240 National Center Drive Colfax Nc 27235 Usa Phone 1 336 398 1900 Colfax Nc27235 Us, 5240 National Center Drive Colfax Nc 27235 Usa Phone 1 336 398 1900 Colfaxnc27235 Us, 5240 National Center Drive Colfax Nc 27235 Usa Phone 1 336 398 1900 Colfax Nc27235Us","","Phone Numbers: 13363981900 --- Emails: ","United States","189","Norfolk, Va, New York, Ny, Houston, Tx","Puerto Manzanillo","442199, 480269","Balsa Wood Kilndried Secada Horno Glued Encolada Eight Dae Bft Ncm, Balsa Wood Kilndried Secada Horno Glued Encolada Dae Panels Bft Ncm, Balsa Wood Kilndried Secada Horno Glued Special Encolada Tota Wei Ght Dae Panels Bft Ncm","189","1600981","",""
"Asia Shipping Transportes Interna","R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone: +55 13 2101-7770, R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone:  13 2101-7770, Cnpj: 01137526000180 Rua Alexandre Herculano 197 13 And Gonzaga Santos Sp Brazil","","Phone Numbers: +551321017770, 1321017770, 01137526000180 --- Emails: ","United States","95","Houston, Tx","Veracruz","760200, 401100, 440130","Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable, Aluminum Beverage Scrap Ubc Ncm Wood Applicable, Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable","334","3500998","Asia Shipping Transportes Interna","R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone: +55 13 2101-7770, R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone:  13 2101-7770, Cnpj: 01137526000180 Rua Alexandre Herculano 197 13 And Gonzaga Santos Sp Brazil"
"John Deere Brasil Ltda","Catal O Quadra 11 Eixo 3 Lote 00 Catal O Dmic Gobr 75709-685 Cnpj 89674782001049, Catal O Quadra 11 Eixo 3 Lote 00 Catal O Dmic Gobr 75709-685 Tax Id 89674782001049, Catalo Quadra 11 Eixo 3 Lote 00 Catalo Dmic Gobr 75709-685 Tax Id 89674782001049","","Phone Numbers: 89674782001049, 89674782001472, 00104975701970 --- Emails: ","United States","51","Houston, Tx, New Orleans, La","Tampico","252230, 440399, 441700","Hydraulic Cylinder Wood Declaration Treated Certified Ncm Units Hydraulic Cylinder, Hydraulic Cylinder Wood Declaration Treated Certified Ncm Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder, Hydraulic Cylinder Wood Declaration Treated Certified Ncm Hydraulic Cylinder","51","373658","Panalpina Ltda","Pra A Antonio Telles 12 - 10 Andar Salas 101 A 108 - Centro Santos Brazil 37810-000, Pra A Antonio Telles 12 - 10 Andar Salas 101 A 108 - Centro Santos Cnpj 49 728 108/0002-75 Brazil 37810-000, Av Cristovao Colombo 2360/ 401 90560-002-Porto Alegre-Rs/Brasil A/C Marco Serpa 51 2149-4937 Cnpj49 728 108/0005-18"
"Hardwoods Specialty Products Us Lp","17618 Harvill Avenue Perris Ca 92570 Usa Tel: 951-653-9400, 17618 Harvill Avenue Perris Ca 92570 Usa Tel:951-653-9400 Fax:951-653-9444, 17618 Harvill Avenue Perris Ca 92570 Usa Tel: 951-653-9400 Fax: 951-653-9444","","Phone Numbers: 9516539400, 9516539444 --- Emails: ","United States","30","Los Angeles, Ca, Long Beach, Ca","Lazaro Cardenas","441232","Birch Plywood Composite Woo Appearing Identified Descriptions Carb Tsca Ust Comply Evironment Protection Agency Tsc Title Standards Reduc Formaldehyde Emissions From Composite Wood, Birc Plywood Beau Omposite Wood Appea Ring Identified Descriptions Tsca Must Comply Evironmental Protection Agency Tsca Title Sta Ndards Reduce Formaldehyd Emissions From Composite Ood, Birc Plywood Composite Wood Oducts Appearing Identified Descriptions Carb Tsca Mus Comply Evironment Protection Agency Tsca Title Standards Reduce Formaldehyde Emissions Composite Wood","62","828575","John M Brining Co Inc","202 Congress Street Mobile Al 36603 Tel: 251-432-9741 Fax: 251-432-2029, 202 Congress Street Mobile Al 36603 Tel: 251-432-9741, 202 Congress Street Mobile Al 3660 Tel: 251-432-9741 Fax: 251-432-2029Attn: Jackie Griffin"
"Deanson International Co Ltd","No 51 Jing 2Rd Wuqi Dist Taichung City 435 Taiwan R O C Tel 886 -4-26595075 Uniform Invoice Number 80706922, No 51 Jing 2Rd Wuqi Dist Taichung City 435 Taiwan R O C Tel 886 -4-26595075, No 51 Jing 2Rd Wuqi Dist Taichung City 435 Taiwan R O C Tel: 886 -4-26595075","","Phone Numbers: 886426595075 --- Emails: ","United States","26","Houston, Tx","Tampico","320611, 320619","Titanium Dioxide Titanium Dioxide That Pure Titanium Dioxide Board Board Ocean Vessel Tolten Port Loading Altamira Mexico Aaab Shipping Mark Taichung Taiwan Wood Marked Ippc Drawn Under Documentary Credit Aaab Mega International Commercial Bank San Chung Branch Vendor Frame Work Tax, Titanium Dioxide Titanium Dioxide That Pure Titanium Dioxide Board Vessel Canada Port Loading Altamira Mexico Wood Marked Ippc Aaab Shipping Mark Taichung Taiwan Board Ocean Vendor Frame Work Tax, Titanium Dioxide Pure Titanium Dioxide Board Board Ocean Vessel London Port Loading Altamira Mexico Aaab Shipping Mark Taichung Taiwan Wood Marked Ippc Drawn Under Documentary Credit Aaab Mega International Commercial Bank San Chung Branch Vendor Frame Work Tax Titanium Dioxide","182","2723440","Deanson International Co Ltd","No 51 Jing 2Rd Wuqi Dist Taichung City 435 Taiwan R O C Tel 886 -4-26595075 Uniform Invoice Number 80706922, No 51 Jing 2Rd Wuqi Dist Taichung City 435 Taiwan R O C Tel 886 -4-26595075, No 51 Jing 2Rd Wuqi Dist Taichung City 435 Taiwan R O C Tel: 886 -4-26595075"
"Vitro Panama","Calle 12 Rio Abajo Detras Del Edificio Torres Del Rios Local 1 Telefono 507 224-3625 O Fax 507 221-5402 Contacto Rosa Rosas, Calle 12 Rio Abajo Detras Del Edificio Torres Del Rios Local 1 Telefono 507 224-3625 O Fax 507","","Phone Numbers: 5072243625, 5072215402 --- Emails: ","United States","20","Houston, Tx, San Juan, Puerto Rico","Tampico","700529, 700521","Clear Float Glass Clear Float Glass Cms Clear Float Glass End Cap Wood Cristal Flotado Claro Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Incolor Tipo Float Mexico Volume Clear Float Glass Clear Float Glass Cms, Clear Float Glass Clear Float Glass End Cap Wood Cristal Flotado Claro Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Incolor Tipo Float Mexico Volume, Clear Float Glass Clear Float Glass Clear Float Glass Clear Float Glass Cms Clear Float Glass Clear Float Glass Clear Float Glass End Cap Wood Cristal Flotado Claro Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Incolor Tipo Float Mexico Volume","99","1624987","Vitro Panama","Calle 12 Rio Abajo Detras Del Edificio Torres Del Rios Local 1 Telefono 507 224-3625 O Fax 507 221-5402 Contacto Rosa Rosas, Calle 12 Rio Abajo Detras Del Edificio Torres Del Rios Local 1 Telefono 507 224-3625 O Fax 507"
"New Fashion World Corportation","Po Box 51494 Toa Baja Pr 00950 Tax Id 66-0781066 San Juan Puerto Rico Phone 787-795-4900, Po Box 51494 Toa Baja Pr 00950 San Juan Puerto Rico Phone 787-795-4900","","Phone Numbers: 7877954900 --- Emails: ","United States","17","San Juan, Puerto Rico","Puerto Manzanillo","950510, 940179, 940180","Metal Outdoor Furniture Country China Hereby Certifying That There Solid Wood, Alfombras Ropa Mesa Xmas Ornaments Ceramic Kitchen Ware Cotton Table Clothing Drinking Glass Hereby Certifying That There Solid Wood Shipmentcountry China Indica, Articulos Natacion Decoracion Xmas Ornaments Swimming Pools Hereby Certifyng That There Solid Wood Country China","19","185941","New Fashion World Corportation, New Fashion World Corp","Po Box 51494 Toa Baja Pr 00950 Tax Id 66-0781066 San Juan Puerto Rico Phone 787-795-4900, Po Box 21494 Toa Baja Pr 00950 San Juan Puerto Rico Phone; 787-795-4900"
"Volvo Logistics Terminal","Terminalvagen Arendal Ark Volvo Packaging Gothenburg 405 08 Sweden Ctc Group Administrationvlc Tax Id Se556365974601, Terminalvagen Arendal Ark Volvo Packaging Gothenburg 405 08 Sweden Tax Id Se556365374601, Terminalvagen Arendal Ark Volvo Packaging Gothenburg 405 08 Sweden Contact Ingrid Gustavsson Telephone 46 313378234","","Phone Numbers: 556365974601, 556365374601, 46313236468 --- Emails: ","United States","17","Houston, Tx","Veracruz","441293, 440500, 441520","Frame Wood Lid Plywood, Automotive Bundle Pallet Wood Bundles Bundle Frame Wood Bundles Bundle Spacer Wood Fibre Bundles Bundle Fixing Spacer Plastic Bundles, Bundle Bundle Wood Bundles Frame Wood Bundle Lid Plywoodbundle Pallet Wood Bundle Lid Plywoodbundle Frame Wood Bundle Lid Plywoodbundle Frame Wood Bundle Lid Plywood","58","416881","Volvo Logistics Terminal, Volvo Logistics Terminal Terminalvagen Arendal Ark Volvo Packaging Gothenburg","405 08 Sweden Ctc Group Administrationvlc Tax Id Se556365974601, Terminalvagen Arendal Ark Volvo Packaging Gothenburg 405 08 Sweden Tax Id Se556365374601, 405 08 Sweden Tax Id Se556365974601 Ctc Group Administrationvlcdeepseaimpor"
