"Supplier Name","Top Addresses","Supplier Websites","Supplier Contact Info","Supplier Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"K Ab K Ub Sa De Cv","Calle Montecito 38 Piso 14 C P 03810 Ciudad De Mexico Mexico, 38 Piso 14 Calle Montecito Ciudad De Mexico 03810, Calle Montecito 38 Piso 14 Oficina 03810 Alcaldia Benito Juarez Ciudad De Mexico Mexico","","Phone Numbers:  --- Emails: ","Mexico","303","Houston, Tx, New Orleans, La","Veracruz","760200, 440130","Aluminum Beverage Scrap Ubc Ncm Wood Applicable, Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable, Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable Aluminum Beverage Scrap Ubc Ncm Wood Applicable","1216","13325792","Asia Shipping Transportes Internaci, Asia Shipping Transportes Interna","R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone: +55 13 2101-7770, R Alexandre Herculano 197 - 13 And Santos - Sp - Brazil Cep: 11050-030Phone:  13 2101-7770"
"Vitro Sab De Cv","Keramos Poniente 225 Colonia Del Prado Monterrey Nuevo Le N Cp 64410 Rfc: Vit800328Hb5, Keramos Poniente 225 Colonia Del Prado Monterrey Nuevo Le N Cp 64410, Keramos Poniente 225 Colonia Del Prado Monterrey Nuevo Le N Cp 64410 Rfc:","","Phone Numbers:  --- Emails: ","Mexico","224","Houston, Tx, Mobile, Al, Tampa, Fl","Tampico","700521, 700529, 392330","Green Float Glass Green Float Glass End Cap Wood Cristal Flotado Tintex Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Verde Tipo Float Mexico Volume, Clear Float Glass Clear Float Glass End Cap Wood Cristal Flotado Claro Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Incolor Tipo Float Mexico Volume, Clear Float Glass Dry Clear Float Glass End Caps Wood Cristal Flotado Claro Cajas Madera End Cap Vidrio Flotado Laminas Polido Las Dos Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Incolortipo Float Mexico Volume","464","7196127","Nv Soliver, Ziegler Nv, Cristales Y Vidrios Del Per Usa","Groene Herderstraat 18 Roeselare Belgium Zip Code: B-68000 Tax Id: Be-0402754787, Klipperstraat 15 2030 Antwerp En Belgium Tax Id / Vat : Be 0403 480 507, Groene Herderstraat 18 Roeselare Belgium Zip Code: B-68000Tax Id: Be-0402754787"
"Plantaciones De Balsa Plantabal S A","Junin 114 Y Malecon Edif Torres Delguayaquil Ec Guayaquil Ec, Junin 114 Y Maleconedif Torres Del Guayaquil Ec Guayaquil Ec, Junin 114 Y Malecon Edif Torres Delguayaquilec Guayaquil Ec","","Phone Numbers:  --- Emails: ","Mexico","186","Norfolk, Va, New York, Ny, Houston, Tx","Puerto Manzanillo","442199, 480269","Balsa Wood Kilndried Secada Horno Glued Encolada Eight Dae Bft Ncm, Balsa Wood Kilndried Secada Horno Glued Encolada Dae Panels Bft Ncm, Balsa Wood Kilndried Secada Horno Glued Encolada Panels Bft Ncm","186","1575157","",""
"Vimexico S A De C V","Keramos 225 Colonia Del Prado Monterrey N L Mexico C P 64410 Rfc: Vim061018Pwa, Keramos 225 Colonia Del Prado Monterey N L Mexico C P 64410 Rfc Vim061018Pwa Contacto Martin Llanas","","Phone Numbers:  --- Emails: ","Mexico","118","Houston, Tx","Tampico","700521, 700529","Clear Float Glass Clear Float Glass End Cap Wood Cristal Flotado Claro Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Incolor Tipo Float Mexico Volume, Green Float Glass Green Float Glass End Cap Wood Cristal Flotado Tintex Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Verde Tipo Float Mexico Volume, Dark Green Light Float Glass Dark Green Light Float Glass End Cap Wood Cristal Flotado Tintex Plus Light Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Verde Tipo Float Mexico Volume","223","3539508","Nv Soliver, Fairis C A, Soliver Nv","Groene Herderstraat 18 Roeselare Belgium Zip Code: B-68000Tax Id: Be-0402754787, Groene Herderstraat 18 Roeselare Belgium Zip Code: B-68000 Tax Id: Be-0402754787, Groene Herderstraat 18 Belgium Zip Code: B-68000 Tax Id: Be-0402754787"
"Chemours International Operations","Sarl 2 Chemin Du Pavillon 1218 Le Grand Saconnex Geneve Switzerland Vat Number Che178482683Tva, Sarl 2 Chemin Du Pavillon 1218 Le Grand-Saconnex, Sarl 2 Chemin Du Pavillon 1218 Le Grand-Saconnex Geneve","","Phone Numbers:  --- Emails: ","Mexico","44","Houston, Tx","Tampico","320611, 320619, 261400","Titanium Dioxide Titanium Dioxide That Pure Titanium Dioxide Board Board Ocean Vessel Tolten Port Loading Altamira Mexico Aaab Shipping Mark Taichung Taiwan Wood Marked Ippc Drawn Under Documentary Credit Aaab Mega International Commercial Bank San Chung Branch Vendor Frame Work Tax, Titanium Dioxide Titanium Dioxide That Pure Titanium Dioxide Board Vessel Canada Port Loading Altamira Mexico Wood Marked Ippc Aaab Shipping Mark Taichung Taiwan Board Ocean Vendor Frame Work Tax, Titanium Dioxide Pure Titanium Dioxide Board Board Ocean Vessel London Port Loading Altamira Mexico Aaab Shipping Mark Taichung Taiwan Wood Marked Ippc Drawn Under Documentary Credit Aaab Mega International Commercial Bank San Chung Branch Vendor Frame Work Tax Titanium Dioxide","270","4036030","Deanson International Co Ltd, The Chemours Chemical Shanghai Co Ltd, Dongguan Yongzhu Chemistry Co Ltd","No 51 Jing 2Rd Wuqi Dist Taichung City 435 Taiwan R O C Tel 886 -4-26595075 Uniform Invoice Number 80706922, Room 526 5/F Building No 1 No 239 Gang Ao Road China Shanghai Pilot Free Trade Zone Shanghai Prc T 862126120836 Attn Zonghua Wang, No 51 Jing 2Rd Wuqi Dist Taichung City 435 Taiwan R O C Tel 886 -4-26595075"
"John Deere Mexico Sarl Boulevard Diaz Ordaz","No 500 Interior B Col La Leona San Pedro Garza Garcia Nl Mexico C P 66210 Tax Id 20112443887, No 500 Interior B Col La Leona San Pedro Garza Garcia Nl Mexico C P 66210 Rfc 20112443887","","Phone Numbers: 20112443887 --- Emails: ","Mexico","41","Houston, Tx, New Orleans, La","Tampico","252230, 440399, 841221","Hydraulic Cylinder Wood Declaration Treated Certified Ncm Units Hydraulic Cylinder, Hydraulic Cylinder Wood Declaration Treated Certified Ncm Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder, Hydraulic Cylinder Wood Declaration Treated Certified Ncm Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder Units Hydraulic Cylinder","41","311198","Panalpina Ltda","Pra A Antonio Telles 12 - 10 Andar Salas 101 A 108 - Centro Santos Brazil 37810-000, Pra A Antonio Telles 12 - 10 Andar Salas 101 A 108 - Centro Santos Cnpj 49 728 108/0002-75 Brazil 37810-000, Pra A Antonio Telles 12 - 10 Andar Salas 101 A 108 - Centro Santos Brazil 37810-000 Cnpj 49 728 108/0002-75"
"Vidrio Plano De Mexico Sa De Cv","Carr A Villa De Garcia Km 10 Sn Centro Villa De Garcia Casco Garcia Nl Mexico Codigo Postal, Carr A Villa De Garcia Km 10 Sn Centro Villa De Garcia Casco Garcia Nl Mexico Codigo Postal 66000 Tel 5281 83293600, Carr A Villa De Garcia Km 10 Sn Centro Villa De Garcia Casco Garcia Nl Mexico Codigo Postal 66000 Rfc Vpm5507058M9","","Phone Numbers: 528183293600 --- Emails: ","Mexico","32","Houston, Tx","Tampico","700529, 700521, 700530","Dark Green Light Float Glass Dark Green Light Float Glass End Cap Wood Cristal Flotado Tintex Plus Light Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Verde Tipo Float Mexico Volume, Clear Float Glass Clear Float Glass End Cap Wood Cristal Flotado Claro Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Incolor Tipo Float Mexico Volume, Clear Float Glass Clear Float Glass Cms Clear Float Glass End Cap Wood Cristal Flotado Claro Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Incolor Tipo Float Mexico Volume Clear Float Glass Clear Float Glass Cms","142","2285258","Vitro Panama, Ziegler Nv, Corporacion Miyasato S A","Calle 12 Rio Abajo Detras Del Edificio Torres Del Rios Local 1 Telefono 507 224-3625 O Fax 507 221-5402 Contacto Rosa Rosas, Klipperstraat 15 2030 Antwerp En Belgium Tax Id / Vat : Be 0403 480 507, Klipperstraat 15 2030 Antwerp En Belgium Tax Id Vat : Be 0403 480 507"
"Ineos Styrolution Mexicana Sa De Cv","Col Napoles Insurgentes Sur 859 Piso 11-1102 03810 Ciudad De Mexico Mexico Rfc Sme1101034E1, Del Benito Juarez Avenida Insurgentes Sur No 859 Piso 11-1102 03810 Ciudad De Mexico, Col Napoles Insurgentes Sur 859 Piso 11-1102 03810 Ciudad De Mexico Mexico Sme1101034E1","","Phone Numbers: 11110203810 --- Emails: ","Mexico","24","Houston, Tx, San Juan, Puerto Rico","Tampico, Port Bustamante","730210, 390390, 390330","Chemical Product Each Luran Ncm Country Mexico Procedence Country Mexico Acquisition Country Mexico Wooden Treated Certified Wood Cargo Securing Handling Treated According Ispm Standard Brazil Inoffensive Chemical Product, Chemical Product Big Bags Each Luran Ncm Inoffensive Chemical Product Country Mexico Procedence Country Mexico Acquisition Country Mexico Wooden Treated Certified Wood Cargo Securing Handling Treated According Ispm Standard, Chemical Product Big Each Luran Ncm Country Mexico Procedence Country Mexico Acquisition Country Mexico Wooden Treated Certified Inoffensive Chemical Product Wood Cargo Securing Handling Treated According Ispm Standard","79","927050","Comissaria Pibernat Ltda, Pbl Assessoria De Comercio Exterior Ltda, Pbl Assessoria De Comerico Exterior Ltda","Cnpj 92 102 433/0009-23 Rua Manoel Vieira Garcao No 120 88301-425 Itajai Brazil, Cnpj 57 108 730/0002-09 Rua Bras Cubas N 37 - 2 Andar 11013-161 Santos/Sp, R Alexandre Herculano 197 Cj 1901 Gonzaga 11050-031 Santos"
"Ooo Sveza Les","143441 Russia Moskovskaya Oblast Krasnogorsky Rayon Pos Putilkovo Building 17 69 Km Mkad, 196643 Russia Sai Pos Pontonniy Fanernaya St 5 Litera A Office 203 Phone: 495 783-00-35, 196643 Russia Saint-Petersburg Pos Pontonniy Fanernaya St 5","","Phone Numbers:  --- Emails: ","Mexico","19","Los Angeles, Ca, Long Beach, Ca","Lazaro Cardenas","441232","Birc Plywood Composite Wood Prod Ucts Appearing Iden Tified Descriptions Ing Carb Tsca Must Comply Ith Evironmental Protectio Agencys Tsca Title Standa Rds Reduce Formaldehyde Emi Ssions From Composite Wood Pro Ducts Mrku Netto, Netto Birch Plywood Composite Ood Appearing Identified Descriptio Carb Tsc Must Comply Eviron Mental Protection Agency Tsc Title Andards Redu Formaldehyde Emissions From Composite Wood, Birc Plywood Composite Wood Prod Ucts Appearing Iden Tified Descriptions Ing Carb Tsca Must Comply Ith Evironmental Protectio Agencys Tsca Title Standa Rds Reduce Formaldehyde Emi Ssions From Composite Wood Pro Ducts Tllu Netto","40","518644","John M Brining Co Inc, Rugby Holdings Llc","202 Congress Street Mobile Al 36603 Tel: 251-432-9741, 202 Congress Street Mobile Al 3660 Tel: 251-432-9741 Fax: 251-432-202 Email: Imports@Jmbrining Com, 202 Congress Street Mobile Al 3660 Tel: 251-432-9741 Fax: 251-432-2029Attn: Jackie Griffin"
"Vidrio Plano De Mexico","Carr A Villa De Garcia Km 10 Sn Centro Villa De Garcia Casco Garcia Nl Mexico Codigo Postal, Carr A Villa De Garcia Km 10 Sn Cenrfc: Vpm5507058M9, Carr A Villa De Garcia Km 10 Sn Centro Villa De Garcia Casco Garcia Nl Mexico","","Phone Numbers:  --- Emails: ","Mexico","19","San Juan, Puerto Rico, Houston, Tx, New Orleans, La","Tampico","700529, 700521","Clear Float Glass Clear Float Glass End Cap Wood Cristal Flotado Claro Cajas Madera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Otro Trabajo Sin Camada Absorvente Cor Incolor Tipo Float Mexico Volume, Ases Clear Float Glass End Cap Wood Cri Stal Flotado Claro Cajas Adera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Tro Trabajo Sin Camada Abso Rvente Cor Incolor Tipo Floa Mexico Otal Volume Oss Tota, Ases Clear Float Glass End Cap Wood Cri Stal Flotado Claro Cajas Adera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Tro Trabajo Sin Camada Abso Rvente Cor Incolor Tipo Floa Mexico Volume Weig Ases Clear Float Glass End Cap Wood Cri Stal Flotado Claro Cajas Adera End Cap Vidrio Flotado Laminas Chapa Forma Rectangular Sin Cualquier Tro Trabajo Sin Camada Abso Rvente Cor Incolor Tipo Floa Mexico Volume Weig","75","1183385","Lt Global Logistic, Fairis C A, Vitro Panama","Nit: 900-639-834-4 Direccion: Km 1 5 Via Chia-Cajica Costado Occidental Edificio Oxus, Calle 12 Rio Abajo Detras Del Edificio Torres Del Rios Local 1 Telefono 507 224-3625 O Fax 507, Verdeloma 02-98 Y Quispicacha Ambato Tungurahua Ecuador Ruc:1890062071001"
