name,email,product,client type,total volume,country
Noatum Logistics Mexico Sa De Cv,['Arizmendi@Noatumlogistics.com'],PotsPans,Manufacturers,1,Mexico
Ingenieria Industrial S A De C V,['Montalvo@Adama.com'],Plastic,Manufacturers,40,Mexico
Beauty Style International Zl Sa,"['Beautystyleintl@Gmail.com', 'Beautystyleint@Gmail.com']",Plastic,Manufacturers,12,Mexico
Noatum Logistics Mexico Sa De Cv,['Arizmendi@Noatumlogistics.com'],Plastic,Manufacturers,6,Mexico
Cargo Maritimo Y Aduaal Sa De Cv,['Torres@Cargomar.com'],Plastic,Manufacturers,4,Mexico
Cargo Maritimo Y Aduanal S A De C V,['Torres@Cargomar.com'],Plastic,Manufacturers,2,Mexico
Fundi Met S A De C V,['Lfranco@Extmet.com'],Alu,Manufacturers,112,Mexico
Kataman Metals Llc,['Info@Kataman.com'],Alu,Manufacturers,8,Mexico
Fagor Profesional Mexico Sa De Cv,['Molina@Onneragroup.com'],kitchen,manufacturers,2,Mexico
Sia Sgk Nordic Anninmuizas,['Sgknordic@Gmail.com'],wood,manufacturers,10,Mexico
Wideline Sa De Cv,['Cs@Wideline.com'],wood,manufacturers,9,Mexico
